,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
166,Southern Mississippi,75.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
166,Winthrop (S.C.),75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,33,25,0,0,0,0.0,0,0,0,0,0,0
173,San Jose State (Calif.),73.5,0,0,46,27,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
174,Bradley (Ill.),73.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
174,Davidson (N.C.),73.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
174,Louisiana Lafayette,73.0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,73,0,0,0,0,0,0.0,0,0,0,0,0,0
177,Albany,71.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,21.5,0,0,0,0
178,Coastal Carolina (S.C.),70.66,9,64,0,0,64,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
179,St. Mary's (Calif.),69.0,0,0,0,0,30,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
180,Delaware State,68.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
181,Tulane,67.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
182,Wyoming,65.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
183,Alabama Birmingham,65.0,0,0,0,0,22,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
183,Illinois State,65.0,0,0,58,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
185,Central Connecticut State,64.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
185,George Washington,64.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
186,Florida International,63.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,71,5,0,0,0,0
186,New Mexico State,63.5,0,0,0,0,34,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
189,Bucknell (Penn.),63.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
190,Stony Brook,62.0,49,25,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
191,Wofford (S.C.),60.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
192,Bethune-Cookman (Fla.),59.5,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38,34.5,0,0,0,0
193,Toledo,58.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
194,Lehigh (Penn.),57.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0
194,Rider (N.J.),57.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
196,Georgia State,56.5,0,0,40,33,50,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
197,La Salle (Penn.),55.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56,13.5,0,0,0,0
197,Marquette,55.0,0,0,0,0,70,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
197,Ohio,55.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
200,Lamar (Tex.),51.5,0,0,0,0,46,26.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
201,Alabama A&M,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Butler (Ind.),50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Campbell (N.C.),50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Canisius (N.Y.),50.0,0,0,0,0,0,0.0,0,0,9,25,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Dayton,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Eastern Illinois,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Gonzaga (Wash.),50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Hartford (Conn.),50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Jacksonville State (Ala.),50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Lipscomb (Tenn.),50.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Long Island - Brooklyn,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Louisiana Tech,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Maryland Baltimore County,50.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Mississippi Valley State,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Montana,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Mount St. Mary's (Md.),50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
201,South Carolina State,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0
201,Stephen F. Austin,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
201,Virginia Commonwealth,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0
220,Southern Utah,46.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
221,Texas State San Marcos,46.0,0,0,52,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
222,Florida Atlantic,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
223,Drexel (Penn.),43.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
223,George Mason (Va.),43.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
225,Jackson State (Miss.),42.0,0,0,61,12,78,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
226,Northern Illinois,38.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
227,Weber State (Utah),37.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,16.0,50,21.5,0,0,0,0
228,Fairleigh Dickinson (N.J.),37.0,0,0,61,12,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
229,Wisconsin Green Bay,34.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
230,Manhattan,33.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
231,Texas Arlington,31.66,0,0,0,0,64,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
232,Loyola (Ill.),30.0,0,0,0,0,78,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
232,Sacred Heart (Conn.),30.0,0,0,0,0,75,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
232,Texas San Antonio,30.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67,5,0,0,0,0
232,Western Illinois,30.0,0,0,0,0,75,5.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0
236,Northern Colorado,27.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Alcorn State (Miss.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
237,Austin Peay,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Ball State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Belmont (Tenn.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Bowling Green,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Buffalo,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
237,Charleston (S.C.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Coppin State (Md.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Elon (N.C.),25.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Florida A&M,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Fordham (N.Y.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Gardner-Webb (N.C.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,High Point (N.C.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Indiana State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
237,Kennesaw State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Loyola Marymount (Calif.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,McNeese State (La.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Missouri State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Monmouth (N.J.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Murray State (Ky.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,New Orleans,25.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Niagara,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Portland State (Ore.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Quinnipiac (Conn.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
237,Radford (Va.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
237,Robert Morris (Penn.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Sam Houston State (Tex.),25.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,South Dakota State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Southern (La.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
237,St. Joseph's (Penn.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,St. Louis,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,St. Peter's (N.J.),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Tennessee State,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Texas Southern,25.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Towson (Md.),25.0,0,0,0,0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
237,Wright State (Ohio),25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
273,North Dakota State,24.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
274,Texas Pan American,22.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
275,North Florida,21.0,0,0,0,0,52,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
276,Charleston Southern (S.C.),18.0,0,0,55,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
276,Virginia Military,18.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
278,Hampton (Va.),13.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56,13.5,0,0,0,0
279,Louisiana Monroe,13.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56,13.5,0,0,0,0
279,Western Carolina (N.C.),13.0,0,0,0,0,60,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
