,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
42,Baylor (Tex.),477.5,0,0,0,0,72,5.0,0,0,0,0,0,0,0,0,3,83,5,73,15,57.75,7,72.75,0,0,0,0
43,Clemson,457.25,0,0,0,0,5,75.0,0,0,0,0,0,0,0,0,9,64,0,0,0,0.0,21,52.5,0,0,0,0
44,Texas Tech,447.0,0,0,37,36,34,38.5,0,0,0,0,0,0,0,0,0,0,17,50,5,75.0,25,46.5,0,0,0,0
45,Wake Forest,445.75,0,0,10,66.75,22,51.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0
46,Miami (Fla.),445.5,5,73,0,0,0,0.0,0,0,0,0,0,0,0,0,9,64,17,50,20,53.5,0,0,0,0,0,0
47,Denver,434.25,0,0,6,72.75,67,5.0,0,0,9,25,0,0,0,0,17,50,33,25,0,0.0,0,0,0,0,0,0
48,South Carolina,413.0,17,50,22,52,46,26.5,0,0,0,0,0,0,0,0,17,50,0,0,22,51.0,18,55.5,0,0,0,0
49,Connecticut,400.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
50,Colorado,398.0,0,0,0,0,52,21.0,0,0,0,0,0,0,0,0,0,0,0,0,25,47.5,10,67.5,0,0,0,0
50,Iowa,398.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,43,30.0,0,0,0,0,0,0
52,Maryland,394.5,0,0,0,0,0,0.0,5,60,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
53,Hawaii,385.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,33,25,25,47.5,0,0,0,0,0,0
54,Kansas,380.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,57.75,38,34.5,0,0,0,0
55,Georgia Tech,367.0,17,50,0,0,43,30.0,0,0,0,0,0,0,33,25,5,73,0,0,43,30.0,50,21.5,0,0,0,0
56,North Carolina State,364.5,9,64,29,44,40,33.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
57,Texas Christian U.,364.25,33,25,17,56.5,55,17.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,67,5,0,0,0,0
58,Iowa State,363.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,47.5,42,28.5,0,0,0,0
59,Vanderbilt,349.5,33,25,32,41.5,0,0.0,9,25,0,0,0,0,0,0,9,64,17,50,0,0.0,0,0,0,0,0,0
60,Princeton (N.J.),349.0,0,0,0,0,0,0.0,5,60,0,0,12,10,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
61,Harvard,348.0,0,0,55,18,0,0.0,0,0,0,0,9,37,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
62,Pepperdine (Calif.),341.0,17,50,34,39,31,43.0,0,0,0,0,0,0,0,0,17,50,9,64,0,0.0,0,0,2,70,0,0
63,Fresno State,326.5,1,100,52,21,0,0.0,0,0,0,0,0,0,17,50,9,64,0,0,0,0.0,50,21.5,0,0,0,0
64,Tulsa,315.5,0,0,19,54.5,0,0.0,0,0,0,0,0,0,49,25,17,50,17,50,0,0.0,0,0,0,0,0,0
65,Texas El Paso,302.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,67.5,13,62.25,0,0,0,0
66,Navy,298.5,0,0,0,0,75,5.0,0,0,5,60,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
67,Northern Iowa,298.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,25.0,11,65.25,0,0,0,0
68,Mississippi,295.5,17,50,0,0,72,5.0,0,0,0,0,0,0,0,0,0,0,5,73,15,57.75,0,0,0,0,0,0
69,Boston College,292.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,13.5,0,0,0,0,0,0
70,Southern Methodist (Tex.),287.5,0,0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,33,25,19,55.0,0,0,0,0,0,0
71,Kansas State,285.0,0,0,0,0,52,21.0,0,0,0,0,0,0,0,0,0,0,0,0,53,19.5,42,28.5,0,0,0,0
72,Oral Roberts (Okla.),283.75,17,50,61,12,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,57,16.0,25,46.5,0,0,0,0
73,Washington State,278.5,0,0,0,0,0,0.0,0,0,0,0,8,46,0,0,33,25,0,0,31,37.5,23,50.5,0,0,0,0
74,New Mexico,276.0,0,0,28,46,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.5,42,28.5,0,0,0,0
75,Cornell (N.Y.),270.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,25,46.5,0,0,0,0
76,Boston University,263.5,0,0,0,0,0,0.0,5,60,0,0,0,0,0,0,33,25,0,0,46,25.0,0,0,0,0,0,0
77,Boise State,257.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,56,13.5,0,0,0,0
77,Georgetown,257.5,0,0,0,0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
79,Pennsylvania,256.0,0,0,0,0,0,0.0,2,90,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
80,California Poly San Louis Obispo,253.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.5,0,0,0,0,0,0
81,Kent State,247.0,0,0,40,33,6,73.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
82,Utah,245.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
83,Memphis (Tenn.),242.0,0,0,0,0,60,13.0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.5,56,13.5,0,0,0,0
