,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
139,UC Davis,Big West,FCS,113.0,0,0,11,66,49,22.0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,0,0,0,0,0,0.0,0.0,0.0,113.0
142,Southern Utah,Big Sky,FCS,111.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.0,59.25,0.0
143,Central Michigan,MAC,FBS,107.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,82.75,0.0
144,Tulane,American,FBS,105.0,33,25,19,55,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,80.0
145,Portland,WCC,DI,104.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,0,0,0,0.0,85.0,0.0,19.0
146,Liberty,Big South,FCS,103.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,25.0,0.0
146,Stony Brook,America East,FCS,103.0,33,25,0,0,0,0.0,9,53,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,103.0
146,UMBC,America East,DI,103.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,20.0,0.0
149,North Carolina Charlotte,Conference USA,FCS,102.0,0,0,0,0,22,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,52.0
149,Old Dominion,Conference USA,FCS,102.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,52.0,0.0
151,Arkansas Little Rock,Sun Belt,DI,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0
151,Bryant,Northeast,FCS,100.0,0,0,0,0,0,0.0,17,25,9,25,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0
151,Florida Atlantic,Conference USA,FBS,100.0,17,50,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0
151,Loyola Chicago,Missouri Valley,DI,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0.0,0.0,0.0,100.0
151,North Carolina Wilmington,CAA,DI,100.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,50.0
151,Oakland,Horizon League,DI,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0.0,25.0
151,Quinnipiac,MAAC,DI,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,75.0,25.0
158,Arkansas State,Sun Belt,FBS,98.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,0,0,0,0.0,25.0,40.0,33.0
158,Creighton,Big East,DI,98.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98.0,0.0,0.0
160,Miami (OH),MAC,FBS,97.0,0,0,0,0,73,5.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,67.0,30.0
160,SIU Edwardsville,OVC,DI,97.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10.5,0,0,0,0.0,75.0,11.5,10.5
162,Murray State,OVC,FCS,96.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,25.0,46.0,25.0
163,Eastern Washington,Big Sky,FCS,95.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,25.0,0.0
164,Marquette,Big East,DI,94.0,0,0,0,0,62,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,0,0,0,0.0,25.0,40.0,29.0
164,Memphis,American,FBS,94.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,45,0,0,0,0.0,49.0,0.0,45.0
166,Ohio,MAC,FBS,92.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,67.0,25.0
166,Sacred Heart,Northeast,FCS,92.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,42.0,25.0
168,Kennesaw State,Atlantic Sun,DI,91.5,0,0,54,19,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.5,59.0
168,Utah State,Mountain West,FBS,91.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45.0,46.5,0.0
170,Middle Tennessee State,Conference USA,FBS,91.0,0,0,49,23,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,0,0,0,0.0,27.0,0.0,64.0
170,Washington State,Pac 12,FBS,91.0,0,0,0,0,0,0.0,0,0,0,0,8,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,66.0
172,Hampton,MEAC,FCS,90.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,65.0,0.0
173,George Washington,Atlantic 10,DI,89.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,64.0,25.0
173,Toledo,MAC,FBS,89.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0.0,0.0
175,Hofstra,CAA,DI,88.5,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,38.5,25.0
176,Wyoming,Mountain West,FBS,87.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,59.5,0.0
177,Massachusetts,Atlantic 10,FBS,87.0,0,0,0,0,0,0.0,9,53,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,87.0
178,Alabama State,SWAC,FCS,85.0,0,0,69,5,73,5.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,25.0,25.0,35.0
179,Nebraska Omaha,Summit,DI,83.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.0,0.0
179,North Dakota,Big Sky,FCS,83.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.0,0.0
181,Bowling Green,MAC,FBS,81.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0,0,0,0,0,0.0,45.0,0.0,36.0
182,Jacksonville,Atlantic Sun,FCS,80.0,0,0,0,0,0,0.0,17,25,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,55.0
182,Vermont,America East,DI,80.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0
184,Lipscomb,Atlantic Sun,DI,78.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,0.0,25.0
184,Montana,Big Sky,FCS,78.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,25.0,0.0
186,American,Patriot,DI,76.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,51.5,0.0
187,UMKC,WAC,DI,76.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,44.5,0,0,0,0,0,0.0,0.0,31.5,44.5
188,Long Beach State,Big West,DI,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,25.0
188,Loyola Maryland,Patriot,DI,75.0,0,0,0,0,67,5.0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,75.0
188,Northwestern State,Southland,FCS,75.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,25.0
188,Texas Southern,SWAC,FCS,75.0,49,25,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,50.0
192,College of Charleston,CAA,DI,74.0,17,50,54,19,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,74.0
192,Monmouth,MAAC,FCS,74.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,49.0,0.0
194,Rider,MAAC,DI,72.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,47.0,0.0
195,Binghamton,America East,DI,67.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,44,27,0,0,0,0.0,0.0,15.0,52.0
195,North Florida,Atlantic Sun,DI,67.0,0,0,0,0,62,10.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,27.0,5.0,35.0
197,Lamar,Southland,FCS,66.5,0,0,61,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55.0,0.0,11.5
198,Idaho,Sun Belt,FBS,65.5,0,0,0,0,56,15.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,65.5
199,Nevada,Mountain West,FBS,65.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,40.0,0.0
200,Missouri State,Missouri Valley,FCS,64.0,9,64,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,64.0
201,Cal State Bakersfield,WAC,DI,61.5,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,11.5,25.0
202,East Tennessee State,SoCon,FCS,59.0,0,0,0,0,38,34.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,59.0
203,Army West Point,Patriot,FBS,56.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,56.0,0.0
204,Georgia State,Sun Belt,FBS,55.0,0,0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,5.0
204,Seton Hall,Big East,DI,55.0,0,0,65,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,5.0
206,St. Mary's College of California,WCC,DI,53.5,0,0,0,0,43,28.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,53.5
207,Bradley,Missouri Valley,DI,53.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,0.0,25.0
207,Richmond,Atlantic 10,FCS,53.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.0,0.0,0.0
209,Marshall,Conference USA,FBS,52.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.0,0.0,0.0
210,Bucknell,Patriot,FCS,51.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,26.5,0.0
210,Northern Colorado,Big Sky,FCS,51.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,26.5,0.0
212,Campbell,Big South,FCS,51.0,0,0,23,51,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,51.0
213,Butler,Big East,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0
213,Cal State Northridge,Big West,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,25.0
213,Central Connecticut State,Northeast,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,Drake,Missouri Valley,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Fairfield,MAAC,DI,50.0,0,0,0,0,0,0.0,17,25,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Florida A&M,MEAC,FCS,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Fresno State,Mountain West,FBS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,High Point,Big South,DI,50.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,Houston Baptist,Southland,FCS,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,Marist,MAAC,FCS,50.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Mercer,SoCon,FCS,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,Radford,Big South,DI,50.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Saint Louis,Atlantic 10,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0
213,Samford,SoCon,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,25.0
213,Seattle,WAC,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0
213,St. Francis (NY),Northeast,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0
213,UC Santa Barbara,Big West,DI,50.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Valparaiso,Horizon League,FCS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0,0.0
213,Western Michigan,MAC,FBS,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0
213,Winthrop,Big South,DI,50.0,0,0,0,0,0,0.0,17,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
213,Wisconsin Green Bay,Horizon League,DI,50.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,25.0,25.0
213,Wright State,Horizon League,DI,50.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50.0
235,North Texas,Conference USA,FBS,49.0,0,0,0,0,49,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,0.0,22.0
236,NJIT,Independent,DI,48.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,48.0,0.0
237,Southeastern Louisiana,Southland,FCS,47.0,0,0,0,0,49,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,22.0
238,Troy,Sun Belt,FBS,45.5,0,0,65,5,56,15.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,45.5
239,Fairleigh Dickinson,Northeast,DI,45.0,0,0,69,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,5.0
239,Louisiana Tech,Conference USA,FBS,45.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45.0,0.0,0.0
241,Davidson,Atlantic 10,FCS,44.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,44.0,0.0
241,Weber State,Big Sky,FCS,44.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,51,19,0,0,0,0.0,0.0,0.0,44.0
243,Coppin State,MEAC,DI,39.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,39.5,0.0
244,McNeese State,Southland,FCS,34.0,0,0,0,0,38,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,34.0
245,Drexel,CAA,DI,33.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.0,0.0
246,Texas State,Sun Belt,FBS,32.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,0,0,0,0,0.0,0.0,20.0,12.0
247,Appalachian State,Sun Belt,FBS,30.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.5,0.0
248,Charleston Southern,Big South,FCS,30.0,0,0,0,0,73,5.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30.0
248,Robert Morris,Northeast,FCS,30.0,0,0,0,0,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,5.0
248,Savannah State,MEAC,FCS,30.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,0.0,0.0,25.0,5.0
248,Temple,American,FBS,30.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.0,0.0
248,Youngstown State,Horizon League,FCS,30.0,0,0,69,5,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,30.0
253,Alcorn State,SWAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Ball State,MAC,FBS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Belmont,OVC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0.0
253,Bethune-Cookman,MEAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Canisius,MAAC,DI,25.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Central Arkansas,Southland,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Colgate,Patriot,FCS,25.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Florida International,Conference USA,FBS,25.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,La Salle,Atlantic 10,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Lafayette,Patriot,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0.0
253,LIU Brooklyn,Northeast,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Longwood,Big South,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Loyola Marymount,WCC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Morehead State,OVC,FCS,25.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Morgan State,MEAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Northern Illinois,MAC,FBS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Oral Roberts,Southland,DI,25.0,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Prairie View A&M,SWAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Santa Clara,WCC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,Siena,MAAC,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0
253,South Carolina State,MEAC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,South Carolina Upstate,Atlantic Sun,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Tennessee State,OVC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0.0
253,Tennessee Tech,OVC,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Texas A&M Corpus Christi,Southland,DI,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Towson,CAA,FCS,25.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,UTSA,Conference USA,FBS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0
253,Wagner,Northeast,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25.0,0.0,0.0,25.0
253,Wofford,SoCon,FCS,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0,0.0
282,Cleveland State,Horizon League,DI,24.0,0,0,0,0,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0,5.0
283,Georgia Southern,Southern,FBS,15.5,0,0,0,0,56,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,15.5
284,Cal Poly,Big West,FCS,15.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,0.0
284,Citadel,SoCon,FCS,15.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,0.0
284,South Dakota,Summit,FCS,15.0,0,0,0,0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,0.0,0.0,5.0,10.0
287,San Jose State,Mountain West,FBS,11.5,0,0,61,11.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,11.5
287,Utah Valley,WAC,DI,11.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11.5,0.0
289,George Mason,Atlantic 10,DI,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0
289,Manhattan,MAAC,DI,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0
289,North Carolina A&T,MEAC,FCS,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0
289,Saint Peter's,MAAC,DI,5.0,0,0,0,0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0
