,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
32,Auburn,SEC,FBS,658.5,33,25,45,27.5,12,64.5,0,0,0,0,0,0,3,83,33,25,0,0,28,44.5,67,5,0,0,0,0.0,128.0,256.0,274.5
33,Maryland,Big Ten,FBS,644.75,9,64,0,0,0,0.0,1,100,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,135.0,255.75,254.0
34,Michigan State,Big Ten,FBS,644.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,50.5,28,45,0,0,0,0.0,348.0,200.5,95.5
35,Virginia Tech,ACC,FBS,640.5,0,0,0,0,43,28.5,0,0,0,0,0,0,49,25,17,50,17,50,15,58.5,37,36.5,0,0,0,0.0,158.0,234.0,248.5
36,Arizona,Pac 12,FBS,636.75,0,0,5,72.75,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,51,19.5,19,51,0,0,0,0.0,157.0,272.5,207.25
37,TCU,Big 12,FBS,619.25,3,83,29,43.5,10,67.5,0,0,0,0,0,0,0,0,17,50,3,83,0,0,19,51,0,0,0,0.0,85.0,156.25,378.0
38,Tennessee,SEC,FBS,583.75,0,0,5,72.75,0,0.0,0,0,0,0,0,0,7,73,0,0,33,25,51,19.5,18,56,0,0,0,0.0,45.0,292.5,246.25
39,Nebraska,Big Ten,FBS,570.0,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,66,5,68,5,0,0,0,0.0,98.0,437.0,35.0
40,Texas Tech,Big 12,FBS,565.25,0,0,5,72.75,17,57.0,0,0,0,0,0,0,0,0,9,64,17,50,20,50.5,9,69,0,0,0,0.0,64.0,138.0,363.25
41,Princeton,Ivy League,FCS,552.5,0,0,0,0,0,0.0,5,70,0,0,12,54,0,0,33,25,33,25,28,44.5,60,10.5,0,0,6,71.5,80.0,172.0,300.5
42,Missouri,SEC,FBS,544.75,0,0,0,0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,51,19.5,0,0,0,0,0,0.0,116.0,345.25,83.5
43,Colorado,Pac 12,FBS,539.5,0,0,45,27.5,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,51,19,0,0,0,0.0,272.0,145.0,122.5
44,Iowa,Big Ten,FBS,535.5,17,50,0,0,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,0,0,0,0.0,25.0,401.5,109.0
45,Iowa State,Big 12,FBS,526.0,0,0,37,34.5,43,28.5,0,0,0,0,0,0,0,0,0,0,0,0,51,19.5,19,51,0,0,0,0.0,167.0,225.5,133.5
46,South Carolina,SEC,FBS,512.0,0,0,17,57,13,63.0,0,0,0,0,0,0,33,25,17,50,0,0,20,50.5,60,10.5,0,0,0,0.0,118.0,138.0,256.0
47,Syracuse,ACC,FBS,510.0,0,0,0,0,0,0.0,3,83,5,60,0,0,0,0,0,0,0,0,59,12,60,10.5,0,0,0,0.0,279.0,65.5,165.5
48,BYU,WCC,FBS,509.75,0,0,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,51,19.5,13,62.25,0,0,0,0.0,226.5,176.5,106.75
49,Denver,Summit,DI,508.75,0,0,61,11.5,0,0.0,0,0,1,100,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0.0,50.0,297.25,161.5
50,Northwestern,Big Ten,FBS,499.0,0,0,10,67.5,0,0.0,5,70,0,0,0,0,49,25,17,50,17,50,0,0,0,0,0,0,0,0.0,50.0,186.5,262.5
51,Vanderbilt,SEC,FBS,494.25,2,90,33,39.5,5,72.75,0,0,0,0,0,0,0,0,1,100,17,50,35,36,0,0,0,0,0,0.0,46.0,60.0,388.25
52,Mississippi State,SEC,FBS,478.0,0,0,45,27.5,0,0.0,0,0,0,0,0,0,33,25,17,50,17,50,18,56,8,70.5,0,0,0,0.0,64.5,134.5,279.0
53,Harvard,Ivy League,FCS,455.5,0,0,37,34.5,0,0.0,0,0,0,0,14,48,0,0,0,0,33,25,48,25,0,0,0,0,0,0.0,50.0,273.0,132.5
54,Providence,Big East,DI,450.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,50.5,0,0,0,0,0,0.0,209.0,191.0,50.5
55,Miami (FL),ACC,FBS,450.0,5,78,57,15.5,0,0.0,0,0,0,0,0,0,0,0,9,64,0,0,28,44.5,0,0,0,0,0,0.0,75.0,173.0,202.0
56,Utah,Pac 12,FBS,445.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,104.0,291.0,50.0
57,Clemson,ACC,FBS,438.0,49,25,0,0,30,44.0,0,0,0,0,0,0,0,0,9,64,0,0,51,19.5,31,41,0,0,0,0.0,149.0,95.5,193.5
58,New Mexico,Mountain West,FBS,423.5,0,0,0,0,49,22.0,0,0,0,0,0,0,0,0,33,25,33,25,48,25,36,38,0,0,0,0.0,146.5,142.0,135.0
59,Georgetown,Big East,FCS,405.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,260.0,145.5,0.0
60,Purdue,Big Ten,FBS,405.0,0,0,12,64.5,31,40.0,0,0,0,0,0,0,0,0,33,25,0,0,20,50.5,44,27,0,0,0,0.0,0.0,198.0,207.0
61,Indiana,Big Ten,FBS,403.5,33,25,0,0,0,0.0,0,0,0,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110.0,211.5,82.0
62,West Virginia,Big 12,FBS,377.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,120.5,257.0,0.0
63,San Diego State,Mountain West,FBS,343.5,33,25,43,30.5,15,60.0,0,0,0,0,0,0,17,50,0,0,17,50,0,0,0,0,0,0,0,0.0,50.0,78.0,215.5
64,Boise State,Mountain West,FBS,337.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,42,29.5,28,45,0,0,0,0.0,124.5,113.0,99.5
65,Oregon State,Pac 12,FBS,334.25,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,195.25,25.0
66,Ole Miss,SEC,FBS,332.0,49,25,0,0,67,5.0,0,0,0,0,0,0,0,0,17,50,17,50,59,12,0,0,0,0,0,0.0,100.0,90.0,142.0
67,Columbia,Ivy League,FCS,321.5,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,9,64,42,29.5,0,0,0,0,0,0.0,27.0,151.0,143.5
68,Villanova,Big East,FCS,308.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,19.5,51,19,0,0,0,0.0,170.0,100.0,38.5
69,North Dakota State,Summit,FCS,300.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,42,29.5,68,5,0,0,0,0.0,100.0,115.5,84.5
70,Boston College,ACC,FBS,275.0,0,0,0,0,0,0.0,9,53,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,0,0,0.0,103.0,114.0,58.0
71,Kansas,Big 12,FBS,270.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,32,41,19,51,0,0,0,0.0,50.0,78.0,142.0
72,Georgia Tech,ACC,FBS,262.0,0,0,0,0,9,69.0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0.0,72.0,46.0,144.0
73,South Florida,American,FBS,257.75,33,25,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0.0,25.0,71.0,161.75
74,UConn,American,FBS,255.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,0.0,150.0,100.0,5.0
75,Akron,MAC,FBS,253.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,41,12,64.5,0,0,0,0.0,25.0,122.5,105.5
76,Dartmouth,Ivy League,FCS,251.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,17,50,0,0,0,0,0,0,0,0,0,0.0,104.0,72.0,75.0
77,Air Force,Mountain West,FBS,249.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,0,0,0,0.0,45.0,163.5,41.0
78,New Hampshire,America East,FCS,248.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,0,0,0,0,0.0,133.0,103.5,12.0
79,Pepperdine,WCC,DI,247.0,17,50,49,23,62,10.0,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0.0,64.0,0.0,183.0
80,Pennsylvania,Ivy League,FCS,245.0,0,0,0,0,79,5.0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,19,51,0,0,0,0.0,0.0,136.0,109.0
81,UC Irvine,Big West,DI,236.75,0,0,0,0,56,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,5,77.3,64.0,25.0,147.75
82,Illinois State,Missouri Valley,FCS,235.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,0,0,0,0,0.0,190.0,33.0,12.0
83,Coastal Carolina,Big South,FCS,234.5,33,25,33,39.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,145.0,25.0,64.5
84,Rice,Conference USA,FBS,233.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,68,5,74,5,0,0,0,0.0,98.0,25.0,110.0
85,Tulsa,American,FBS,231.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0.0,102.0,54.5,75.0
86,Albany,America East,FCS,223.0,0,0,69,5,0,0.0,17,25,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,50.0,90.0
86,UCF,American,FBS,223.0,0,0,49,23,0,0.0,0,0,0,0,19,36,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,0.0,109.0
88,SMU,American,FBS,219.0,0,0,37,34.5,14,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,95.0,96.0
89,Stephen F. Austin,Southland,FCS,217.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,50.5,0,0,0,0,0,0.0,52.0,115.0,50.5
90,Wake Forest,ACC,FBS,215.0,0,0,13,63,56,15.5,0,0,0,0,0,0,0,0,0,0,9,64,59,12,60,10.5,0,0,0,0.0,50.0,0.0,165.0
