,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
19,Arizona State,Pac 12,FBS,821,33,37.5,14,60,16,58.5,0,0,0,0,0,0,17,50,17,50,17,50,22,51.5,46,26.5,0,0,0,0,0,0
20,Minnesota,Big Ten,FBS,813.75,0,0,0,0,0,0,0,0,0,0,0,0,7,73,0,0,33,25,48,22,40,32,0,0,0,0,0,0
21,Georgia,SEC,FBS,808,17,50,45,27.5,24,50,0,0,0,0,0,0,17,50,2,90,17,50,66,5,4,80,0,0,0,0,0,0
22,South Carolina,SEC,FBS,805.75,0,0,38,35,17,57,0,0,0,0,0,0,17,50,5,73,17,50,10,65.5,12,63.75,0,0,0,0,0,0
23,Arkansas,SEC,FBS,803,7,73,5,72.75,31,40.5,0,0,0,0,0,0,49,25,0,0,0,0,1,100,15,59.25,0,0,0,0,0,0
24,Washington,Pac 12,FBS,801,0,0,18,56,0,0,0,0,0,0,1,100,3,83,9,64,0,0,17,56,50,22,0,0,0,0,0,0
25,Tennessee,SEC,FBS,797.75,17,50,24,50,31,40.5,0,0,0,0,0,0,9,64,17,50,9,64,66,5,61,11.5,0,0,0,0,0,0
26,North Carolina State,ACC,FBS,794,49,25,34,38.5,43,28,0,0,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0,0,0
27,Oregon,Pac 12,FBS,762.25,0,0,34,38.5,37,34.5,0,0,0,0,0,0,0,0,0,0,0,0,5,75,12,63.75,0,0,0,0,0,0
28,Oklahoma State,Big 12,FBS,760.5,9,64,0,0,3,82.5,0,0,0,0,0,0,5,78,9,64,17,50,22,51.5,18,54.5,0,0,0,0,0,0
29,BYU,WCC,FBS,738.5,0,0,0,0,30,44,0,0,0,0,0,0,33,37.5,0,0,0,0,25,47,8,70.5,0,0,0,0,0,0
30,Princeton,Ivy League,FCS,722.5,0,0,0,0,73,5,5,70,0,0,7,69,0,0,17,50,0,0,0,0,0,0,5,25,0,0,0,0
31,Alabama,SEC,FBS,721.85,0,0,38,35,62,8.6,0,0,0,0,0,0,3,83,33,25,33,25,7,72,10,67.5,0,0,0,0,0,0
32,Indiana,Big Ten,FBS,719.5,33,37.5,21,53,0,0,0,0,0,0,12,54,0,0,0,0,0,0,48,22,33,41,0,0,0,0,0,0
33,Oklahoma,Big 12,FBS,703.75,0,0,29,43,5,72.75,0,0,0,0,0,0,2,90,17,50,9,64,57,15,0,0,0,0,0,0,0,0
34,Texas Tech,Big 12,FBS,668.58,3,83,25,47.5,50,21,0,0,0,0,0,0,17,50,33,25,33,25,25,47,1,100,0,0,0,0,0,0
35,Louisville,ACC,FBS,648.5,3,83,41,31.5,29,45,0,0,0,0,0,0,17,50,0,0,0,0,0,0,55,16.5,0,0,0,0,0,0
36,Wake Forest,ACC,FBS,648.25,0,0,2,90,5,72.75,0,0,0,0,0,0,0,0,17,50,2,90,0,0,0,0,0,0,0,0,0,0
37,Auburn,SEC,FBS,644.75,7,73,3,82.5,12,64.5,0,0,0,0,0,0,17,50,0,0,0,0,32,40.5,0,0,0,0,0,0,0,0
38,Iowa,Big Ten,FBS,629.5,0,0,0,0,37,34.5,0,0,0,0,13,51,0,0,0,0,0,0,25,47,40,32,0,0,0,0,0,0
39,Baylor,Big 12,FBS,622.5,33,37.5,29,43,27,46.5,0,0,0,0,0,0,0,0,0,0,5,73,62,10.5,22,51.5,0,0,0,0,0,0
40,Maryland,Big Ten,FBS,588,0,0,25,47.5,0,0,1,100,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Arizona,Pac 12,FBS,572.5,0,0,3,82.5,50,21,0,0,0,0,0,0,5,78,0,0,33,25,48,22,22,51.5,0,0,0,0,0,0
42,TCU,Big 12,FBS,557,17,50,45,27.5,15,60,0,0,0,0,0,0,0,0,0,0,5,73,41,30,28,44,0,0,0,0,0,0
43,Illinois,Big Ten,FBS,556.25,49,25,9,68.25,27,46.5,0,0,0,0,0,0,33,37.5,33,25,17,50,0,0,55,16.5,0,0,0,0,0,0
44,Mississippi State,SEC,FBS,550.5,5,78,34,38.5,37,34.5,0,0,0,0,0,0,17,50,0,0,9,64,66,5,11,66,0,0,0,0,0,0
45,Northwestern,Big Ten,FBS,526.5,0,0,13,63,43,28,3,83,0,0,0,0,9,64,33,25,0,0,0,0,0,0,0,0,0,0,0,0
45,Vanderbilt,SEC,FBS,526.5,1,100,23,51,3,82.5,0,0,0,0,0,0,0,0,5,73,17,50,66,5,0,0,0,0,0,0,0,0
47,Michigan State,Big Ten,FBS,526,0,0,25,47.5,37,34.5,0,0,0,0,0,0,0,0,0,0,0,0,48,22,34,39.5,0,0,0,0,0,0
48,Nebraska,Big Ten,FBS,523.25,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,22,0,0,0,0,0,0,0,0
49,Virginia Tech,ACC,FBS,511.83,0,0,41,31.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Colorado,Pac 12,FBS,511,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,9,69,0,0,0,0,0,0,0,0
51,Missouri,SEC,FBS,488.75,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,36,37.5,0,0,0,0,0,0,0,0
52,Denver,Summit,DI,484,0,0,58,15,67,5,5,70,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
53,Iowa State,Big 12,FBS,474,0,0,41,31.5,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0,0,0,0,0,0
54,Syracuse,ACC,FBS,463.5,0,0,0,0,0,0,5,70,9,25,0,0,0,0,17,50,0,0,62,10.5,0,0,0,0,0,0,0,0
55,Purdue,Big Ten,FBS,463.25,0,0,9,68.25,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0
56,Ole Miss,SEC,FBS,461.5,9,64,14,60,31,40.5,0,0,0,0,0,0,9,64,0,0,33,25,0,0,0,0,0,0,0,0,0,0
57,Harvard,Ivy League,FCS,425.5,49,25,65,5,0,0,0,0,0,0,14,48,49,25,0,0,33,25,0,0,50,22,0,0,0,0,0,0
58,Miami (FL),ACC,FBS,420.83,17,50,58,15,0,0,0,0,0,0,0,0,0,0,17,50,33,25,20,53.5,0,0,0,0,0,0,0,0
59,Boise State,Mountain West,FBS,416.75,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,20,53.5,0,0,0,0,0,0,0,0
60,Houston,American,FBS,402.83,0,0,41,31.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,3,85,0,0,0,0,0,0
61,West Virginia,Big 12,FBS,398.5,33,37.5,0,0,31,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,UCF,American,FBS,393.5,0,0,22,52,0,0,0,0,0,0,18,38,0,0,9,64,33,25,0,0,0,0,0,0,0,0,0,0
63,Kansas,Big 12,FBS,380,0,0,0,0,57,15,0,0,0,0,0,0,0,0,9,64,0,0,41,30,14,61.5,0,0,0,0,0,0
64,Pennsylvania,Ivy League,FCS,375,0,0,0,0,0,0,17,25,5,60,0,0,0,0,0,0,0,0,17,56,0,0,0,0,0,0,0,0
65,Oregon State,Pac 12,FBS,364.35,49,25,29,43,62,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Georgia Tech,ACC,FBS,358,17,50,0,0,18,56,0,0,0,0,0,0,0,0,17,50,0,0,41,30,0,0,0,0,0,0,0,0
67,Air Force,Mountain West,FBS,339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,0,0,0,0,0,0
68,Hawaii,Big West,FBS,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,5,60,3,55
69,North Dakota State,Summit,FCS,330.75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,48,22,24,49.5,0,0,0,0,0,0
70,Georgetown,Big East,FCS,329.5,0,0,0,0,0,0,9,53,9,25,0,0,0,0,0,0,0,0,41,30,0,0,0,0,0,0,0,0
71,New Mexico,Mountain West,FBS,312.5,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,8,70.5,0,0,0,0,0,0,0,0
72,Navy,Patriot,FBS,307,0,0,0,0,0,0,9,53,0,0,17,40,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
73,Clemson,ACC,FBS,305,33,37.5,49,23.5,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Yale,Ivy League,FCS,303,0,0,0,0,0,0,0,0,2,90,8,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Army West Point,Patriot,FBS,295.5,49,25,0,0,73,5,0,0,9,25,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
76,Villanova,Big East,FCS,291.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,61,11.5,0,0,0,0,0,0
77,UConn,American,FBS,290.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Pepperdine,WCC,DI,284,0,0,58,15,11,66,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,3,55,0,0,7,25
79,Utah,Pac 12,FBS,278.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
80,Columbia,Ivy League,FCS,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0
81,Cornell,Ivy League,FCS,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Rutgers,Big Ten,FBS,259,0,0,0,0,0,0,0,0,0,0,11,57,0,0,0,0,0,0,41,30,0,0,0,0,0,0,0,0
83,Northern Arizona,Big Sky,FCS,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,50,22,0,0,0,0,0,0
84,James Madison,CAA,FCS,240,0,0,0,0,0,0,17,25,0,0,0,0,9,64,33,25,0,0,0,0,0,0,0,0,0,0,0,0
85,North Carolina A&T,MEAC,FCS,234.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,15,59.25,0,0,0,0,0,0
86,Portland,WCC,DI,229.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Boston College,ACC,FBS,216,0,0,0,0,0,0,2,90,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
88,Colorado State,Mountain West,FBS,206.5,0,0,0,0,31,40.5,0,0,0,0,0,0,33,37.5,0,0,0,0,39,34.5,0,0,0,0,0,0,0,0
88,Washington State,Pac 12,FBS,206.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
90,Long Beach State,Big West,DI,203,0,0,61,11.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,55,16.5,1,100,0,0,0,0
91,Dartmouth,Ivy League,FCS,201,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
92,Cincinnati,American,FBS,200,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Liberty,ASUN,FCS,197,33,37.5,0,0,20,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,0,0,0,0,0,0
94,Furman,SoCon,FCS,191.5,0,0,34,38.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
94,Kansas State,Big 12,FBS,191.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,58.5,26,47.5,0,0,0,0,0,0
96,South Florida,American,FBS,190.5,0,0,0,0,43,28,0,0,0,0,0,0,33,37.5,0,0,17,50,0,0,0,0,0,0,0,0,0,0
97,Akron,MAC,FBS,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,22,61,11.5,0,0,0,0,0,0
98,Kennesaw State,ASUN,FCS,188,0,0,53,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.5,28,44,0,0,0,0,0,0
99,Campbell,Big South,FCS,185.5,17,50,29,43,57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Murray State,OVC,FCS,185,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Southern Utah,Big Sky,FCS,178.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,0,0,0,0,0,0
102,Fresno State,Mountain West,FBS,175,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
103,Sam Houston State,Southland,FCS,169.5,0,0,61,11.5,67,5,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,37,36,0,0,0,0,0,0
104,UNLV,Mountain West,FBS,168,0,0,0,0,20,53.5,0,0,0,0,0,0,0,0,17,50,0,0,39,34.5,0,0,0,0,0,0,0,0
105,San Diego State,Mountain West,FBS,167.5,0,0,45,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40.5,0,0,0,0,0,0,0,0
106,Marquette,Big East,DI,167,0,0,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Central Michigan,MAC,FBS,164,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,San Diego,WCC,FCS,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0,0,0
109,Gonzaga,WCC,DI,157,0,0,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Monmouth,MAAC,FCS,152,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,33,25,48,22,0,0,0,0,0,0,0,0
111,Lipscomb,ASUN,DI,151.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,South Dakota,Summit,FCS,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.5,28,44,0,0,0,0,0,0
112,South Dakota State,Summit,FCS,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,UC Davis Big,West,FCS,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,22,0,0,0,0,0,0,0,0
115,Wofford,SoCon,FCS,146.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37.5,0,0,0,0,0,0,0,0
116,Buffalo,MAC,FBS,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Colgate,Patriot,FCS,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Brown Ivy,League,FCS,144,0,0,0,0,0,0,0,0,0,0,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Northern Iowa Missouri,Valley,FCS,140.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Stephen F. Austin,Southland,FCS,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Southern Mississippi Conference,USA,FBS,137,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49.5,0,0,0,0,0,0
122,Rice Conference,USA,FBS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
123,Iona,MAAC,DI,129,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Stony Brook America,East,FCS,128,49,25,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,UC Santa Barbara Big,West,DI,123.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,41,30,0,0,0,0,0,0,0,0
126,St. Mary's College of California,WCC,DI,122.6,0,0,0,0,62,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Quinnipiac,MAAC,DI,122.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Alabama State,SWAC,FCS,122,0,0,0,0,0,0,0,0,0,0,0,0,49,25,33,25,33,25,0,0,50,22,0,0,0,0,0,0
129,Indiana State Missouri,Valley,FCS,120.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40.5,0,0,0,0,0,0,0,0
130,Arkansas State Sun,Belt,FBS,120.1,0,0,0,0,62,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26.5,0,0,0,0,0,0
131,Providence Big,East,DI,119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,New Hampshire America,East,FCS,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Illinois State Missouri,Valley,FCS,116.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,55,16.5,0,0,0,0,0,0
134,Montana State Big,Sky,FCS,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Middle Tennessee State Conference,USA,FBS,115,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,37,36,0,0,0,0,0,0
135,Vermont America,East,DI,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Pittsburgh,ACC,FBS,114.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Towson,CAA,FCS,114,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Loyola Maryland,Patriot,DI,113,0,0,0,0,0,0,9,53,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,New Mexico State,WAC,FBS,111.5,0,0,61,11.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
141,Northeastern,CAA,DI,111,0,0,0,0,0,0,0,0,0,0,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Old Dominion Conference,USA,FBS,111,0,0,53,19,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
143,Pacific,WCC,DI,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
143,Utah State Mountain,West,FBS,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,0,0,0,0,0,0
145,Jacksonville State,OVC,FCS,108,17,50,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Maine America,East,FCS,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Weber State Big,Sky,FCS,107.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,East Carolina,American,FBS,107,9,64,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,St. John's  (NY) Big,East,DI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
150,Nevada Mountain,West,FBS,104.5,0,0,0,0,37,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Wyoming Mountain,West,FBS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Temple,American,FBS,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Memphis,American,FBS,102,0,0,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,San Jose State Mountain,West,FBS,101,0,0,19,55,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Creighton Big,East,DI,100,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Florida Gulf Coast,ASUN,DI,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
155,Loyola Marymount,WCC,DI,100,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,UC Irvine Big,West,DI,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Albany America,East,FCS,98,0,0,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0
160,SMU,American,FBS,97.75,0,0,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Incarnate Word Southland,,FCS,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0
161,Missouri State,Missouri Valley,FCS,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Bethune-Cookman,MEAC,FCS,94.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Tulsa,American,FBS,94,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Georgia Southern,Sun Belt,FBS,93,0,0,0,0,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Kent State,MAC,FBS,93,0,0,17,57,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Eastern Michigan,MAC,FBS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Grand Canyon,WAC,DI,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
169,Northwestern State,Southland,FCS,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40.5,0,0,0,0,0,0,0,0
170,Southeast Missouri State,OVC,FCS,90.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Eastern Washington,Big Sky,FCS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Massachusetts,Atlantic 10,FBS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,VCU,Atlantic 10,DI,90,0,0,0,0,57,15,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
174,DePaul,Big East,DI,87.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,0,0
174,Drake,Missouri Valley,FCS,87.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0
176,Rhode Island,Atlantic 10,FCS,87,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,41,30,0,0,0,0,0,0,0,0
