,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,Pac 12,FBS,1503.75,9,64,5,72.75,1,100,17,x,0,0,4,80,33,x,1,100,9,x,10,65.5,5,75,0,0,1,100,0,0
2,Michigan,Big Ten,FBS,1272.25,2,90,0,0,0,0,9,53,0,0,3,85,17,50,9,64,17,50,0,0,26,x,0,0,5,60,0,0
3,Florida,SEC,FBS,1156.75,33,37.5,11,66,50,21,9,53,0,0,0,0,7,73,17,50,3,83,6,73.5,2,90,0,0,0,0,0,0
4,Texas,Big 12,FBS,1148.5,0,0,5,72.75,2,90,0,0,0,0,2,90,9,64,17,50,1,100,10,65.5,9,69,0,0,0,0,0,0
5,USC,Pac 12,FBS,1075.75,0,0,5,72.75,14,61.5,17,25,0,0,0,0,0,0,9,64,9,64,2,90,37,36,5,x,2,90,2,90
6,UCLA,Pac 12,FBS,1056.5,9,64,20,54,43,28,0,0,0,0,0,0,1,100,5,73,9,64,25,47,18,54.5,0,0,3,83,1,100
7,Florida State,ACC,FBS,1046.25,5,78,12,64.5,31,40.5,0,0,0,0,0,0,9,64,17,50,17,50,10,65.5,17,57,0,0,0,0,5,40
8,Virginia,ACC,FBS,1037.5,0,0,14,60,37,x,5,70,1,100,10,60,0,0,17,50,5,73,30,x,18,54.5,0,0,0,0,0,0
9,Duke,ACC,FBS,1001,9,64,1,100,25,49,0,0,3,83,16,42,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0
10,North Carolina,ACC,FBS,987,9,64,49,23.5,19,55,3,83,0,0,0,0,17,50,3,83,3,83,17,56,0,0,0,0,0,0,0,0
11,LSU,SEC,FBS,986.83,9,64,38,35,22,51.5,0,0,0,0,0,0,9,64,17,50,0,0,3,85,7,72,0,0,0,0,3,55
12,Ohio State,Big Ten,FBS,986,33,37.5,25,47.5,13,63,0,0,0,0,5,75,33,37.5,33,x,5,73,24,50,0,0,0,0,0,0,0,0
13,Penn State,Big Ten,FBS,963.5,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,17,50,0,0,55,x,0,0,0,0,0,0
14,Kentucky,SEC,FBS,947.75,0,0,0,0,50,21,0,0,0,0,0,0,9,64,17,50,17,50,14,61.5,34,39.5,0,0,0,0,0,0
15,Texas A&M,SEC,FBS,933.75,17,50,49,23.5,5,72.75,0,0,0,0,0,0,49,25,9,64,17,50,4,80,6,73.5,0,0,0,0,0,0
16,Wisconsin,Big Ten,FBS,895,0,0,0,0,0,0,0,0,0,0,15,45,17,50,33,25,0,0,66,5,18,54.5,0,0,0,0,0,0
17,Notre Dame,ACC,FBS,885,0,0,0,0,0,0,9,53,5,60,0,0,33,37.5,0,0,33,25,30,43.5,28,44,0,0,0,0,0,0
18,California,Pac 12,FBS,835.75,49,25,45,27.5,10,67.5,0,0,0,0,6,72,0,0,17,50,9,64,25,47,61,11.5,0,0,3,83,0,0
