,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
29,Washington,Pac 12,FBS,693.25,7,73.0,12,63.0,0,0.0,0,0,0,0,2,90.0,2,90.0,0,0,0,0,44,29.5,49,23,0,0,0,0,0,0,240.0,84.75,368.5
30,Louisville,ACC,FBS,690.5,17,50.0,15,60.0,50,22.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,28,43.5,46,27,0,0,0,0,0,0,204.0,284.0,202.5
31,Arizona State,Pac 12,FBS,686.0,0,0.0,16,57.0,13,62.25,0,0,0,0,0,0.0,7,73.0,33,25,33,25,9,69,0,0,0,0,0,0,0,0,25.0,349.75,311.25
32,Oklahoma State,Big 12,FBS,683.75,17,50.0,26,46.5,1,100.0,0,0,0,0,0,0.0,33,37.5,17,50,33,25,0,0,0,0,0,0,0,0,0,0,200.5,174.25,309.0
33,Missouri,SEC,FBS,660.75,0,0.0,37,35.5,43,28.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,11,65.25,0,0,0,0,0,0,0,0,117.0,365.0,178.75
34,Northwestern,Big Ten,FBS,644.0,0,0.0,5,72.75,16,57.75,5,70,0,0,0,0.0,17,50.0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,177.0,152.5,314.5
35,Tennessee,SEC,FBS,624.5,0,0.0,41,31.5,55,16.0,0,0,0,0,0,0.0,9,64.0,33,25,17,50,25,48.5,55,16,0,0,0,0,0,0,83.5,290.0,251.0
36,Illinois,Big Ten,FBS,592.0,0,0.0,26,46.5,11,66.0,0,0,0,0,0,0.0,0,0.0,17,50,5,73,0,0,20,52.5,0,0,0,0,0,0,97.5,206.5,288.0
37,Colorado,Pac 12,FBS,591.5,0,0.0,19,55.0,37,34.5,9,53,0,0,0,0.0,0,0.0,0,0,0,0,37,36.5,0,0,0,0,0,0,0,0,269.5,143.0,179.0
38,Ole Miss,SEC,FBS,588.5,17,50.0,24,50.0,31,40.5,0,0,0,0,0,0.0,17,50.0,9,64,9,64,20,53.5,26,48,0,0,0,0,0,0,130.0,38.5,420.0
