,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
123,North Carolina Wilmington,CAA,DI,147.0,17,50.0,0,0.0,50,22.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50.0,0.0,97.0
124,New Mexico State,WAC,FBS,145.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,45.0,25.0,75.0
125,Kennesaw State,Atlantic Sun,FCS,144.0,0,0.0,53,19.0,67,5.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,0.0,49.0
126,Liberty,Big South,FCS,143.5,0,0.0,0,0.0,43,28.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,62,9.5,0,0,0,0,0,0,0.0,56.0,87.5
127,Memphis,American,FBS,142.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,56,15,20,52.5,0,0,0,0,0,0,50.0,0.0,92.5
128,SMU,American,FBS,142.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0,25.0,0.0
129,Murray State,OVC,FCS,141.0,0,0.0,62,11.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,105.0,11.0
130,Buffalo,MAC,FBS,139.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,25.0
130,Butler,Big East,FCS,139.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,50.0,0.0
130,Eastern Kentucky,OVC,FCS,139.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,35,37,0,0,0,0,0,0,51.0,26.0,62.0
133,Boston University,Patriot,DI,138.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,60.0,25.0
134,Nevada,Mountain West,FBS,136.0,0,0.0,0,0.0,50,22.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,22.0
135,Tulsa,American,FBS,135.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,33,37.5,9,64,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0.0,101.5
136,St. John's  (NY),Big East,DI,134.5,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,62.5
137,Northeastern,CAA,DI,127.0,49,25.0,0,0.0,0,0.0,0,0,0,0,19,36.0,0,0.0,0,0,0,0,0,0,55,16,0,0,0,0,0,0,0.0,50.0,77.0
138,Creighton,Big East,DI,125.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,75.0,0.0
138,VCU,Atlantic 10,DI,125.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,75.0,0.0,50.0
140,Samford,SoCon,FCS,122.5,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,54,20,0,0,0,0,0,0,53.0,12.0,57.5
141,Portland,WCC,DI,118.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,46,23.5,66,5,0,0,0,0,0,0,90.0,0.0,28.5
142,Missouri State,Missouri Valley,FCS,117.5,33,37.5,65,5.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,67.5
143,Miami (OH),MAC,FBS,117.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,39.0,0.0
144,Old Dominion,Conference USA,FBS,116.0,0,0.0,53,19.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50.0,22.0,44.0
145,Southern Mississippi,Conference USA,FBS,115.5,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,40,33,0,0,0,0,0,0,25.0,20.0,70.5
146,Loyola Maryland,Patriot,DI,113.0,0,0.0,0,0.0,0,0.0,9,53,5,60,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,113.0
147,Jacksonville,Atlantic Sun,FCS,108.5,33,37.5,0,0.0,55,16.0,17,25,0,0,22,30.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,108.5
148,Hofstra,CAA,DI,108.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,45.5,37.5
148,Jacksonville State,OVC,FCS,108.0,0,0.0,0,0.0,67,5.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0.0,55.0
150,Central Arkansas,Southland,FCS,103.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,0.0,0.0
151,Brown,Ivy League,FCS,102.0,0,0.0,0,0.0,0,0.0,0,0,0,0,10,60.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,60.0
152,Alabama State,SWAC,FCS,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,50.0,0.0,50.0
152,Drake,Missouri Valley,FCS,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,17,50.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0.0,25.0,75.0
152,Fairfield,MAAC,DI,100.0,0,0.0,0,0.0,0,0.0,17,25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0.0,25.0
152,Marquette,Big East,DI,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25.0,50.0,25.0
152,Monmouth,MAAC,FCS,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50.0,0.0,50.0
152,Saint Francis  (PA),Northeast,FCS,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,50.0,25.0
152,Western Kentucky,Conference USA,FBS,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,25.0,0.0
159,Arkansas State,Sun Belt,FBS,99.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,46,23.5,0,0,0,0,0,0,0,0,25.0,51.0,23.5
160,Fordham,Atlantic 10,FCS,98.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0.0,25.0
161,George Washington,Atlantic 10,DI,96.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,71.5,0.0
162,McNeese State,Southland,FCS,96.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0.0,62.5
162,North Florida,Atlantic Sun,DI,96.0,0,0.0,0,0.0,28,46.0,0,0,0,0,0,0.0,0,0.0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0
162,Towson,CAA,FCS,96.0,0,0.0,0,0.0,0,0.0,9,53,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43.0,53.0
165,Florida Atlantic,Conference USA,FBS,95.0,17,50.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0.0,50.0
165,Georgia State,Sun Belt,FBS,95.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,45.0,25.0,25.0
165,Marshall,Conference USA,FBS,95.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,50.0,0.0
165,Ohio,MAC,FBS,95.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0.0,50.0
169,Iona,MAAC,DI,94.5,0,0.0,0,0.0,79,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,25.0,5.0
170,UNLV,Mountain West,FBS,94.0,0,0.0,33,39.5,19,54.5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,94.0
171,UC Irvine,Big West,DI,93.6,0,0.0,0,0.0,62,8.6,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5,25,5,60,0,0,0.0,0.0,93.6
172,UTEP,Conference USA,FBS,93.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,31,42,0,0,0,0,0,0,0.0,51.0,42.0
173,North Carolina Greensboro,SoCon,DI,91.0,0,0.0,0,0.0,55,16.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,41.0
174,Temple,American,FBS,90.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,45.0,0.0
175,Tennessee Tech,OVC,FCS,89.0,9,64.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.0
175,Western Michigan,MAC,FBS,89.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,64.0,0.0,25.0
177,Texas State,Sun Belt,FBS,87.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,16.5,37.5
178,Lehigh,Patriot,FCS,85.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,60.0,0.0
178,Wagner,Northeast,FCS,85.0,0,0.0,0,0.0,0,0.0,17,25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0.0,0.0,85.0
180,South Carolina State,MEAC,FCS,83.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,49,23,0,0,0,0,0,0,0.0,35.5,48.0
181,Loyola Chicago,Missouri Valley,DI,83.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,0.0
181,UMBC,America East,DI,83.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,40,33,0,0,0,0,0,0,0,0,0.0,50.0,33.0
183,Troy,Sun Belt,FBS,82.5,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0.0,37.5
184,Northern Illinois,MAC,FBS,82.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,56,15,0,0,0,0,0,0,0,0,25.0,42.0,15.0
184,Rhode Island,Atlantic 10,FCS,82.0,0,0.0,0,0.0,0,0.0,0,0,0,0,21,32.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,32.0
186,Fresno State,Mountain West,FBS,81.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,45.0,11.0,25.0
187,LIU Brooklyn,Northeast,DI,80.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5.0,50.0
188,Northern Colorado,Big Sky,FCS,76.5,0,0.0,0,0.0,55,16.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.5,16.0
189,DePaul,Big East,DI,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,25.0
189,Florida Gulf Coast,Atlantic Sun,DI,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,50.0,0.0
189,High Point,Big South,DI,75.0,0,0.0,0,0.0,0,0.0,17,25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,25.0
189,Mercer,SoCon,FCS,75.0,0,0.0,0,0.0,0,0.0,17,25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0
189,Quinnipiac,MAAC,DI,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,25.0
189,Seattle,WAC,DI,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,25.0,0.0
189,South Alabama,Sun Belt,FBS,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,25.0,0.0,50.0
189,Vermont,America East,DI,75.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0.0
197,Rice,Conference USA,FBS,73.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,49,23,0,0,0,0,0,0,25.0,0.0,48.0
198,Santa Clara,WCC,DI,72.6,0,0.0,0,0.0,62,8.6,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0.0,8.6
199,Bucknell,Patriot,FCS,72.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,47.0,0.0
199,Montana State,Big Sky,FCS,72.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,0.0
201,Weber State,Big Sky,FCS,70.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0.0,0.0
201,Wofford,SoCon,FCS,70.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0.0,0.0
203,Idaho,Big Sky,FBS,69.0,0,0.0,53,19.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.0
204,Appalachian State,Sun Belt,FBS,67.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,22.0,0.0
205,Cal State Bakersfield,WAC,DI,66.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,41.0,0.0
206,American,Patriot,DI,65.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,40.5,0.0
207,College of Charleston,CAA,DI,64.5,0,0.0,58,14.5,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,14.5
208,Stetson,Atlantic Sun,FCS,64.0,9,64.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,64.0
208,UC Davis,Big West,FCS,64.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,34,39,0,0,0,0,0,0,0,0,25.0,0.0,39.0
210,Cal Poly,Big West,FCS,61.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,11.0,0.0
211,Utah Valley,WAC,DI,55.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,30.5,0.0
212,Cleveland State,Horizon League,DI,55.0,0,0.0,0,0.0,73,5.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25.0,0.0,30.0
212,Richmond,Atlantic 10,FCS,55.0,0,0.0,65,5.0,0,0.0,17,25,9,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.0
214,Delaware,CAA,FCS,53.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0.0,0.0
214,Saint Joseph's,Atlantic 10,DI,53.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0.0,0.0
216,Youngstown State,Horizon League,FCS,51.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,25.0
217,Canisius,MAAC,DI,50.0,49,25.0,0,0.0,0,0.0,0,0,17,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0
217,East Tennessee State,SoCon,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25.0,0.0,25.0
217,Elon,CAA,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,0.0
217,Grambling State,SWAC,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,0.0
217,Illinois Chicago,Horizon League,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,25.0
217,Lamar,Southland,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25.0,0.0,25.0
217,Lipscomb,Atlantic Sun,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,0.0
217,Louisiana Lafayette,Sun Belt,FBS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,17,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0
217,Massachusetts,Atlantic 10,FBS,50.0,0,0.0,0,0.0,0,0.0,0,0,9,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,25.0
217,Nicholls State,Southland,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,0.0
217,North Texas,Conference USA,FBS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,0.0
217,Radford,Big South,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,0.0
217,Seton Hall,Big East,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0
217,Texas Southern,SWAC,FCS,50.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0
217,Toledo,MAC,FBS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,0.0
217,William & Mary,CAA,FCS,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,25.0
217,Winthrop,Big South,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0
217,Wright State,Horizon League,DI,50.0,49,25.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,25.0
217,Xavier,Big East,DI,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0
236,Northwestern State,Southland,FCS,47.0,33,37.5,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,62,9.5,0,0,0,0,0,0,0.0,0.0,47.0
236,Texas Arlington,Sun Belt,DI,47.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,27,47,0,0,0,0,0,0,0,0,0.0,0.0,47.0
238,Louisiana Tech,Conference USA,FBS,45.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0.0,0.0
239,Louisiana Monroe,Sun Belt,FBS,43.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43.5,0.0
240,East Carolina,American,FBS,42.5,33,37.5,69,5.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42.5
241,NJIT,Atlantic Sun,DI,42.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,0.0
242,Grand Canyon,WAC,DI,41.0,0,0.0,65,5.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0,5.0
243,Drexel,CAA,DI,39.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.0,0.0
244,Fairleigh Dickinson,Northeast,DI,35.0,0,0.0,69,5.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,5.0
245,Sacramento State,Big Sky,FCS,34.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,62,9.5,0,0,0,0,0,0,0.0,0.0,34.5
246,Incarnate Word,Southland,FCS,34.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,0.0
247,UMKC,WAC,DI,33.6,0,0.0,0,0.0,62,8.6,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.6
248,Sacred Heart,Northeast,FCS,32.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32.0,0.0
249,Central Connecticut State,Northeast,FCS,30.0,0,0.0,0,0.0,79,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,5.0
249,Davidson,Atlantic 10,FCS,30.0,0,0.0,0,0.0,73,5.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,5.0
249,IUPUI,Horizon League,DI,30.0,0,0.0,69,5.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,5.0
249,Nebraska Omaha,Summit,DI,30.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,67,5,0,0,0,0,0,0,0,0,25.0,0.0,5.0
249,Prairie View A&M,SWAC,FCS,30.0,0,0.0,0,0.0,79,5.0,0,0,0,0,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,30.0
254,Abilene Christian,Southland,FCS,28.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0.0,0.0
254,Rider,MAAC,DI,28.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,0.0
256,UTSA,Conference USA,FBS,27.0,0,0.0,45,27.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.0
257,Tennessee Chattanooga,SoCon,FCS,25.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.5,0.0
258,Arkansas Little Rock,Sun Belt,DI,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0
258,Austin Peay State,OVC,FCS,25.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0
