,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
201,Air Force,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Bowling Green,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Oakland (Mich.),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,George Mason,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Utah State,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Fairleigh Dickinson (N.J.),57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
207,Southeastern Louisiana,55,0,0,0,0,43,30,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
207,Rhode Island,55,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Charleston,52,0,0,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Western Illinois,51,0,0,0,0,46,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,UC Davis,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,North Carolina Wilmington,50.5,0,0,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23.5,0,0,0,0,0,0
213,Wright State (Ohio),50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
213,UC Riverside,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Tennessee Tech,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
213,Stetson (Fla.),50,33,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
213,Stephen F. Austin,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Southeast Missouri State,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Pacific (Calif.),50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
213,North Carolina Asheville,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Niagara,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Missouri State,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Loyola (Ill.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Lafayette,50,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Idaho State,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Gonzaga (Wash.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Fairfield,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Wagner (N.Y.),46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46
228,San Francisco,46,0,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Florida Atlantic,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Rider (N.J.),44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Eastern Illinois,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,La Salle (Penn.),38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,24,0,0,0,0
234,Jackson State (Miss.),37,0,0,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Florida International,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,59,11.5,0,0,0,0,0,0
236,Campbell,36,0,0,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Central Florida,35.5,0,0,0,0,38,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Tulane (La.),34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0
239,Drexel (Penn.),33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Toledo,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0
240,Siena,30,0,0,0,0,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Hartford,30,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Birmingham Southern,30,0,0,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Texas Pan American,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15.5,0,0,0,0
245,Fordham (N.Y.),29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Cal State Bakersfield,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Wofford (S.C.),25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Texas Arlington,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Tennessee Martin,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Southern Utah,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
247,South Carolina State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
247,Robert Morris (Penn.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Radford (Va.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
247,Quinnipiac (Conn.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
247,North Texas,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,New Orleans (La.),25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,New Mexico State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Mississippi Valley State,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
247,Loyola (Md.),25,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Howard (D.C.),25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
247,Grambling State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Florida A&M,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Elon (N.C.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
247,Eastern Kentucky,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Detroit Mercy (Mich.),25,0,0,0,0,74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Deleware State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Davidson (N.C.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Colgate (N.Y.),25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
247,Central Connecticut State,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Canisius,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
247,Bethune-Cookman (Fla.),25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Austin Peay,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Alcorn State (Miss.),25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
247,Alabama A&M,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
275,Northwestern State (La.),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,24,0,0,0,0
276,Cleveland State,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Virginia Military,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Northern Colorado,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Texas San Antonio,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11.5,73,5,0,0,0,0
280,Arkansas State,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15.5,0,0,0,0
281,Buffalo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,St. Francis (N.Y.),12,0,0,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,North Dakota State,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Wyoming,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Texas Southern,5,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,South Dakota State,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Eastern Washington,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0
284,Duquesne (Penn.),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
