,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
25,Baylor (Tex.),570.5,3,83,37,35.5,49,23,0,0,0,0,0,0,9,64,9,64,2,90,0,0,19,0,0,0,0,0
26,Texas A&M,566.25,0,0,22,52,26,47.5,0,0,0,0,0,0,9,64,17,50,9,64,47,23.5,29,44.5,0,0,0,0
27,Brigham Young (Utah),561.5,0,0,24,50,4,80,0,0,0,0,0,0,33,25,17,50,0,0,10,0,4,77.5,0,0,0,0
28,Maryland,554.5,0,0,0,0,61,12,9,25,3,83,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
29,Northwestern (Ill.),532.75,0,0,41,32.5,0,0,1,100,0,0,0,0,9,64,9,64,33,25,0,0,0,0,0,0,0,0
30,Florida State,530,9,64,0,0,0,0,0,0,0,0,0,0,17,50,33,25,5,73,0,0,4,77.5,0,0,0,0
31,Georgia Tech,526,9,64,0,0,2,90,0,0,0,0,0,0,17,50,9,64,33,25,18,54.5,0,0,0,0,0,0
32,Arkansas,521.75,17,50,11,65.25,26,47.5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0
33,Michigan State,521,0,0,17,57,37,35,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,South Carolina,506.5,17,50,25,48,31,42,0,0,0,0,0,0,0,0,17,50,9,64,2,87.5,26,0,0,0,0,0
35,Kentucky,505.5,0,0,0,0,7,72,0,0,0,0,0,0,0,0,5,73,17,50,0,0,37,33.5,0,0,0,0
36,Illinois,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,32,36.5,0,0,0,0,0,0
37,Wake Forest (N.C.),496.5,0,0,49,24,16,58.5,0,0,0,0,0,0,0,0,17,50,17,50,60,0,0,0,0,0,0,0
38,Alabama,490.75,17,50,0,0,28,46,0,0,0,0,0,0,5,73,33,25,0,0,13,62.25,67,5,0,0,0,0
39,Iowa,467.75,0,0,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,65,0,0,0,0,0,0,0
40,Indiana,466.5,0,0,0,0,54,19,0,0,0,0,0,0,0,0,33,25,0,0,0,0,19,0,0,0,0,0
41,Missouri,462.25,33,25,16,58.5,20,53.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0,37,0,0,0,0,0
42,Princeton (N.J.),448.25,0,0,36,38,73,5,5,60,0,0,5,73,33,25,0,0,0,0,0,0,0,0,0,0,0,0
43,Harvard (Mass.),446.25,49,25,0,0,0,0,0,0,0,0,6,64,0,0,9,64,0,0,47,23.5,60,11.5,0,0,0,0
44,Oklahoma State,436.75,0,0,8,69.75,15,60,0,0,0,0,0,0,17,50,0,0,17,50,44,29,0,0,0,0,0,0
45,Colorado,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,64.5,31,42.5,0,0,0,0
46,Purdue (Ind.),400,0,0,20,54,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
47,Southern Methodist (Tex.),398,0,0,31,41,22,52,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
48,New Mexico,395,0,0,37,35.5,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Miami (Fla.),394.5,9,64,37,35.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,9,0,0,0,0,0,0,0
50,Louisville (Ky.),391.5,0,0,0,0,45,29,0,0,0,0,0,0,33,25,0,0,17,50,0,0,0,0,0,0,0,0
51,North Carolina State,386.5,33,25,41,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,37,33.5,0,0,0,0
52,Clemson (S.C.),383.5,9,64,0,0,34,40,0,0,0,0,0,0,0,0,3,83,17,50,32,0,37,33.5,0,0,0,0
53,Pepperdine (Calif.),370,17,50,4,80,31,42,0,0,0,0,0,0,0,0,17,50,5,73,0,0,0,0,1,50,0,0
54,Oregon,367,0,0,28,45,42,31,0,0,0,0,0,0,17,50,17,50,0,0,32,36.5,9,0,0,0,0,0
55,Utah,366.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Texas Tech,366,0,0,46,27,61,12,0,0,0,0,0,0,0,0,0,0,9,64,32,36.5,16,58.5,0,0,0,0
57,Boston College (Mass.),350,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Virginia Tech,331.5,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,13,63,0,0,0,0
59,West Virginia,318.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,0,0,0,0,0,0
60,Iowa State,285.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52.5,0,0,0,0
61,Kansas,285,0,0,0,0,37,35,0,0,0,0,0,0,33,25,0,0,0,0,32,0,25,49,0,0,0,0
62,Nevada Las Vegas,284.25,33,25,31,41,8,69.75,0,0,0,0,0,0,33,25,33,25,0,0,47,23.5,0,0,0,0,0,0
63,Connecticut,276.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23.5,0,0,0,0,0,0
64,Mississippi State,274,17,50,46,27,0,0,0,0,0,0,0,0,17,50,33,25,33,25,0,0,26,47,0,0,0,0
65,Boise State (Idaho),270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,14,61.5,0,0,0,0
66,Rutgers (N.J.),266.75,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,17.5,0,0,0,0
67,Mississippi,253,9,64,0,0,0,0,0,0,0,0,0,0,0,0,33,25,3,83,65,5,31,0,0,0,0,0
68,Denver (Colo.),250.5,0,0,58,15,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Dartmouth (N.H.),248,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,19,52.5,0,0,0,0
70,Tulane (La.),247,5,73,15,60,0,0,0,0,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0
71,Vanderbilt (Tenn.),246.5,0,0,28,45,67,5,0,0,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0
72,American (D.C.),244.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33.5,0,0,0,0
73,Cornell (N.Y.),235.25,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Georgetown (D.C.),233.5,0,0,0,0,0,0,5,60,5,60,0,0,0,0,0,0,0,0,0,0,33,40,0,0,0,0
75,Villanova (Penn.),228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,William and Mary (Va.),226.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,60,11.5,0,0,0,0
77,Kansas State,221.5,0,0,0,0,58,15,0,0,0,0,0,0,0,0,0,0,0,0,32,0,46,0,0,0,0,0
78,California Poly San Louis Obispo,221.25,0,0,0,0,64,7.5,0,0,0,0,0,0,0,0,0,0,0,0,13,62.25,54,17.5,0,0,0,0
79,Oregon State,216,7,73,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
80,Army (N.Y.),209.25,33,25,0,0,70,5,0,0,9,25,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
81,New Hampshire,205.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,UC Santa Barbara,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Central Florida,202,0,0,0,0,46,27,0,0,0,0,0,0,33,25,0,0,33,25,0,0,0,0,0,0,0,0
84,Air Force (Colo.),201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,0,0,0,0,0,0
85,Colorado State,197,0,0,43,30,58,15,0,0,0,0,0,0,0,0,0,0,0,0,22,51.5,67,0,0,0,0,0
86,Yale (Conn.),192,0,0,0,0,0,0,0,0,0,0,7,55,0,0,0,0,0,0,60,0,0,0,0,0,0,0
87,Creighton (Neb.),189,17,50,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
88,Furman (S.C.),188,49,25,21,53,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
89,Rice (Tex.),187.5,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,47,23.5,0,0,0,0,0,0
90,Kent State (Ohio),185.75,0,0,31,41,49,23,0,0,0,0,0,0,0,0,0,0,0,0,32,36.5,0,0,0,0,0,0
91,Providence (R.I.),173.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44,0,0,0,0,0,0
92,Virginia Commonwealth,173,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0
93,Wichita State (Kan.),172,17,50,0,0,31,42,0,0,0,0,0,0,49,25,0,0,0,0,65,5,0,0,0,0,0,0
94,Oral Roberts (Okla.),171.5,17,50,55,18,0,0,0,0,0,0,0,0,0,0,0,0,33,25,55,0,0,0,0,0,0,0
95,Richmond (Va.),171,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
95,Texas Christian U.,171,33,25,55,18,49,23,0,0,0,0,0,0,0,0,17,50,33,25,70,5,0,0,0,0,0,0
97,Pittsburgh (Penn.),170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
98,Columbia/Barnard (N.Y.),169.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
99,Tulsa (Okla.),169,0,0,23,51,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,James Madison (Va.),166,0,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
