,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford (Calif.),1238.75,17,50,19,55,18,55.5,0,0,0,0,0,0,9,64,1,100,17,50,5,75,7,72,0,0,2,0
2,Texas,1074,1,100,25,48,23,50,0,0,0,0,0,0,3,83,2,90,17,50,1,100,8,70.5,0,0,0,0
3,UCLA,1067,0,0,2,90,30,44,0,0,0,0,0,0,2,90,9,64,1,100,2,87.5,33,0,2,35,1,50
4,Michigan,1064.25,33,25,43,30,0,0,0,0,0,0,8,46,1,100,33,0,0,0,32,0,29,0,0,0,6,32
5,Duke (N.C.),1021.25,0,0,1,100,8,69.75,3,83,2,90,0,0,0,0,17,50,9,64,18,0,0,0,0,0,0,0
6,Florida,979.25,2,90,10,67.5,18,55.5,0,0,0,0,0,0,49,25,3,83,3,83,10,0,2,0,0,0,0,0
7,Georgia,970,0,0,25,48,1,100,0,0,0,0,0,0,9,64,5,73,5,73,6,73.5,15,60,0,0,0,0
8,Tennessee,960.25,7,73,6,72.75,11,65.25,0,0,0,0,0,0,3,83,17,50,9,64,4,0,19,0,0,0,0,0
9,North Carolina,940.5,33,25,0,0,42,31,5,60,0,0,0,0,17,50,5,73,33,25,18,0,19,52.5,0,0,0,0
10,Southern California,902.25,9,64,11,65.25,6,73.5,0,0,0,0,11,19,0,0,5,73,17,50,7,72,6,73.5,0,0,3,42.5
11,Arizona State,838.25,3,83,8,69.75,11,65.25,0,0,0,0,0,0,33,25,17,50,0,0,0,0,17,0,0,0,0,0
12,Ohio State,834.25,33,25,6,72.75,0,0,0,0,0,0,4,80,0,0,0,0,17,50,55,17,66,5,3,12.5,0,0
13,Virginia,808.5,49,25,13,63,35,38.5,2,90,3,83,2,90,0,0,0,0,5,73,44,29,0,0,0,0,0,0
14,Washington,797.25,0,0,14,61.5,3,85,0,0,0,0,9,37,9,64,17,50,9,64,15,59.25,0,0,0,0,0,0
15,California,792.5,0,0,5,75,0,0,0,0,0,0,1,100,7,73,9,64,17,50,29,44,60,11.5,0,0,0,0
16,Notre Dame (Ind.),788,17,50,52,21,37,35,0,0,0,0,0,0,17,50,17,50,33,25,55,17,60,0,0,0,0,0
17,Auburn (Ala.),781,17,50,3,85,37,35,0,0,0,0,0,0,33,25,0,0,17,50,15,0,9,0,0,0,0,0
18,Arizona,739,17,50,37,35.5,17,57,0,0,0,0,0,0,5,73,0,0,0,0,60,0,9,67.5,0,0,0,0
19,Wisconsin,686.75,0,0,0,0,0,0,0,0,0,0,12,10,49,25,33,25,0,0,0,0,26,0,0,0,0,0
20,Penn State,657.25,0,0,0,0,58,15,9,25,9,25,0,0,17,50,0,0,0,0,60,0,0,0,3,12.5,0,0
21,Nebraska,649.25,5,73,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,8,0,18,0,0,0,0,0
22,Minnesota,622.75,0,0,0,0,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
23,Louisiana State U.,614.5,17,50,28,45,70,5,0,0,0,0,0,0,0,0,33,25,9,64,24,0,3,85,0,0,0,0
24,Oklahoma,571.25,17,50,0,0,64,7.5,0,0,0,0,0,0,9,64,0,0,33,25,0,0,36,0,0,0,0,0
