,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
37,BYU,WCC,FBS,637.75,0,0,0,0,23,50.5,0,0,0,0,0,0,0,0,0,0,0,0,17,56,10,67.5,0,0,0,0,0,0
38,Oregon,Pac-12,FBS,620.25,9,64,55,16,27,47,0,0,0,0,0,0,9,64,0,0,0,0,4,80,61,8.5,0,0,0,0,0,0
39,Ole Miss,SEC,FBS,593.75,0,0,28,46,55,15.5,0,0,0,0,0,0,17,50,0,0,17,50,25,47.5,61,8.5,0,0,0,0,0,0
40,Indiana,Big Ten,FBS,581.5,17,50,0,0,37,34,0,0,0,0,17,40,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Harvard,Ivy League,FCS,578.75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,9,64,9,69,11,65.25,0,0,0,0,0,0
42,Wake Forest,ACC,FBS,569,3,83,1,100,37,34,0,0,0,0,0,0,0,0,17,50,17,50,0,0,44,29,0,0,0,0,0,0
43,Arizona,Pac-12,FBS,565.05,49,25,9,68.25,44,27.5,0,0,0,0,0,0,0,0,0,0,9,64,43,28.5,17,56.5,0,0,0,0,0,0
44,Maryland,Big Ten,FBS,561.5,33,37.5,37,34,0,0,9,53,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Syracuse,ACC,FBS,559.5,0,0,0,0,0,0,3,83,0,0,13,51,0,0,0,0,0,0,56,15,37,34,0,0,0,0,0,0
46,Baylor,Big 12,FBS,543,0,0,17,57,30,44,0,0,0,0,0,0,33,37.5,17,50,33,25,43,28.5,19,55,0,0,0,0,0,0
47,Texas Tech,Big 12,FBS,501,17,50,21,53,16,58.5,0,0,0,0,0,0,0,0,33,25,33,25,25,47.5,6,73.5,0,0,0,0,0,0
48,Iowa,Big Ten,FBS,487,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,0,0,0,0
49,Miami (FL),ACC,FBS,480,17,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,63,8.5,21,53,0,0,0,0,0,0
50,Missouri,SEC,FBS,477.5,0,0,0,0,37,34,0,0,0,0,0,0,33,37.5,0,0,0,0,29,44.5,37,34,0,0,0,0,0,0
51,Clemson,ACC,FBS,475.5,33,37.5,24,49.5,31,42.5,0,0,0,0,0,0,9,64,0,0,0,0,52,20.5,47,23.5,0,0,0,0,0,0
52,Pittsburgh,ACC,FBS,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Michigan State,Big Ten,FBS,447.75,0,0,18,55.5,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23.5,0,0,0,0,0,0
54,Illinois,Big Ten,FBS,443.35,0,0,62,8.6,5,72.75,0,0,0,0,0,0,0,0,33,25,33,25,63,8.5,0,0,0,0,0,0,0,0
55,Virginia Tech,ACC,FBS,443,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,25,47.5,0,0,0,0,0,0,0,0
56,Vanderbilt,SEC,FBS,437.25,33,37.5,27,47,11,65.25,0,0,0,0,0,0,0,0,17,50,0,0,20,53.5,0,0,0,0,0,0,0,0
57,Mississippi State,SEC,FBS,430,0,0,13,63,25,48.5,0,0,0,0,0,0,0,0,0,0,9,64,0,0,32,40.5,0,0,0,0,0,0
58,Oregon State,Pac-12,FBS,414.25,17,50,22,51.5,55,15.5,0,0,0,0,0,0,0,0,0,0,0,0,37,34.5,0,0,0,0,0,0,0,0
