,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
15,Penn State,727.875,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,17,50,0,0,33,25,25,46.5,0,0.0,2,35,0,0.0
16,Minnesota,725.25,0,0,0,0.0,3,82.5,0,0.0,0,0.0,0,0,0,0,0,0,17,50,19,0.0,22,50.5,0,0,0,0.0
17,Florida State,713.0,17,50,16,58.5,40,32.5,0,0.0,0,0.0,0,0,9,64,0,0,17,50,14,60.0,1,100.0,0,0,0,0.0
18,Washington,692.25,0,0,6,72.0,9,68.25,0,0.0,0,0.0,7,55,9,64,0,0,9,64,21,52.5,22,0.0,0,0,0,0.0
19,Nebraska,685.5,49,25,20,54.0,64,7.5,0,0.0,0,0.0,0,0,17,50,33,25,0,0,4,77.5,14,0.0,0,0,0,0.0
20,Louisiana State U.,675.125,0,0,23,51.0,0,0.0,0,0.0,0,0.0,0,0,9,64,0,0,33,25,7,0.0,2,0.0,0,0,0,0.0
21,Alabama,674.5,9,64,24,50.0,40,32.5,0,0.0,0,0.0,0,0,7,73,33,25,33,25,17,57.0,52,0.0,0,0,0,0.0
22,Wisconsin,662.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,8,46,0,0,0,0,0,0,0,0.0,8,0.0,0,0,0,0.0
23,Texas A&M,649.5,0,0,19,55.0,14,61.5,0,0.0,0,0.0,0,0,33,25,17,50,17,50,10,67.5,20,53.5,0,0,0,0.0
24,Michigan,643.375,33,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0,9,64,17,50,33,25,13,63.0,30,41.5,0,0,0,0.0
25,Auburn (Ala.),621.625,0,0,12,64.5,16,51.0,0,0.0,0,0.0,0,0,17,50,0,0,33,25,1,100.0,40,0.0,0,0,0,0.0
26,Virginia,586.0,33,25,25,49.0,0,0.0,9,12.5,1,50.0,0,0,0,0,17,50,5,73,34,39.0,0,0.0,0,0,0,0.0
27,Maryland,560.25,0,0,40,33.0,58,14.5,9,12.5,3,41.25,0,0,0,0,33,25,0,0,47,0.0,30,41.5,0,0,0,0.0
28,Arkansas,547.625,33,25,10,67.5,0,0.0,0,0.0,0,0.0,0,0,0,0,33,25,17,50,25,46.5,5,0.0,0,0,0,0.0
29,Northwestern (Ill.),537.5,0,0,28,45.0,16,51.0,1,50.0,0,0.0,0,0,2,90,5,73,0,0,0,0.0,0,0.0,0,0,0,0.0
30,Oklahoma State,516.5,17,50,18,56.0,1,100.0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,37,34.5,0,0.0,0,0,0,0.0
31,Brigham Young (Utah),512.5,0,0,28,45.0,15,60.0,0,0.0,0,0.0,0,0,33,25,33,25,0,0,64,7.5,9,67.5,0,0,0,0.0
32,Baylor (Tex.),511.0,17,50,40,33.0,58,14.5,0,0.0,0,0.0,0,0,17,50,5,73,3,83,47,0.0,20,0.0,0,0,0,0.0
33,Kentucky,505.75,17,50,0,0.0,5,75.0,0,0.0,0,0.0,0,0,0,0,9,64,33,25,0,0.0,0,0.0,0,0,0,0.0
34,North Carolina State,504.5,17,50,46,27.0,16,51.0,0,0.0,0,0.0,0,0,33,25,17,50,33,25,58,0.0,0,0.0,0,0,0,0.0
35,Purdue (Ind.),492.0,0,0,9,69.0,36,37.0,0,0.0,0,0.0,0,0,0,0,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
36,Pepperdine (Calif.),489.0,17,50,3,85.0,16,51.0,0,0.0,0,0.0,0,0,0,0,17,50,1,100,0,0.0,0,0.0,0,0,0,0.0
37,Oklahoma,482.125,9,64,0,0.0,16,51.0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
38,Indiana,478.5,0,0,0,0.0,31,41.0,0,0.0,0,0.0,0,0,33,25,33,25,0,0,0,0.0,15,60.0,0,0,0,0.0
39,Clemson (S.C.),477.25,5,73,0,0.0,7,71.25,0,0.0,0,0.0,0,0,0,0,17,50,17,50,0,0.0,26,47.0,0,0,0,0.0
40,Illinois,460.25,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,23,50.5,65,0.0,0,0,0,0.0
41,Colorado,440.5,0,0,0,0.0,62,11.5,0,0.0,0,0.0,0,0,0,0,0,0,17,50,25,46.5,0,0.0,0,0,0,0.0
42,Miami (Fla.),438.25,5,73,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,90,9,64,7,0.0,58,13.0,0,0,0,0.0
43,South Carolina,437.5,9,64,37,36.0,16,51.0,0,0.0,0,0.0,0,0,0,0,33,25,33,25,3,85.0,30,41.5,0,0,0,0.0
44,Wake Forest (N.C.),435.0,0,0,15,60.0,3,82.5,0,0.0,0,0.0,0,0,0,0,17,50,17,50,47,22.0,0,0.0,0,0,0,0.0
45,Virginia Tech,430.75,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,34,0.0,12,63.75,0,0,0,0.0
46,Michigan State,430.5,0,0,26,47.5,0,0.0,0,0.0,0,0.0,6,64,0,0,0,0,0,0,47,22.0,0,0.0,0,0,0,0.0
47,Princeton (N.J.),399.5,49,25,0,0.0,76,5.0,5,30.0,5,30.0,3,85,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
48,Missouri,379.625,9,64,43,30.0,55,18.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,58,0.0,0,0.0,0,0,0,0.0
49,Southern Methodist (Tex.),376.5,0,0,35,38.5,44,29.0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,77,0.0,0,0.0,0,0,0,0.0
50,Georgia Tech,373.0,7,73,0,0.0,16,51.0,0,0.0,0,0.0,0,0,17,50,9,64,17,50,47,0.0,0,0.0,0,0,0,0.0
51,Boston College (Mass.),351.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
52,West Virginia,349.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
53,Iowa,349.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,49,25,33,25,0,0,20,0.0,0,0.0,0,0,0,0.0
54,Louisville (Ky.),338.0,0,0,0,0.0,64,7.5,0,0.0,0,0.0,0,0,17,50,0,0,17,50,37,34.5,30,41.5,0,0,0,0.0
55,Texas Christian U.,332.5,33,25,49,23.5,39,35.0,0,0.0,0,0.0,0,0,0,0,9,64,17,50,47,22.0,0,0.0,0,0,0,0.0
56,Utah,324.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
57,Oregon State,318.125,1,100,37,36.0,0,0.0,0,0.0,0,0.0,0,0,7,73,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
58,Connecticut,300.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
59,New Mexico,285.0,0,0,40,33.0,36,37.0,0,0.0,0,0.0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
60,Kansas,264.75,33,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,64,0.0,30,0.0,0,0,0,0.0
61,Hawaii,257.5,17,50,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,40.0
62,Fresno State (Calif.),246.0,17,50,0,0.0,36,37.0,0,0.0,0,0.0,0,0,17,50,9,64,0,0,0,0.0,0,0.0,0,0,0,0.0
63,Oregon,245.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,11,66.0,12,0.0,0,0,0,0.0
64,Vanderbilt (Tenn.),243.0,17,50,31,41.5,0,0.0,0,0.0,0,0.0,0,0,0,0,9,64,0,0,0,0.0,0,0.0,0,0,0,0.0
65,Rice (Tex.),241.5,3,83,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,33,25,17,50,37,34.5,0,0.0,0,0,0,0.0
66,Cornell (N.Y.),241.0,0,0,0,0.0,0,0.0,9,12.5,9,12.5,0,0,0,0,0,0,0,0,47,0.0,0,0.0,0,0,0,0.0
67,Dartmouth (N.H.),232.5,0,0,0,0.0,0,0.0,2,45.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
68,Georgetown (D.C.),229.0,0,0,0,0.0,0,0.0,5,30.0,5,30.0,0,0,0,0,0,0,0,0,64,7.5,58,0.0,0,0,0,0.0
69,Harvard (Mass.),224.0,0,0,0,0.0,0,0.0,0,0.0,9,12.5,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
70,Northern Iowa,222.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,70,5.0,52,0.0,0,0,0,0.0
71,Washington State,219.5,0,0,53,20.0,0,0.0,0,0.0,0,0.0,4,80,0,0,0,0,0,0,25,46.5,26,47.0,0,0,0,0.0
72,Nevada Las Vegas,218.5,0,0,22,52.0,16,51.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
73,Cal State Fullerton,217.5,3,83,0,0.0,0,0.0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
73,Santa Clara (Calif.),217.5,0,0,0,0.0,62,11.5,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
75,Mississippi,216.5,9,64,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0.0,40,31.5,0,0,0,0.0
76,Rutgers (N.J.),209.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
76,Texas El Paso,209.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,34,39.0,7,72.0,0,0,0,0.0
78,Providence (R.I.),207.5,0,0,0,0.0,0,0.0,0,0.0,9,12.5,0,0,0,0,0,0,0,0,25,46.5,16,56.5,0,0,0,0.0
79,Florida Atlantic,205.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
80,Yale (Conn.),199.0,0,0,58,15.0,0,0.0,0,0.0,0,0.0,10,28,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
81,Wichita State (Kan.),194.5,17,50,0,0.0,70,5.0,0,0.0,0,0.0,0,0,0,0,33,25,0,0,23,50.5,0,0.0,0,0,0,0.0
82,Tulsa (Okla.),193.5,0,0,37,36.0,40,32.5,0,0.0,0,0.0,0,0,49,25,0,0,17,50,0,0.0,0,0.0,0,0,0,0.0
83,Boise State (Idaho),192.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0.0,16,56.5,0,0,0,0.0
84,Brown (R.I.),191.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2,90,0,0,0,0,33,25,58,0.0,0,0.0,0,0,0,0.0
85,South Florida,189.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,9,64,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
85,Virginia Commonwealth,189.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,9,64,17,50,0,0.0,0,0.0,0,0,0,0.0
87,Villanova (Penn.),187.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,31,43.0,0,0.0,0,0,0,0.0
88,Pennsylvania,183.5,0,0,0,0.0,0,0.0,0,0.0,9,12.5,0,0,0,0,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
89,Long Beach State (Calif.),180.0,0,0,49,23.5,0,0.0,0,0.0,0,0.0,0,0,33,25,17,50,0,0,0,0.0,16,56.5,0,0,0,0.0
90,Northern Arizona,177.25,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,77,0.0,40,31.5,0,0,0,0.0
91,Pittsburgh (Penn.),175.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,64,0.0,58,13.0,0,0,0,0.0
92,UC Santa Barbara,175.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,49,25,0,0,33,25,70,5.0,0,0.0,0,0,0,0.0
92,Wisconsin-Milwaukee,175.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
94,Kansas State,174.0,0,0,0,0.0,53,20.5,0,0.0,0,0.0,0,0,0,0,0,0,0,0,43,0.0,36,0.0,0,0,0,0.0
95,Richmond (Va.),172.0,0,0,0,0.0,73,5.0,9,12.5,0,0.0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
96,Hofstra (N.Y.),171.0,0,0,0,0.0,0,0.0,0,0.0,5,30.0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
97,Iowa State,170.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,58,0.0,0,0,0,0.0
98,George Mason (Va.),169.5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,46,0.0,0,0,0,0.0
99,San Diego State (Calif.),168.0,0,0,0,0.0,50,23.0,0,0.0,0,0.0,0,0,17,50,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
100,Portland (Ore.),163.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
100,Southern Illinois,163.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,33,25,0,0,0,0,43,0.0,0,0.0,0,0,0,0.0
