,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford (Calif.),1197.375,9,64,13,62.25,40,32.5,9,0.0,0,0.0,11,0,9,64,1,100,5,73,12,0.0,37,36.0,0,0,3,42.5
2,UCLA,1071.375,33,25,11,66.0,7,71.25,0,0.0,0,0.0,0,0,3,83,9,64,5,73,14,60.0,22,50.5,1,50,1,50.0
3,Texas,966.0,33,25,31,41.5,31,41.0,0,0.0,0,0.0,0,0,5,73,17,50,3,83,6,0.0,3,85.0,0,0,0,0.0
4,North Carolina,952.75,2,90,28,45.0,16,51.0,5,30.0,0,0.0,0,0,49,25,9,64,9,64,14,0.0,9,67.5,0,0,0,0.0
5,Florida,913.0,0,0,6,72.0,2,90.0,0,0.0,0,0.0,0,0,33,25,3,83,9,64,37,34.5,37,0.0,0,0,0,0.0
6,Notre Dame (Ind.),905.5,49,25,0,0.0,50,23.0,3,41.5,9,12.5,9,37,17,50,5,73,9,64,32,42.0,52,0.0,0,0,0,0.0
7,California,865.5,0,0,5,75.0,0,0.0,0,0.0,0,0.0,1,100,9,64,17,50,17,50,37,0.0,46,25.5,0,0,0,0.0
8,Duke (N.C.),851.25,0,0,1,100.0,12,64.5,3,41.5,0,0.0,0,0,0,0,5,73,9,64,25,46.5,0,0.0,0,0,0,0.0
9,Georgia,850.75,7,73,6,72.0,6,73.5,0,0.0,0,0.0,0,0,17,50,17,50,2,90,9,0.0,52,0.0,0,0,0,0.0
10,Southern California,840.0,0,0,2,90.0,44,29.0,0,0.0,0,0.0,0,0,0,0,3,83,0,0,2,90.0,9,67.5,0,0,2,45.0
11,Arizona,831.625,0,0,17,57.0,13,63.0,0,0.0,0,0.0,0,0,1,100,17,50,33,25,70,5.0,4,80.0,0,0,0,0.0
12,Ohio State,799.25,0,0,46,27.0,0,0.0,0,0.0,0,0.0,5,73,33,25,0,0,5,73,0,0.0,46,25.5,0,0,0,0.0
13,Arizona State,784.625,33,25,4,80.0,11,66.0,0,0.0,0,0.0,0,0,5,73,33,25,0,0,4,0.0,29,45.0,0,0,0,0.0
14,Tennessee,748.25,0,0,13,62.25,53,20.5,0,0.0,0,0.0,12,10,3,83,33,25,0,0,18,56.0,6,0.0,0,0,0,0.0
