,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,1508.5,49,x,19,54.0,5,72.75,9,x,0,0,4,80,33,x,1,100,9,64,14,61.5,8,69.75,1,100,2,90.0
2,Florida,1310.25,7,73,31,42.0,11,65.25,0,0,0,0,0,0,5,78,2,90,9,64,3,85,2,90.0,0,0,0,0.0
3,Virginia,1253.25,9,64,13,63.0,11,65.25,5,60,3,83,1,100,33,25,17,50,3,83,0,0,23,49.5,0,0,0,0.0
4,UCLA,1124.0,2,90,6,73.5,16,57,0,0,0,0,12,x,1,100,9,64,5,73,25,49,52,21.0,0,0,5,46.0
5,Florida State,1087.5,5,78,10,67.5,3,82.5,0,0,0,0,0,0,33,25,9,64,17,50,20,52.5,8,69.75,0,0,0,0.0
6,Texas A&M,1070.75,17,50,11,65.25,13,63,0,0,0,0,0,0,17,50,33,25,9,64,1,100,1,100.0,0,0,0,0.0
7,North Carolina,1029.3,17,50,37,36.0,68,x,3,83,5,60,0,0,17,50,3,83,17,50,66,x,69,5.0,0,0,0,0.0
8,Ohio State,1015.5,0,0,34,39.0,0,0,0,0,0,0,14,x,17,50,17,50,5,73,66,x,45,26.0,3,25,0,0.0
9,California,1013.5,49,25,31,42.0,23,51,0,0,0,0,2,90,9,64,9,64,17,50,0,0,21,52.5,0,0,3,72.5
10,Duke,982.75,0,0,8,69.75,27,46.5,5,60,1,100,0,0,0,0,5,73,9,64,0,0,0,0.0,0,0,0,0.0
11,Penn State,971.3,0,0,0,0.0,29,45,0,0,0,0,0,0,0,0,0,0,0,0,4,80,23,49.5,2,70,0,0.0
12,Oklahoma,921.25,5,78,0,0.0,0,0,0,0,0,0,0,0,9,64,33,25,5,73,9,68.25,27,45.0,0,0,0,0.0
13,Southern California,906.5,0,0,2,90.0,15,60,0,0,0,0,8,49,0,0,17,50,1,100,0,0,5,75.0,0,0,1,100.0
14,Oregon,878.5,17,50,23,50.5,3,82.5,0,0,0,0,0,0,9,64,0,0,0,0,2,90,3,85.0,0,0,0,0.0
15,Texas,858.25,9,64,16,57.75,21,52.5,0,0,0,0,0,0,33,25,9,64,9,64,51,18,17,56.0,0,0,0,0.0
16,Tennessee,856.5,0,0,19,54.0,25,48.5,0,0,0,0,16,10,3,86.5,5,73,2,90,26,46.5,45,26.0,0,0,0,0.0
17,Nebraska,830.75,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,17,50,33,25,19,55,16,58.5,0,0,0,0.0
18,Minnesota,824.25,17,50,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,31,42.5,0,0.0,0,0,0,0.0
19,Louisiana State U.,824.0,33,25,25,47.5,24,50,0,0,0,0,0,0,33,25,0,0,0,0,6,73.5,6,73.5,0,0,0,0.0
20,Georgia,822.8,0,0,31,42.0,31,39,0,0,0,0,0,0,4,83,17,50,3,83,26,46.5,40,32.5,0,0,0,0.0
21,Wisconsin,811.0,0,0,0,0.0,0,0,0,0,0,0,7,56,0,0,0,0,9,64,41,31,21,52.5,0,0,0,0.0
22,Arizona State,792.25,7,73,4,80.0,9,68.25,0,0,0,0,0,0,9,64,17,50,0,0,46,26,4,80.0,0,0,0,0.0
23,Alabama,780.0,9,64,3,85.0,50,21.5,0,0,0,0,0,0,9,64,0,0,33,25,20,52.5,23,49.5,0,0,0,0.0
24,Washington,770.75,0,0,49,24.0,5,72.75,0,0,0,0,10,32,7,73,17,50,33,25,66,5,15,60.0,0,0,0,0.0
25,Michigan,768.5,0,0,0,0.0,31,39,0,0,0,0,10,32,9,64,9,64,17,50,0,0,0,0.0,0,0,6,37.0
26,Auburn,726.3,17,50,11,65.25,50,21.5,0,0,0,0,0,0,33,25,0,0,17,50,12,64.5,37,36.0,0,0,0,0.0
27,Notre Dame,711.0,0,0,49,24.0,0,0,9,25,2,90,0,0,17,50,3,83,33,25,0,0,75,5.0,0,0,0,0.0
28,Maryland,710.3,0,0,52,21.0,0,0,1,100,5,60,0,0,33,25,0,0,0,0,31,42.5,0,0.0,0,0,0,0.0
29,Kentucky,703.25,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,9,64,51,18,13,62.25,0,0,0,0.0
30,Arizona,683.05,33,25,5,75.0,56,15,0,0,0,0,0,0,2,90,0,0,33,25,13,63,68,5.0,0,0,0,0.0
31,Baylor (Tex.),633.0,17,50,46,27.0,25,48.5,0,0,0,0,0,0,0,0,5,73,5,73,20,52.5,45,26.0,0,0,0,0.0
32,Princeton (N.J.),619.0,0,0,0,0.0,0,0,0,0,9,25,3,85,0,0,33,25,0,0,33,40,23,49.5,0,0,0,0.0
33,Oklahoma State,618.75,0,0,8,69.75,2,90,0,0,0,0,0,0,33,25,0,0,0,0,0,0,33,39.5,0,0,0,0.0
34,Iowa State,618.5,0,0,29,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,70.5,27,45.0,0,0,0,0.0
35,Illinois,614.8,0,0,0,0.0,19,55,0,0,0,0,0,0,17,50,33,25,17,50,0,0,27,45.0,0,0,0,0.0
36,Brigham Young (Utah),612.3,0,0,0,0.0,31,39,0,0,0,0,0,0,9,64,0,0,33,25,36,36,69,5.0,0,0,0,0.0
37,West Virginia,610.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57.75,0,0.0,0,0,0,0.0
38,Virginia Tech,600.0,17,50,0,0.0,56,15,0,0,0,0,0,0,0,0,0,0,17,50,5,75,10,67.5,0,0,0,0.0
39,Michigan State,593.3,0,0,29,44.5,0,0,0,0,0,0,9,38,0,0,0,0,0,0,33,40,0,0.0,0,0,0,0.0
40,Texas Christian U.,576.0,3,83,19,54.0,27,46.5,0,0,0,0,0,0,0,0,33,25,33,25,46,26,0,0.0,0,0,0,0.0
41,Louisville,561.5,17,50,40,33.0,0,0,0,0,0,0,0,0,17,50,0,0,9,64,36,36,17,56.0,0,0,0,0.0
41,South Carolina,561.5,1,100,14,60.75,44,27.5,0,0,0,0,0,0,0,0,17,50,0,0,51,18,11,66.0,0,0,0,0.0
43,Indiana,560.25,0,0,52,21.0,50,21.5,0,0,0,0,0,0,0,0,33,25,0,0,16,57.75,20,54.0,0,0,0,0.0
44,Texas Tech,551.25,0,0,25,47.5,5,72.75,0,0,0,0,0,0,17,50,0,0,17,50,36,36,12,64.5,0,0,0,0.0
45,Georgia Tech,548.25,17,50,0,0.0,5,72.75,0,0,0,0,0,0,17,50,17,50,17,50,0,0,69,5.0,0,0,0,0.0
46,Arkansas,539.75,9,64,37,36.0,44,27.5,0,0,0,0,0,0,0,0,17,50,0,0,15,60,0,0.0,0,0,0,0.0
47,New Mexico,522.0,33,25,16,57.75,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17.0,0,0,0,0.0
48,Clemson,458.5,3,83,0,0.0,16,57,0,0,0,0,15,14,0,0,9,64,0,0,18,56,0,0.0,0,0,0,0.0
49,Missouri,454.0,0,0,0,0.0,56,15,0,0,0,0,0,0,7,73,0,0,0,0,0,0,32,42.0,0,0,0,0.0
50,Northwestern,423.5,0,0,43,30.0,31,39,2,90,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0,0,0.0
51,Villanova (Pa.),419.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,0,0.0,0,0,0,0.0
52,Cornell (N.Y.),413.0,0,0,0,0.0,0,0,0,0,3,83,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
53,Wake Forest,385.0,0,0,25,47.5,50,21.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0.0
54,Purdue,376.5,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
55,Iowa,369.88,0,0,0,0.0,31,39,0,0,0,0,0,0,0,0,33,25,0,0,0,0,60,9.38,0,0,0,0.0
56,Mississippi,369.5,33,25,34,39.0,56,15,0,0,0,0,0,0,0,0,9,64,17,50,0,0,45,26.0,0,0,0,0.0
57,Syracuse,368.5,0,0,0,0.0,0,0,3,83,9,25,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
58,Miami (Fla.),366.0,9,64,0,0.0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,11,66,0,0.0,0,0,0,0.0
59,Vanderbilt,356.0,9,64,7,72.0,68,5,9,25,0,0,0,0,0,0,17,50,33,25,0,0,0,0.0,0,0,0,0.0
