,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
60,Boise State,351.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,33,39.5,0,0,0,0.0
61,Hawaii,326.0,17,50,0,0.0,0,0,0,0,0,0,0,0,5,78,0,0,33,25,26,46.5,0,0.0,0,0,0,0.0
62,Connecticut,323.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9.5,0,0.0,0,0,0,0.0
63,Boston College,317.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
64,Harvard,316.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
65,Denver,306.8,0,0,25,47.5,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
66,San Diego State,299.5,0,0,37,36.0,44,27.5,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
67,St. John's (N.Y.),296.5,17,50,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,0,0.0
68,Oregon State,284.5,33,25,0,0.0,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
69,Colorado,282.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,37,36.0,0,0,0,0.0
70,Georgetown,265.0,0,0,0,0.0,73,5,9,25,0,0,0,0,0,0,0,0,0,0,46,26,40,32.5,0,0,0,0.0
71,Kent State,261.0,49,25,22,52.0,20,54,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,0,0.0
72,New Hampshire,260.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
73,Kansas,236.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,7,72.0,0,0,0,0.0
74,Southern Methodist (Tex.),235.0,0,0,0,0.0,56,15,0,0,0,0,0,0,0,0,17,50,0,0,51,18,0,0.0,0,0,0,0.0
75,Utah,234.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
76,Yale,226.0,0,0,0,0.0,0,0,0,0,0,0,6,63,0,0,0,0,0,0,62,9.5,0,0.0,0,0,0,0.0
77,Tulsa,221.0,0,0,59,14.5,44,27.5,0,0,0,0,0,0,0,0,17,50,33,25,0,0,0,0.0,0,0,0,0.0
78,Northern Arizona,218.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45.0,0,0,0,0.0
79,Middle Tennessee State,217.5,0,0,0,0.0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,30,44,33,39.5,0,0,0,0.0
79,Washington State,217.5,17,50,0,0.0,0,0,0,0,0,0,13,22,0,0,0,0,0,0,41,31,33,39.5,0,0,0,0.0
81,Pennsylvania,217.0,0,0,70,5.0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
82,Central Michigan,216.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
83,Texas El Paso,214.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,55,17.0,0,0,0,0.0
84,Army,213.0,0,0,0,0.0,0,0,0,0,5,60,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
85,Navy,210.0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
86,Akron,207.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,55,17.0,0,0,0,0.0
86,UNLV,207.0,0,0,46,27.0,21,52.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0.0
88,UC Santa Barbara,205.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,45,26.0,0,0,0,0.0
89,North Carolina State,203.88,49,25,61,12.0,63,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9.38,0,0,0,0.0
90,UC Irvine,201.5,17,50,49,24.0,44,27.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
91,Brown (R.I.),197.0,0,0,0,0.0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,27,45.0,0,0,0,0.0
92,Portland,193.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5.0,0,0,0,0.0
93,St. Mary's (Calif.),189.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0.0,0,0,0,0.0
93,William and Mary (Va.),189.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
95,Southern Illinois,187.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68.25,69,5.0,0,0,0,0.0
96,Air Force,179.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9.5,44,30.0,0,0,0,0.0
96,Rutgers (N.J.),179.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17.0,0,0,0,0.0
98,Rice (Tex.),177.2,17,50,0,0.0,63,7.2,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0.0
99,Dayton,175.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
100,Northern Iowa,173.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
101,Vermont,172.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
102,East Tennessee State,169.0,0,0,43,30.0,31,39,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0.0
103,Pepperdine (Calif.),168.25,0,0,14,60.75,40,32.5,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0.0,0,0,0,0.0
103,San Diego,168.25,33,25,0,0.0,9,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
105,South Florida,166.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,52,21.0,0,0,0,0.0
106,Central Florida,165.0,0,0,0,0.0,31,39,0,0,0,0,0,0,33,25,0,0,0,0,46,26,0,0.0,0,0,0,0.0
107,Ohio,163.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
108,Xavier,162.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
109,Temple,161.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
110,Butler (Ind.),159.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
111,Houston,158.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,0,0.0,0,0,0,0.0
112,Pittsburgh,158.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
113,Fresno State,155.0,0,0,0,0.0,73,5,0,0,0,0,0,0,17,50,0,0,17,50,0,0,0,0.0,0,0,0,0.0
114,Mississippi State,151.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,17,56.0,0,0,0,0.0
115,Liberty (Va.),148.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62.25,0,0,0,0.0
116,Cincinnati,148.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
117,Bucknell (Pa.),147.0,49,25,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
118,Boston University,145.5,0,0,0,0.0,0,0,9,25,0,0,0,0,33,25,33,25,0,0,0,0,0,0.0,0,0,0,0.0
119,Murray State (Ky.),142.5,0,0,64,7.5,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
120,Wichita State (Kans.),140.5,0,0,0,0.0,50,21.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
121,Miami (Ohio),135.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
121,Richmond (Va.),135.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
123,Colorado State,134.0,0,0,40,33.0,44,27.5,0,0,0,0,0,0,0,0,0,0,0,0,62,9.5,0,0.0,0,0,0,0.0
123,Kansas State,134.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36.0,0,0,0,0.0
125,Hampton (Va.),131.88,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46.5,60,9.38,0,0,0,0.0
126,Oral Roberts (Okla.),129.88,33,25,67,5.0,73,5,0,0,0,0,0,0,0,0,0,0,33,25,36,36,60,9.38,0,0,0,0.0
127,Stony Brook,128.0,33,25,0,0.0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,0,0.0
128,Dartmouth (N.H.),125.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
128,Florida International,125.0,49,25,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0.0,0,0,0,0.0
130,Loyola Marymount (Calif.),123.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,4,55.0
131,East Carolina (N.C.),119.0,0,0,34,39.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,66,5,0,0.0,0,0,0,0.0
132,Sacramento State (Calif.),116.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
133,Montana,115.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
133,Wisconsin Green Bay,115.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
135,Gonzaga (Wash.),114.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
136,Coastal Carolina (S.C.),113.7,9,64,55,17.5,63,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
137,Indiana State,109.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,52.5,0,0.0,0,0,0,0.0
137,Providence,109.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,0,0.0
139,Charleston (S.C.),107.5,17,50,64,7.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
140,Lehigh (Pa.),107.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
141,Montana State,106.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
142,Tulane,106.0,0,0,18,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
143,Fairleigh Dickinson (N.J.),105.0,0,0,70,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
144,Louisiana Lafayette,104.5,33,25,0,0.0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0.0,0,0,0,0.0
145,Marist (N.Y.),103.0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,7,28.0
146,Binghamton (N.Y.),102.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
147,Jacksonville State (Ala.),100.0,49,25,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
147,Long Island - Brooklyn,100.0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0.0,0,0,0,0.0
147,St. Louis,100.0,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
150,Appalachian State,99.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
151,Columbia/Barnard (N.Y.),99.0,0,0,0,0.0,79,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
152,George Mason (Va.),97.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
153,Virginia Commonwealth,96.5,49,25,0,0.0,50,21.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
154,Memphis (Tenn.),96.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,26.0,0,0,0,0.0
155,Illinois State,92.5,33,25,55,17.5,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
156,Iona (N.Y.),91.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
157,North Carolina Wilmington,90.0,0,0,0,0.0,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
158,Cal State Fullerton,88.0,9,64,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
158,Idaho,88.0,0,0,55,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
160,American,86.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
160,Drexel (Pa.),86.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
160,North Florida,86.5,0,0,0,0.0,14,61.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
163,Hofstra (N.Y.),86.0,0,0,0,0.0,0,0,0,0,9,25,0,0,17,50,0,0,0,0,0,0,0,0.0,0,0,0,0.0
163,Wyoming,86.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
165,James Madison (Va.),85.0,0,0,0,0.0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
165,Old Dominion (Va.),85.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
167,DePaul,84.38,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,60,9.38,0,0,0,0.0
168,Texas San Antonio,83.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,52,21.0,0,0,0,0.0
169,Buffalo,82.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0.0,0,0,0,0.0
169,Nevada-Reno,82.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
171,Loyola University (Md.),80.0,0,0,0,0.0,68,5,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
172,Towson (Md.),78.5,0,0,0,0.0,73,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
173,Elon (N.C.),75.0,49,25,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0.0,0,0,0,0.0
173,Lipscomb (Tenn.),75.0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0.0,0,0,0,0.0
173,Monmouth (N.J.),75.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
173,South Carolina State,75.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
173,Winthrop (S.C.),75.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
173,Wisconsin-Milwaukee,75.0,49,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
179,Eastern Michigan,74.5,0,0,0,0.0,40,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
180,Drake (Iowa),73.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
181,Cleveland State,72.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
182,Tennessee Chattanooga,70.0,0,0,52,21.0,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
183,Indiana/Purdue Indianapolis,68.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
184,Southern Mississippi,68.0,33,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,0.0,0,0,0,0.0
185,McNeese State (La.),67.0,0,0,0,0.0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,55,17.0,0,0,0,0.0
186,North Carolina Charlotte,64.0,0,0,0,0.0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
186,Santa Clara (Calif.),64.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
