,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
1.0,Stanford,Pac 12,FBS,1526.5,0,0,2,90.0,28,x,9,x,0,0,4,80,0,0,1,100,9,64,7,71.25,13,62.25,0,0,2,90.0,0,0.0,404.5,564.5,557.5
2.0,Ohio State,Big Ten,FBS,1306.0,33,25,22,52.0,0,0,0,0,0,0,2,90,33,25,5,73,5,73,0,0,47,x,1,100,0,0.0,0,0.0,272.0,596.0,438.0
3.0,Michigan,Big Ten,FBS,1196.75,0,0,18,55.5,56,16,0,0,0,0,10,60,5,78,5,73,17,50,20,x,13,62.25,0,0,4,83.0,0,0.0,268.5,450.5,477.75
4.0,USC,Pac 12,FBS,1196.25,0,0,5,72.75,3,82.5,5,70,0,0,14,x,0,0,17,50,9,64,9,68.25,12,64.5,0,0,1,100.0,1,100.0,252.0,272.25,672.0
5.0,Florida,SEC,FBS,1177.0,7,73,17,57.0,15,60,9,53,0,0,0,0,9,64,9,64,5,73,9,68.25,1,100,0,0,0,0.0,0,0.0,212.0,352.75,612.25
6.0,UCLA,Pac 12,FBS,1091.5,0,0,3,82.5,56,16,0,0,0,0,0,0,7,73,17,50,5,73,0,0,18,54.5,3,55,3,86.5,3,72.5,300.5,228.0,563.0
7.0,North Carolina,ACC,FBS,1089.5,0,0,14,61.5,74,5,1,100,1,100,0,0,33,25,9,64,5,73,0,0,36,33,0,0,0,0.0,0,0.0,342.0,286.0,461.5
8.0,Virginia,ACC,FBS,1088.5,33,25,5,72.75,22,52,17,25,0,0,3,85,0,0,5,73,1,100,0,0,7,72,0,0,0,0.0,0,0.0,295.0,288.75,504.75
9.0,Texas,Big 12,FBS,1062.0,0,0,23,51.0,2,90,0,0,0,0,8,66,33,25,9,64,9,64,4,80,36,33,0,0,0,0.0,0,0.0,176.0,413.0,473.0
10.0,Oregon,Pac 12,FBS,973.75,0,0,5,72.75,1,100,0,0,0,0,0,0,9,64,0,0,17,50,2,90,4,80,0,0,0,0.0,0,0.0,244.0,273.0,456.75
11.0,California,Pac 12,FBS,966.0,0,0,25,47.5,10,66.75,0,0,0,0,1,100,17,50,3,83,3,83,54,16,0,0,0,0,0,0.0,0,0.0,193.5,326.25,446.25
12.0,Texas A&M,SEC,FBS,962.0,9,64,45,27.5,31,40.5,0,0,0,0,0,0,17,50,17,50,17,50,5,75,3,85,0,0,0,0.0,0,0.0,174.0,346.0,442.0
13.0,Oklahoma State,Big 12,FBS,957.25,3,83,11,66.0,10,66.75,0,0,0,0,0,0,17,50,2,90,9,64,12,64.5,15,59.25,0,0,0,0.0,0,0.0,183.0,230.75,543.5
14.0,Washington,Pac 12,FBS,951.5,33,25,1,100.0,31,40.5,0,0,0,0,5,75,9,64,0,0,33,25,63,7.75,18,54.5,0,0,0,0.0,0,0.0,281.0,278.75,391.75
15.0,Georgia,SEC,FBS,949.5,0,0,18,55.5,16,57,0,0,0,0,0,0,5,78,9,64,3,83,3,85,29,43.5,0,0,0,0.0,0,0.0,76.0,407.5,466.0
16.0,Oklahoma,Big 12,FBS,914.25,0,0,0,0.0,5,72.75,0,0,0,0,0,0,1,100,0,0,2,90,18,56,47,22.5,0,0,0,0.0,0,0.0,135.0,438.0,341.25
17.0,Notre Dame,ACC,FBS,894.5,0,0,49,23.0,0,0,5,70,5,60,0,0,17,50,33,25,33,25,25,47.5,0,0,0,0,0,0.0,0,0.0,275.0,319.0,300.5
18.0,Minnesota,Big Ten,FBS,891.75,17,50,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,22,51,47,22.5,0,0,0,0.0,0,0.0,289.0,429.25,173.5
19.0,LSU,SEC,FBS,883.5,9,64,41,31.5,5,72.75,0,0,0,0,0,0,3,83,17,50,17,50,6,73.5,5,75,0,0,0,0.0,0,0.0,82.0,301.75,499.75
20.0,Penn State,Big Ten,FBS,878.0,0,0,0,0.0,52,20.5,3,83,0,0,0,0,0,0,0,0,17,50,0,0,17,57,0,0,0,0.0,0,0.0,273.5,394.0,210.5
21.0,Syracuse,ACC,FBS,853.0,0,0,0,0.0,0,0,3,83,5,60,13,51,0,0,17,50,0,0,0,0,47,22.5,0,0,0,0.0,0,0.0,347.5,239.0,266.5
22.0,Florida State,ACC,FBS,833.0,9,64,15,60.0,19,54,0,0,0,0,0,0,3,83,0,0,33,25,29,41.5,64,5.5,0,0,0,0.0,2,90.0,267.5,142.5,423.0
