,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
17,Duke (N.C.),891.8,0,0,6,73.5,14,61.5,5,60,3,83,0,0,0,0,1,100,17,50,64,5.8,0,0,0,0,0,0
18,Georgia,866.5,33,25,15,60,3,82.5,0,0,0,0,0,0,3,83,3,83,5,73,0,0,11,66,0,0,0,0
19,Penn State,813.1,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,14,61.5,62,8.6,3,25,0,0
20,Illinois,808.75,0,0,0,0,21,53,0,0,0,0,0,0,49,25,17,50,9,64,12,63.75,37,36,0,0,0,0
21,Notre Dame,775.13,0,0,46,27,0,0,5,60,9,25,0,0,17,50,3,83,33,25,24,50,48,24.5,0,0,0,0
22,Oregon,757.25,0,0,34,39,22,52,0,0,0,0,0,0,0,0,0,0,0,0,2,90,2,85,0,0,0,0
23,Tennessee,746.25,0,0,17,57,12,64.5,0,0,0,0,0,0,17,50,17,50,9,64,10,66.75,48,24.5,0,0,0,0
24,Arizona,738.5,0,0,16,58.5,30,44,0,0,0,0,0,0,7,73,0,0,17,50,25,47.5,23,50.5,0,0,0,0
25,Arkansas,730,3,83,25,47.5,2,90,0,0,0,0,0,0,49,25,9,64,0,0,29,42.5,9,69,0,0,0,0
26,Auburn,720,0,0,29,44.5,0,0,0,0,0,0,0,0,33,25,33,25,17,50,25,47.5,12,64.5,0,0,0,0
27,Michigan State,708.05,0,0,13,62.25,61,9.3,0,0,0,0,6,63,0,0,0,0,0,0,20,53,0,0,0,0,0,0
28,Maryland,668.8,0,0,0,0,0,0,3,83,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Oklahoma,656.5,17,50,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,23,51,25,47,0,0,0,0
30,Alabama,650.6,49,25,11,66,15,60,0,0,0,0,0,0,3,83,33,25,17,50,0,0,62,8.6,0,0,0,0
31,Nebraska,639.3,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,62,11.5,17,56,0,0,0,0
32,Louisville,625.5,9,64,31,42,31,39.5,0,0,0,0,0,0,33,25,0,0,17,50,0,0,52,20.5,0,0,0,0
33,Baylor (Tex.),611.75,33,25,43,30,39,32.5,0,0,0,0,0,0,9,64,5,73,5,73,10,66.75,20,53,0,0,0,0
34,Kentucky,607.8,0,0,37,36,49,22,0,0,0,0,0,0,17,50,17,50,17,50,0,0,15,60,0,0,0,0
35,Oklahoma State,605.25,17,50,4,80,5,72.75,0,0,0,0,0,0,17,50,0,0,33,25,0,0,25,47,0,0,0,0
36,Missouri,585.3,33,25,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0,52,19.5,30,43.5,0,0,0,0
37,Wake Forest,580.25,0,0,13,62.25,27,46.5,0,0,0,0,0,0,0,0,33,25,9,64,0,0,32,40,0,0,0,0
38,Purdue,569.63,0,0,10,67.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,20,53,52,20.5,0,0,0,0
39,South Carolina,560.75,17,50,34,39,16,58.5,0,0,0,0,0,0,0,0,5,73,33,25,40,33,6,73.5,0,0,0,0
40,Princeton (N.J.),537,0,0,0,0,0,0,5,60,5,60,10,34,0,0,33,25,0,0,0,0,0,0,0,0,0,0
41,Wisconsin,535.5,0,0,0,0,0,0,0,0,0,0,13,22,0,0,0,0,33,25,0,0,0,0,0,0,0,0
42,Texas Christian U.,528,9,64,18,56,9,69,0,0,0,0,0,0,0,0,17,50,33,25,35,39,67,5,0,0,0,0
43,Miami (Fla.),491,17,50,0,0,0,0,0,0,0,0,0,0,0,0,5,73,9,64,16,57.75,0,0,0,0,0,0
44,Northwestern,483,0,0,0,0,29,45,1,100,0,0,0,0,49,25,5,73,33,25,0,0,0,0,0,0,0,0
45,Iowa,474.3,0,0,0,0,17,57,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
46,Virginia Tech,459.25,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,17,50,12,63.75,16,58.5,0,0,0,0
47,Brigham Young (Utah),453.75,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,15,60,13,62.25,0,0,0,0
48,Georgia Tech,452.38,17,50,0,0,10,66.75,0,0,0,0,0,0,9,64,9,64,0,0,0,0,32,40,0,0,0,0
49,Boise State,449.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,9,64,0,0,25,47,0,0,0,0
50,West Virginia,442.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0
51,Utah,438,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Connecticut,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0
53,Clemson,397,9,64,0,0,49,22,0,0,0,0,12,26,0,0,9,64,0,0,0,0,40,30.5,0,0,0,0
54,Denver,396.5,0,0,5,75,49,22,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
55,Indiana,389.25,49,25,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,29,42.5,0,0,0,0,0,0
56,Villanova (Pa.),388.5,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,40,33,37,36,0,0,0,0
57,Texas Tech,387.75,0,0,0,0,23,50.5,0,0,0,0,0,0,0,0,0,0,33,25,29,42.5,67,5,0,0,0,0
58,Iowa State,376.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5.8,32,40,0,0,0,0
59,Cornell (N.Y.),375.3,0,0,0,0,0,0,0,0,2,90,0,0,49,25,0,0,0,0,64,5.8,67,5,0,0,0,0
60,Mississippi,341.5,9,64,49,23.5,31,39.5,0,0,0,0,0,0,0,0,17,50,5,73,70,5,0,0,0,0,0,0
61,Tulsa,336.63,0,0,0,0,49,22,0,0,0,0,0,0,17,50,33,25,17,50,40,33,0,0,0,0,0,0
62,New Mexico,335,0,0,19,55,31,39.5,0,0,0,0,0,0,0,0,0,0,33,25,70,5,40,30.5,0,0,0,0
63,Syracuse,330,0,0,0,0,0,0,5,60,1,100,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0
64,Rice (Tex.),326,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,52,19.5,25,47,0,0,0,0
65,UC Irvine,315.3,17,50,22,52,61,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
66,Hawaii,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,36,36.5,0,0,0,0,4,55
67,Vanderbilt,307,17,50,31,42,56,16,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
68,Boston University,305.8,0,0,0,0,0,0,9,25,0,0,0,0,17,50,33,25,0,0,64,5.8,0,0,0,0,0,0
69,Colorado,301.5,0,0,55,18,49,22,0,0,0,0,0,0,0,0,0,0,0,0,29,42.5,0,0,0,0,0,0
70,Oregon State,284.5,17,50,0,0,56,16,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Yale,284.5,0,0,0,0,0,0,0,0,0,0,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Kansas,282,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Harvard,272,0,0,55,18,0,0,0,0,0,0,14,18,0,0,0,0,0,0,62,11.5,56,15.5,0,0,0,0
74,North Carolina State,265.3,0,0,43,30,31,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Boston College,262,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Middle Tennessee State,259,33,25,0,0,49,22,0,0,0,0,0,0,0,0,0,0,33,25,43,29.5,32,40,0,0,0,0
77,Kansas State,255.05,17,50,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,64,5.8,13,62.25,0,0,0,0
78,Fresno State,254.5,49,25,0,0,0,0,0,0,0,0,0,0,17,50,9,64,0,0,52,19.5,0,0,0,0,0,0
78,New Hampshire,254.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Northern Iowa,254.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30.5,0,0,0,0
81,San Diego State,245,33,25,0,0,39,32.5,0,0,0,0,0,0,49,25,33,25,0,0,25,47.5,0,0,0,0,0,0
82,Navy,244.5,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
83,Kent State,239.5,33,25,34,39,45,27.5,0,0,0,0,0,0,0,0,0,0,0,0,52,19.5,0,0,0,0,0,0
84,Georgetown,224.13,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,47,25,56,15.5,0,0,0,0
85,California Poly San Louis Obispo,223,49,25,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,58,14.5,0,0,0,0,0,0
86,Dartmouth (N.H.),218,49,25,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Southern Methodist (Tex.),208.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,52,19.5,0,0,0,0,0,0
88,Western Kentucky,207.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19.5,52,20.5,0,0,0,0
89,Pennsylvania,206,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Central Florida,201.75,0,0,49,23.5,10,66.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Providence,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42.5,0,0,0,0,0,0
92,Rutgers (N.J.),198.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Pittsburgh,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,James Madison (Va.),197,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
95,Army,188,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
96,Northern Arizona,185.5,0,0,50,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,0,0,0,0
97,Akron,184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,0,0,0,0,0,0
98,Vermont,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Tennessee Chattanooga,180.5,0,0,21,53,18,56,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
100,Mississippi State,177,0,0,0,0,56,16,0,0,0,0,0,0,49,25,0,0,0,0,70,5,17,56,0,0,0,0
101,Jacksonville State (Ala.),174,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,33,25,0,0,0,0,0,0,0,0
101,Pepperdine (Calif.),174,0,0,9,69,67,5,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0
103,Long Beach State,173,0,0,49,23.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
104,North Dakota State,167,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,36,36.5,0,0,0,0,0,0
105,Air Force,166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14.5,62,8.6,0,0,0,0
106,Nevada-Reno,166,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
107,Miami (Ohio),165,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
108,Wichita State (Kans.),164,49,25,0,0,45,27.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
109,Brown (R.I.),163.5,0,0,0,0,0,0,0,0,9,25,5,70,0,0,0,0,0,0,0,0,40,30.5,0,0,0,0
110,UC Santa Barbara,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
111,Memphis (Tenn.),158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,St. Johns (N.Y.),155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Cleveland State,154,0,0,0,0,67,5,0,0,0,0,0,0,49,25,0,0,33,25,0,0,0,0,0,0,0,0
114,Massachusetts,150,0,0,0,0,0,0,9,25,9,25,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
115,Central Michigan,143.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0
116,South Florida,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
117,Portland,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,William and Mary (Va.),142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,UNLV,141.5,0,0,46,27,39,32.5,0,0,0,0,0,0,49,25,33,25,0,0,0,0,0,0,0,0,0,0
120,Liberty (Va.),139.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30.5,0,0,0,0
120,Washington State,139.5,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14.5,17,56,0,0,0,0
122,Gonzaga (Wash.),139,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Xavier,139,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
124,San Diego,138,0,0,0,0,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Georgia State,137,49,25,25,47.5,31,39.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
126,East Carolina (N.C.),136.5,9,64,25,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Colorado State,134.5,0,0,0,0,31,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Houston,131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29.5,0,0,0,0,0,0
129,Cincinnati,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Oral Roberts (Okla.),125.5,17,50,58,15,73,5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
131,Bethune-Cookman (Fla.),125,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,50.5,0,0,0,0
131,Richmond (Va.),125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
133,East Tennessee State,123.8,0,0,0,0,61,9.3,0,0,0,0,0,0,0,0,33,25,33,25,58,14.5,0,0,0,0,0,0
134,Fairleigh Dickinson (N.J.),122,0,0,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Lehigh (Pa.),121,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
136,American,119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Southern Mississippi,118,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Illinois Chicago,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
139,Columbia/Barnard (N.Y.),115,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
139,Montana,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Western Michigan,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
142,George Mason (Va.),110.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Iona (N.Y.),110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20.5,0,0,0,0
142,San Francisco,110.5,0,0,40,33,45,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Binghamton (N.Y.),109,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
146,North Carolina Charlotte,107.5,0,0,0,0,39,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Albany,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30.5,0,0,0,0
147,South Dakota State,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Tulane,104,0,0,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Cal State Fullerton,103,7,73,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
150,Marist (N.Y.),103,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,7,28
152,Temple (Penn.),101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Dayton,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Fairfield (Conn.),100,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
153,Radford (Va.),100,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,33,25,0,0,0,0,0,0,0,0
153,Siena (N.Y.),100,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,St. Louis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Texas State San Marcos,100,49,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
153,UC Davis,100,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Northeastern (Mass.),99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0
161,Indiana State,92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42.5,0,0,0,0,0,0
162,Jacksonville,87,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Hampton (Va.),84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29.5,67,5,0,0,0,0
163,Loyola Marymount (Calif.),84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37
165,Furman (S.C.),83,0,0,40,33,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
166,Southern Illinois,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
167,Sacred Heart (Conn.),80,0,0,0,0,73,5,0,0,0,0,0,0,33,25,0,0,33,25,0,0,0,0,0,0,0,0
167,Virginia Commonwealth,80,0,0,0,0,67,5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
169,North Carolina Greensboro,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Texas El Paso,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47.5,40,30.5,0,0,0,0
171,Delaware State,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15.5,0,0,0,0
172,Lamar (Tex.),75.13,0,0,0,0,31,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Ball State,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Colgate (N.Y.),75,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,bn,0,0,0,0
173,DePaul,75,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
173,Florida International,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
173,Marquette,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Portland State (Ore.),75,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
173,South Carolina State,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0
180,San Jose State (Calif.),74.8,0,0,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Creighton (Nebr.),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Drexel (Pa.),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Hofstra (N.Y.),72,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Butler (Ind.),71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30.5,0,0,0,0
185,Coastal Carolina (S.C.),70.3,33,25,37,36,61,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,North Carolina A&T State,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0
187,Belmont (Tenn.),66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Appalachian State,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Stephen F. Austin,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Oakland (Mich.),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Wisconsin Green Bay,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Wyoming,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Weber State (Utah),60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,New Mexico State,59.3,0,0,0,0,61,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Loyola College (Md.),55,0,0,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Old Dominion (Va.),53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,UC Riverside,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36.5,0,0,0,0,0,0
198,Texas Arlington,52.5,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
199,Buffalo,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Alabama Birmingham,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Eastern Kentucky,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
200,Evansville (Ill.),50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Florida A&M,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0
200,Long Island - Brooklyn,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
200,Louisiana Lafayette,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
200,Mississippi Valley State,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
200,Missouri Kansas City,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0
