,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,1455,0,0,40,x,20,54,0,0,0,0,1,100,9,64,9,64,9,64,43,x,7,72,0,0,3,72.5
2,North Carolina,1184.25,5,78,7,72,0,0,2,90,5,60,0,0,17,50,17,50,17,50,47,x,30,43.5,0,0,0,0
3,Florida,1172.75,9,64,46,x,19,55,0,0,0,0,0,0,2,90,9,64,17,50,9,69,2,85,0,0,0,0
4,Southern California,1137.75,0,0,3,85,5,72.75,0,0,0,0,11,30,0,0,17,50,1,100,8,70.5,10,67.5,2,70,2,90
5,Michigan,1131.8,0,0,49,x,3,82.5,0,0,0,0,9,38,5,78,17,50,17,50,7,72,62,x,0,0,5,46
6,Texas,1105.5,2,90,23,51,26,48,0,0,0,0,0,0,17,50,17,50,3,83,5,75,20,53,0,0,0,0
7,California,1072,0,0,25,47.5,49,22,0,0,0,0,2,90,9,64,2,90,33,25,0,0,25,47,0,0,0,0
8,Virginia,1059,5,78,8,70.5,27,46.5,9,25,3,83,4,80,0,0,17,50,5,73,36,36.5,48,24.5,0,0,0,0
9,Louisiana State U.,1029,1,100,12,64.5,31,39.5,0,0,0,0,0,0,17,50,17,50,17,50,6,73.5,5,75,0,0,0,0
10,Ohio State,1015.8,17,50,24,50,25,49,0,0,0,0,8,49,9,64,33,25,2,90,0,0,56,x,3,25,0,0
11,Washington,1010.25,0,0,29,44.5,5,72.75,0,0,0,0,7,56,1,100,9,64,17,50,19,55,20,53,0,0,0,0
12,Arizona State,1001.75,3,83,1,100,5,72.75,0,0,0,0,0,0,5,78,17,50,0,0,3,85,8,70.5,0,0,0,0
13,Texas A&M,976,33,25,31,42,1,100,0,0,0,0,0,0,33,25,33,25,9,64,1,100,1,100,0,0,0,0
14,Minnesota,975.75,17,50,0,0,39,32.5,0,0,0,0,0,0,0,0,0,0,17,50,18,56,37,36,0,0,0,0
15,Florida State,945,9,64,43,30,39,32.5,0,0,0,0,0,0,33,25,17,50,9,64,4,80,2,85,0,0,0,0
16,UCLA,909.25,0,0,2,90,23,50.5,0,0,0,0,0,0,9,64,9,64,3,83,16,57.75,0,0,0,0,1,100
