Rank,Institution,Conference,Division,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
38,Ole Miss,SEC,FBS,590.38,0,0,30,44,31,40.5,0,0,0,0,0,0,49,25,0,0,0,0,5,75,20,53,0,0,0,0,0,0
39,Northwestern,Big Ten,FBS,587.5,0,0,11,64.5,67,5,2,90,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0
40,Minnesota,Big Ten,FBS,584.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,37,36,0,0,0,0,0,0
41,Indiana,Big Ten,FBS,564,33,37.5,55,16.5,44,28,0,0,0,0,15,45,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Michigan State,Big Ten,FBS,539.25,0,0,17,56.5,55,16,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
43,Baylor,Big 12,FBS,538.5,0,0,21,53,14,61.5,0,0,0,0,0,0,9,64,33,25,33,25,26,48,27,45.5,0,0,0,0,0,0
44,Syracuse,ACC,FBS,538,0,0,0,0,0,0,3,83,5,65,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Texas Tech,Big 12,FBS,533.75,0,0,0,0,17,57,0,0,0,0,0,0,0,0,17,50,0,0,7,71.25,13,62.25,0,0,0,0,0,0
46,Denver,Summit,DI,527.75,0,0,31,40,0,0,9,53,3,83,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
47,Utah,Pac-12,FBS,527.5,0,0,0,0,25,49,0,0,9,45,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
