,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
12,Florida State,ACC,FBS,994.25,49,25,31,41,24,50.0,0,0,0,0,0,0,7,73,17,50,33,25,16,57.75,20,52.5,0,0,0,0.0,351.5,268.5,374.25
13,Michigan,Big Ten,FBS,983.25,0,0,0,0,0,0.0,0,0,0,0,8,66,9,64,17,50,33,25,37,35.0,44,25,0,0,0,0.0,256.0,462.25,265.0
14,North Carolina,ACC,FBS,976.0,33,25,40,33,0,0.0,5,70,9,25,0,0,0,0,2,90,5,73,59,10.0,55,x,0,0,0,0.0,333.0,317.0,326.0
15,Oregon,Pac 12,FBS,943.0,17,50,40,33,14,61.5,0,0,0,0,0,0,3,83,0,0,33,25,3,85.0,1,100,0,0,0,0.0,255.5,250.0,437.5
16,Georgia,SEC,FBS,938.75,0,0,46,27,11,65.25,0,0,0,0,0,0,9,64,5,73,9,64,5,75.0,6,73.5,0,0,0,0.0,93.0,404.0,441.75
17,Alabama,SEC,FBS,926.5,17,50,9,69,1,100.0,0,0,0,0,0,0,2,90,5,73,0,0,18,58.0,15,59.25,0,0,0,0.0,123.5,303.75,499.25
18,Wisconsin,Big Ten,FBS,912.25,0,0,26,47,0,0.0,0,0,0,0,16,42,17,50,0,0,0,0,0,0.0,9,68.25,0,0,0,0.0,315.0,390.0,207.25
19,Oklahoma,Big 12,FBS,902.75,0,0,4,80,16,57.75,0,0,0,0,19,36,5,78,17,50,2,90,32,40.5,55,17.5,0,0,0,0.0,150.5,302.5,449.75
20,California,Pac 12,FBS,878.75,0,0,22,52,11,65.25,0,0,0,0,2,90,0,0,9,64,9,64,0,0.0,0,0,0,0,4,55.0,148.0,340.5,390.25
21,Minnesota,Big Ten,FBS,875.25,0,0,31,41,50,21.5,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,17,57,0,0,0,0.0,168.0,523.75,183.5
22,Oklahoma State,Big 12,FBS,867.0,9,64,25,49,2,90.0,0,0,0,0,0,0,0,0,17,50,17,50,0,0.0,13,62.25,0,0,0,0.0,195.0,306.75,365.25
23,Nebraska,Big Ten,FBS,845.5,33,25,0,0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,19,54.0,12,64.5,0,0,0,0.0,172.0,466.0,207.5
24,LSU,SEC,FBS,833.75,17,50,58,15,3,82.5,0,0,0,0,0,0,17,50,33,25,0,0,6,73.5,4,77.5,0,0,0,0.0,111.5,348.75,373.5
25,Ohio State,Big Ten,FBS,824.0,0,0,7,71.25,67,5.0,17,25,0,0,1,100,0,0,33,25,5,73,47,25.5,0,0,0,0,0,0.0,91.75,407.5,324.75
26,Arizona,Pac 12,FBS,795.25,0,0,7,71.25,0,0.0,0,0,0,0,0,0,9,64,33,25,0,0,22,48.5,7,72,0,0,0,0.0,185.0,329.5,280.75
27,Arizona State,Pac 12,FBS,793.25,49,25,5,75,31,40.0,0,0,0,0,0,0,17,50,33,25,0,0,22,48.5,13,62.25,0,0,5,46.0,106.0,315.5,371.75
28,Arkansas,SEC,FBS,720.0,17,50,31,41,18,55.5,0,0,0,0,0,0,0,0,0,0,0,0,9,69.0,9,68.25,0,0,0,0.0,213.5,222.75,283.75
29,Michigan State,Big Ten,FBS,719.0,0,0,20,53.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,48.5,0,0,0,0,0,0.0,382.5,234.5,102.0
30,Louisville,American,FBS,713.0,7,73,53,20.5,50,21.5,9,53,0,0,17,40,49,25,0,0,33,25,0,0.0,0,0,0,0,0,0.0,160.0,295.0,258.0
31,Baylor,Big 12,FBS,710.5,0,0,29,44.5,56,16.0,0,0,0,0,0,0,3,83,9,64,5,73,14,61.5,8,70.5,0,0,0,0.0,63.0,235.0,412.5
32,Maryland,ACC,FBS,676.0,9,64,0,0,0,0.0,1,100,3,83,0,0,0,0,0,0,0,0,37,35.0,0,0,0,0,0,0.0,198.0,196.0,282.0
33,Washington,Pac 12,FBS,646.5,17,50,17,57,15,60.0,0,0,0,0,7,69,9,64,0,0,0,0,0,0.0,44,25,0,0,0,0.0,258.0,63.5,325.0
34,Auburn,SEC,FBS,615.25,0,0,43,30,23,51.0,0,0,0,0,0,0,17,50,17,50,33,25,0,0.0,24,47,0,0,0,0.0,117.0,245.25,253.0
35,South Carolina,SEC,FBS,591.5,17,50,13,63,9,69.0,0,0,0,0,0,0,33,25,17,50,17,50,0,0.0,0,0,0,0,0,0.0,130.0,154.5,307.0
36,Indiana,Big Ten,FBS,590.0,17,50,0,0,0,0.0,0,0,0,0,11,57,0,0,0,0,0,0,31,43.0,0,0,0,0,7,28.0,193.5,218.5,178.0
37,Virginia Tech,ACC,FBS,587.5,0,0,0,0,28,46.0,0,0,0,0,0,0,33,25,0,0,33,25,32,40.5,36,37.5,0,0,0,0.0,163.0,250.5,174.0
38,Iowa State,Big 12,FBS,585.75,0,0,23,51,25,49.0,0,0,0,0,0,0,0,0,0,0,0,0,15,60.0,0,0,0,0,0,0.0,115.0,310.75,160.0
39,Colorado,Pac 12,FBS,543.0,0,0,46,27,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,19,54.0,64,5.5,0,0,0,0.0,286.0,165.5,91.5
40,Tennessee,SEC,FBS,541.75,0,0,46,27,61,9.25,0,0,0,0,0,0,9,64,33,25,9,64,59,10.0,18,55.5,0,0,0,0.0,27.0,260.0,254.75
41,North Carolina State,ACC,FBS,537.75,0,0,10,66,0,0.0,0,0,0,0,0,0,17,50,0,0,17,50,0,0.0,0,0,0,0,0,0.0,74.0,297.75,166.0
42,BYU,WCC,FBS,528.0,0,0,0,0,38,33.5,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,3,25,0,0.0,265.0,179.5,83.5
43,Denver,Summit,DI,519.25,0,0,55,18,56,16.0,9,53,3,83,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,50.0,249.25,220.0
44,Princeton,Ivy League,FCS,511.0,0,0,0,0,0,0.0,9,53,0,0,6,72,0,0,17,50,0,0,22,48.5,0,0,0,0,0,0.0,156.0,131.5,223.5
45,Vanderbilt,SEC,FBS,500.75,1,100,10,66,16,57.75,0,0,0,0,0,0,0,0,9,64,17,50,0,0.0,0,0,0,0,0,0.0,98.0,65.0,337.75
46,Missouri,SEC,FBS,492.2,0,0,0,0,20,54.0,0,0,0,0,0,0,17,50,0,0,0,0,30,44.0,73,5,0,0,0,0.0,125.0,214.2,153.0
47,Illinois,Big Ten,FBS,476.0,0,0,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,9,64,0,0.0,0,0,0,0,0,0.0,128.0,211.25,136.75
48,Purdue,Big Ten,FBS,466.5,0,0,0,0,27,47.0,0,0,0,0,0,0,0,0,33,25,33,25,47,25.5,0,0,0,0,0,0.0,73.0,271.0,122.5
49,Harvard,Ivy League,FCS,465.0,0,0,37,36,0,0.0,0,0,9,25,13,51,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0.0,69.0,234.0,162.0
50,Northwestern,Big Ten,FBS,453.25,0,0,15,59.25,73,5.0,3,83,0,0,0,0,17,50,17,50,33,25,0,0.0,0,0,0,0,0,0.0,25.0,156.0,272.25
51,New Mexico,Mountain West,FBS,447.5,0,0,43,30,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,25,0,0,0,0.0,216.5,136.0,95.0
52,Mississippi State,SEC,FBS,426.0,17,50,6,73.5,67,5.0,0,0,0,0,0,0,33,25,0,0,17,50,0,0.0,24,47,0,0,0,0.0,45.0,130.5,250.5
53,Syracuse,ACC,FBS,422.5,0,0,0,0,0,0.0,2,90,9,25,0,0,0,0,0,0,0,0,54,18.0,0,0,0,0,0,0.0,189.5,100.0,133.0
54,Ole Miss,SEC,FBS,402.5,3,83,0,0,0,0.0,0,0,0,0,0,0,0,0,17,50,17,50,0,0.0,24,47,0,0,0,0.0,123.0,49.5,230.0
55,Kansas,Big 12,FBS,396.5,33,25,24,50,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,42,30.0,33,40,0,0,0,0.0,119.0,107.5,170.0
56,San Diego State,Mountain West,FBS,384.75,49,25,61,11.5,44,27.5,0,0,0,0,0,0,33,25,0,0,0,0,12,63.75,0,0,0,0,0,0.0,70.0,162.0,152.75
57,UConn,American,FBS,378.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,173.0,200.0,5.5
58,Dartmouth,Ivy League,FCS,372.25,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,22,48.5,0,0,0,0,0,0.0,108.5,190.25,73.5
59,Texas Tech,Big 12,FBS,358.0,7,73,0,0,31,40.0,0,0,0,0,0,0,0,0,33,25,33,25,51,22.0,38,34.5,0,0,0,0.0,95.0,43.5,219.5
60,Clemson,ACC,FBS,355.5,49,25,37,36,31,40.0,0,0,0,0,0,0,0,0,9,64,17,50,0,0.0,0,0,0,0,0,0.0,97.0,43.5,215.0
61,Columbia,Ivy League,FCS,353.5,49,25,0,0,67,5.0,0,0,0,0,0,0,0,0,33,25,9,64,0,0.0,0,0,0,0,0,0.0,49.0,185.5,119.0
62,Kent State,MAC,FBS,351.0,49,25,29,44.5,38,33.5,0,0,0,0,0,0,0,0,0,0,0,0,32,40.5,24,47,0,0,0,0.0,0.0,160.5,190.5
63,Cornell,Ivy League,FCS,340.75,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,42,30.0,31,43,0,0,0,0.0,51.0,191.75,98.0
64,Miami (FL),ACC,FBS,335.5,17,50,49,23.5,0,0.0,0,0,0,0,0,0,0,0,9,64,0,0,54,18.0,0,0,0,0,0,0.0,50.0,130.0,155.5
65,Boston College,ACC,FBS,329.0,0,0,0,0,0,0.0,5,70,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,151.0,108.0,70.0
66,Georgetown,Big East,FCS,326.2,0,0,0,0,0,0.0,9,53,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,216.0,57.2,53.0
67,Pennsylvania,Ivy League,FCS,325.5,0,0,0,0,0,0.0,9,53,9,25,0,0,0,0,0,0,0,0,0,0.0,42,31.5,0,0,0,0.0,52.0,164.0,109.5
68,Villanova,Big East,FCS,324.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,30.0,36,37.5,0,0,0,0.0,111.0,145.7,67.5
69,West Virginia,Big 12,FBS,323.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,10.0,0,0,0,0,0,0.0,100.0,213.0,10.0
70,Wake Forest,ACC,FBS,318.5,0,0,26,47,38,33.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0.0,188.0,0.0,130.5
71,Providence,Big East,DI,311.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,208.5,102.5,0.0
72,Utah,Pac 12,FBS,298.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,223.25,0.0
73,Akron,MAC,FBS,294.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,67.5,20,52.5,0,0,0,0.0,50.0,124.0,120.0
74,Boise State,Mountain West,FBS,293.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,8,70.5,0,0,0,0,0,0.0,52.0,146.0,95.5
75,Oregon State,Pac 12,FBS,280.75,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,45.0,185.75,50.0
76,St. John's  (NY),Big East,DI,265.0,0,0,0,0,79,5.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,100.0,135.0,30.0
77,TCU,Big 12,FBS,263.5,5,78,0,0,31,40.0,0,0,0,0,0,0,0,0,0,0,0,0,42,30.0,0,0,0,0,0,0.0,0.0,115.5,148.0
78,Iowa,Big Ten,FBS,261.5,0,0,0,0,50,21.5,0,0,0,0,0,0,0,0,0,0,0,0,59,10.0,60,12.5,0,0,0,0.0,50.0,167.5,44.0
79,Boston University,Patriot,DI,259.5,0,0,0,0,0,0.0,0,0,0,0,20,34,33,25,33,25,0,0,51,22.0,0,0,0,0,0,0.0,50.0,103.5,106.0
80,Houston,American,FBS,257.0,9,64,0,0,10,67.5,0,0,0,0,0,0,33,25,33,25,0,0,0,0.0,73,5,0,0,0,0.0,25.0,45.5,186.5
81,North Dakota State,Summit,FCS,253.0,49,25,0,0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,100.0,103.0,50.0
82,New Hampshire,America East,FCS,241.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73,5,0,0,0,0.0,133.0,103.5,5.0
83,Memphis,American,FBS,234.5,0,0,0,0,56,16.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0.0,0.0,168.5,66.0
83,Arkansas State,Sun Belt,FBS,234.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,48.5,0,0,0,0,0,0.0,45.0,141.0,48.5
85,Pittsburgh,ACC,FBS,232.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,25,0,0,0,0.0,45.0,162.75,25.0
86,Louisiana Lafayette,Sun Belt,FBS,232.0,9,64,0,0,0,0.0,0,0,0,0,0,0,7,73,0,0,33,25,0,0.0,0,0,0,0,0,0.0,45.0,25.0,162.0
87,Air Force,Mountain West,FBS,217.5,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,82.0,110.5,25.0
88,Sam Houston State,Southland,FCS,212.25,17,50,0,0,61,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,53.0,100.0,59.25
89,Georgia Tech,ACC,FBS,209.75,33,25,0,0,5,72.75,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0,0,0.0,25.0,37.0,147.75
90,Navy,Patriot,FBS,205.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38,34.5,0,0,0,0.0,95.0,75.5,34.5
91,Rutgers,American,FBS,203.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,50.0,147.5,5.5
92,Jacksonville State,OVC,FCS,202.5,49,25,0,0,44,27.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,70.0,55.0,77.5
93,South Florida,American,FBS,201.0,0,0,0,0,56,16.0,0,0,0,0,0,0,17,50,33,25,17,50,59,10.0,44,25,0,0,0,0.0,25.0,0.0,176.0
94,Tulsa,Conference USA,FBS,197.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,33,25,17,50,0,0.0,0,0,0,0,0,0.0,47.0,25.0,125.0
95,UCF,American,FBS,196.5,0,0,49,23.5,38,33.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0.0,89.5,0.0,107.0
96,SMU,American,FBS,193.25,0,0,49,23.5,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,43.0,54.0,96.25
97,Massachusetts,Atlantic 10,FBS,188.5,0,0,0,0,0,0.0,17,25,0,0,21,32,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,60.0,71.5,57.0
98,UNLV,Mountain West,FBS,185.0,33,25,43,30,50,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,83.5,76.5
99,Kansas State,Big 12,FBS,181.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,54.0,20,52.5,0,0,0,0.0,45.0,30.0,106.5
100,UC Irvine,Big West,DI,179.0,5,78,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,37.0,64.0,0.0,115.0
101,William & Mary,CAA,FCS,173.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,25.5,0,0,0,0,0,0.0,89.5,58.0,25.5
102,Long Beach State,Big West,DI,172.0,17,50,0,0,0,0.0,0,0,0,0,0,0,33,25,17,50,0,0,0,0.0,24,47,0,0,0,0.0,0.0,0.0,172.0
103,Bryant,Northeast,FCS,165.0,49,25,0,0,79,5.0,17,25,5,60,0,0,49,25,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,0.0,165.0
104,Rice,Conference USA,FBS,164.5,33,25,0,0,67,5.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,59,15,0,0,0,0.0,52.0,17.5,95.0
105,DePaul,Big East,DI,164.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,33,25,0,0,0,0.0,0,0,0,0,0,0.0,25.0,64.0,75.0
105,UAB,Conference USA,FBS,164.0,0,0,0,0,21,53.0,0,0,0,0,0,0,33,25,0,0,0,0,22,48.5,0,0,0,0,0,0.0,0.0,37.5,126.5
107,Pepperdine,WCC,DI,161.0,9,64,26,47,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,161.0
108,Coastal Carolina,Big South,FCS,159.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,134.0,25.0,0.0
108,San Diego,WCC,FCS,159.0,0,0,0,0,0,0.0,0,0,0,0,15,45,0,0,0,0,17,50,0,0.0,0,0,0,0,0,0.0,64.0,0.0,95.0
110,Brown,Ivy League,FCS,158.0,0,0,0,0,0,0.0,0,0,0,0,3,85,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,73.0,85.0
111,Wisconsin Milwaukee,Horizon League,DI,153.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,75.0,73.0,5.5
112,Old Dominion,Conference USA,FCS,150.5,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,50.5,25.0
113,Albany,America East,FCS,150.0,0,0,0,0,0,0.0,0,0,5,60,0,0,33,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,65.0,85.0
114,UTEP,Conference USA,FBS,149.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24,47,0,0,0,0.0,0.0,102.5,47.0
114,Loyola Chicago,Missouri Valley,DI,149.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38,34.5,1,100,0,0.0,0.0,15.0,134.5
116,East Tennessee State,Atlantic Sun,DI,143.5,0,0,31,41,44,27.5,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,0,0.0,25.0,0.0,118.5
116,Towson,CAA,FCS,143.5,0,0,0,0,0,0.0,17,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,90.0,28.5,25.0
118,Colorado State,Mountain West,FBS,141.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,18.0,73,5,0,0,0,0.0,118.0,0.0,23.0
119,Marquette,Big East,DI,139.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,139.0,0.0,0.0
120,Tennessee Chattanooga,SoCon,FCS,136.0,0,0,49,23.5,31,40.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,47.5,88.5
121,Wichita State,Missouri Valley,DI,135.0,0,0,65,5,67,5.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0.0,25.0,75.0,35.0
122,Northwestern State,Southland,FCS,134.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,20,52.5,0,0,0,0.0,0.0,57.0,77.5
123,Western Kentucky,Sun Belt,FBS,132.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,10.0,18,55.5,0,0,0,0.0,0.0,67.0,65.5
124,American,Patriot,DI,131.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,89.0,42.5,0.0
125,Northern Arizona,Big Sky,FCS,126.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,5.5,0,0,0,0.0,115.0,6.0,5.5
126,Creighton,Big East,DI,125.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,50.0,0.0
126,Cal Poly,Big West,FCS,125.0,17,50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,50.0,75.0
126,Cal State Northridge,Big West,DI,125.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,100.0,25.0,0.0
129,Indiana State,Missouri Valley,FCS,124.5,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,22.0,44,25,0,0,0,0.0,0.0,52.5,72.0
130,Portland,WCC,DI,122.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,122.0,0.0,0.0
131,Army,Patriot,FBS,120.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0.0,0.0,95.0,25.0
131,Southeastern Louisiana,Southland,FCS,120.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,95.0,0.0,25.0
133,Eastern Kentucky,OVC,FCS,119.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38,34.5,0,0,0,0.0,60.0,25.0,34.5
134,Illinois State,Missouri Valley,FCS,117.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73,5,0,0,0,0.0,50.0,62.0,5.0
135,East Carolina,Conference USA,FBS,116.0,0,0,40,33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,38.0,0,0,0,0,0,0.0,45.0,0.0,71.0
135,Eastern Michigan,MAC,FBS,116.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,25.5,60,12.5,0,0,0,0.0,0.0,78.0,38.0
137,College of Charleston,CAA,DI,115.5,9,64,65,5,50,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,0.0,90.5
138,Vermont,America East,DI,115.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,115.0,0.0
139,UC Santa Barbara,Big West,DI,114.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,75.0,39.0,0.0
139,Ohio,MAC,FBS,114.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,50.0,39.0,25.0
141,Middle Tennessee State,Conference USA,FBS,112.25,0,0,0,0,61,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24,47,0,0,0,0.0,25.0,31.0,56.25
142,Kennesaw State,Atlantic Sun,DI,112.0,9,64,0,0,26,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,112.0
143,Butler,Big East,FCS,110.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,110.0,0.0,0.0
144,Iona,MAAC,DI,108.5,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,59,10.0,0,0,0,0,0,0.0,73.5,0.0,35.0
145,North Dakota,Big Sky,FCS,108.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,108.0,0.0
145,Liberty,Big South,FCS,108.0,49,25,0,0,44,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,25.0,30.5,52.5
147,UC Davis,Big West,FCS,106.0,0,0,36,38,50,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,46.5,59.5
