,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
1,Stanford,Pac 12,FBS,1482.0,9,64,18,X,3,82.5,17,X,0,0,4,80,0,0,3,83,33,X,11,66.0,32,x,2,70,1,100.0,342.25,594.25,545.5
2,Florida,SEC,FBS,1216.5,49,25,18,55.5,0,0.0,5,70,0,0,0,0,1,100,3,83,9,64,4,80.0,2,90,0,0,0,0.0,95.0,554.0,567.5
3,Notre Dame,ACC,FBS,1128.25,0,0,53,x,0,0.0,9,53,2,90,9,63,17,50,9,64,9,64,32,40.5,64,5.5,0,0,0,0.0,310.0,388.25,430.0
4,Virginia,ACC,FBS,1118.5,2,90,14,61.5,38,33.5,3,83,9,25,5,75,0,0,5,73,3,83,54,18.0,44,25,0,0,0,0.0,323.0,228.5,567.0
5,Penn State,Big Ten,FBS,1113.0,0,0,0,0,0,0.0,17,25,0,0,0,0,0,0,0,0,17,50,12,63.75,44,25,3,25,0,0.0,315.0,609.25,188.75
6,Texas,Big 12,FBS,1093.0,3,83,55,18,13,63.0,0,0,0,0,0,0,17,50,17,50,5,73,2,90.0,11,66,0,0,0,0.0,197.5,402.5,493.0
7,UCLA,Pac 12,FBS,1078.5,0,0,3,83,5,72.75,0,0,0,0,12,54,9,64,1,100,3,83,37,35.0,33,40,0,0,2,90.0,222.5,234.25,621.75
8,USC,Pac 12,FBS,1063.75,0,0,2,90,30,44.0,0,0,0,0,10,60,0,0,9,64,1,100,16,57.75,4,77.5,0,0,3,72.5,228.0,270.0,565.75
9,Duke,ACC,FBS,1051.0,0,0,1,100,0,0.0,5,70,1,100,0,0,0,0,5,73,17,50,22,48.5,0,0,0,0,0,0.0,293.0,316.5,441.5
10,Texas A&M,SEC,FBS,1022.0,17,50,10,66,29,45.0,0,0,0,0,0,0,17,50,9,64,17,50,1,100.0,3,85,0,0,0,0.0,198.0,314.0,510.0
11,Kentucky,SEC,FBS,1016.25,17,50,55,18,18,55.5,0,0,0,0,0,0,5,78,17,50,9,64,7,72.0,15,59.25,0,0,0,0.0,100.0,469.5,446.75
