,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
37,South Carolina,SEC,FBS,627.5,0,0,14,61.5,31,39.5,0,0,0,0,0,0,0,0,17,50,9,64,23,50.5,0,0,0,0,0,0,0,0
38,Texas Tech,Big 12,FBS,627,17,50,37,33.5,5,72.75,0,0,0,0,0,0,0,0,17,50,33,25,7,72,9,68.25,0,0,0,0,0,0
39,Harvard,Ivy League,FCS,615,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
40,TCU,Big 12,FBS,564.5,17,50,21,53,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,16,57.75,0,0,0,0,7,60
41,Michigan State,Big Ten,FBS,544.75,0,0,26,46,43,28.5,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,39,32.5,0,0,0,0,0,0
42,Iowa State,Big 12,FBS,540.5,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,62,8.5,50,22.5,0,0,0,0,0,0
43,Penn State,Big Ten,FBS,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0
44,Utah,Pac-12,FBS,532.5,0,0,0,0,27,47,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
45,Wake Forest,ACC,FBS,530,33,37.5,16,58.5,19,54.5,0,0,0,0,0,0,0,0,17,50,9,64,0,0,50,22.5,0,0,0,0,0,0
46,Maryland,Big Ten,FBS,528,17,50,0,0,0,0,3,83,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Baylor,Big 12,FBS,522,0,0,18,56,0,0,0,0,0,0,0,0,0,0,17,50,5,73,37,35.5,18,54,0,0,0,0,0,0
48,Rutgers,Big Ten,FBS,518.5,0,0,0,0,0,0,9,53,3,83,13,51,0,0,0,0,0,0,0,0,59,13,0,0,0,0,0,0
49,Nebraska,Big Ten,FBS,516.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,14,61.5,59,13,0,0,0,0,0,0
50,Miami (FL),ACC,FBS,516,33,37.5,26,46,0,0,0,0,0,0,0,0,0,0,9,64,17,50,57,15,50,22.5,0,0,0,0,0,0
51,Oregon State,Pac-12,FBS,512,9,64,45,27.5,49,22,0,0,0,0,14,48,7,73,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0
52,Illinois,Big Ten,FBS,500,0,0,49,22.5,31,39.5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,59,13,0,0,0,0,0,0
53,Purdue,Big Ten,FBS,476.75,0,0,12,64.5,39,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Villanova,Big East,FCS,470.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,19,54.5,54,18,0,0,0,0,0,0
55,Iowa,Big Ten,FBS,450.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0
56,Yale,Ivy League,FCS,434.5,0,0,0,0,73,5,0,0,5,70,5,75,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0
57,Missouri,SEC,FBS,429.25,0,0,0,0,56,16,0,0,0,0,0,0,17,50,0,0,0,0,0,0,50,22.5,0,0,0,0,0,0
