,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
118,Wyoming,Mountain West,FBS,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15.5,0,0,0,0,0,0
119,North Florida,ASUN,DI,123,0,0,40,33,31,40,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
119,Arkansas State,Sun Belt,FBS,123,0,0,0,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,San Diego,WCC,FCS,122,0,0,0,0,27,47,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
122,Loyola Maryland,Patriot,DI,121,0,0,0,0,62,8,9,53,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Stony Brook,America East,FCS,120,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,North Dakota,Summit,FCS,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,SMU,American,FBS,118,0,0,0,0,17,56,0,0,0,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,NJIT,America East,DI,117.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,San Jose State,Mountain West,FBS,116.5,0,0,32,41.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
128,Southern Utah,Big Sky,FCS,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Furman,SoCon,FCS,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,58,14.5,0,0,0,0,0,0,0,0
130,Marist,MAAC,FCS,115,0,0,0,0,0,0,0,0,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
131,Cleveland State,Horizon League,DI,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
132,Southern Illinois,Missouri Valley,FCS,111,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Louisiana,Sun Belt,FBS,108.5,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Delaware,CAA,FCS,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Northern Iowa,Missouri Valley,FCS,108,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,57,15.5,0,0,0,0,0,0
136,Temple,American,FBS,107,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Cal Poly,Big West,FCS,107,0,0,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
136,Army West Point,Patriot,FBS,107,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Kansas State,Big 12,FBS,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39.5,0,0,0,0,0,0
140,Loyola Marymount,WCC,DI,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55
141,Jacksonville,ASUN,FCS,103,49,25,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Colorado State,Mountain West,FBS,101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26.5,0,0,0,0,0,0
143,Cincinnati,American,FBS,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Youngstown State,Horizon League,FCS,101,0,0,55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Louisiana Tech,Conference USA,FBS,100,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Old Dominion,Conference USA,FBS,100,17,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
145,LIU Brooklyn,Northeast,DI,100,0,0,0,0,79,5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
145,Belmont,OVC,DI,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,7,25,0,0,0,0
145,Santa Clara,WCC,DI,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Middle Tennessee State,Conference USA,FBS,98,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,30,43,0,0,0,0,0,0
151,Georgia Southern,Sun Belt,FBS,97.5,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
152,Montana State,Big Sky,FCS,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26.5,0,0,0,0,0,0
153,Texas A&M Corpus Christi,Southland,DI,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,50,21,0,0,0,0,0,0
154,Towson,CAA,FCS,95.5,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Loyola Chicago,Missouri Valley,DI,94,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,East Carolina,American,FBS,93.5,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29.5,0,0,0,0,0,0,0,0
156,Norfolk State,MEAC,FCS,93.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Lehigh,Patriot,FCS,92,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Florida Gulf Coast,ASUN,DI,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
159,Buffalo,MAC,FBS,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,0,0,0,0
161,Iona,MAAC,DI,90,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Creighton,Big East,DI,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Marquette,Big East,DI,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,New Hampshire,America East,FCS,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Vermont,America East,DI,88,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Texas State,Sun Belt,FBS,87.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Portland,WCC,DI,87,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Kennesaw State,ASUN,FCS,85.5,0,0,Regional Canceled,5,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,50,22.5,0,0,0,0,0,0,0,0
169,Drake,Missouri Valley,FCS,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
169,Appalachian State,Sun Belt,FBS,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Weber State,Big Sky,FCS,82.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7.75,0,0,0,0,0,0,0,0
172,Fairleigh Dickinson,Northeast,DI,82.5,0,0,58,15,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
173,Southern Mississippi,Conference USA,FBS,80.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Wichita State,American,DI,80,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,33,25,0,0,0,0,0,0,0,0,0,0
174,North Texas,Conference USA,FBS,80,0,0,Regional,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
