,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Texas,Big 12,FBS,1252,3,83,5,72.75,25,48.5,0,0,0,0,1,100,9,64,1,100,3,83,7,69.75,6,72.75,0,0,0,0,0,0
2,Stanford,Pac 12,FBS,1195.75,5,78,5,72.75,38,x,17,x,0,0,2,90,17,50,17,50,17,50,25,x,42,x,0,0,3,83,6,x
3,Michigan,Big Ten,FBS,1126.5,49,25,20,54,0,0,0,0,0,0,4,80,17,50,9,64,33,x,0,0,24,49,0,0,5,60,0,0
4,North Carolina,ACC,FBS,1126.25,33,37.5,0,0,5,72.75,3,83,3,83,0,0,0,0,3,83,9,64,40,32.5,57,x,0,0,0,0,0,0
5,Florida,SEC,FBS,1121.75,49,25,25,48,22,52,5,70,0,0,0,0,9,64,17,50,1,100,7,69.75,4,80,0,0,0,0,0,0
6,USC,Pac 12,FBS,1052,0,0,23,51,67,5,0,0,0,0,0,0,0,0,9,64,5,73,1,100,5,75,0,0,1,100,1,100
7,Alabama,SEC,FBS,1017.25,33,37.5,24,50,73,5,0,0,0,0,13,51,3,83,33,25,33,25,4,77.5,13,62.25,0,0,0,0,0,0
8,Arkansas,SEC,FBS,988.75,9,64,25,48,11,65.25,0,0,0,0,0,0,9,64,33,25,33,25,15,60,28,45.5,0,0,0,0,0,0
9,Ohio State,Big Ten,FBS,972.5,0,0,0,0,31,40,0,0,0,0,6,72,0,0,9,64,9,64,11,64.5,57,15.5,0,0,0,0,0,0
10,Georgia,SEC,FBS,971.5,0,0,18,55.5,17,56,0,0,0,0,0,0,7,73,5,73,5,73,3,85,8,70.5,0,0,0,0,0,0
11,Virginia,ACC,FBS,970.25,5,78,32,41.5,38,33,9,53,1,100,5,75,0,0,9,64,9,64,16,57.75,28,45.5,0,0,0,0,0,0
12,Kentucky,SEC,FBS,960.25,0,0,18,55.5,0,0,0,0,0,0,0,0,9,64,17,50,17,50,21,52,15,59.25,0,0,0,0,0,0
13,UCLA,Pac 12,FBS,933.25,17,50,15,60,0,0,0,0,0,0,0,0,5,78,5,73,33,25,40,32.5,50,21,0,0,2,90,2,90
14,Notre Dame,ACC,FBS,900,9,64,0,0,45,27.5,5,70,5,60,0,0,17,50,0,0,17,50,33,38,34,39.5,0,0,0,0,0,0
15,LSU,SEC,FBS,895,9,64,9,68.25,55,16,0,0,0,0,0,0,9,64,17,50,33,25,6,73.5,1,100,0,0,0,0,3,55
16,Florida State,ACC,FBS,893,33,37.5,9,68.25,5,72.75,0,0,0,0,0,0,2,90,5,73,0,0,14,61.5,10,67.5,0,0,0,0,5,40
17,BYU,WCC,FBS,871.25,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,10,67.5,17,57,2,90,0,0,0,0
18,Oklahoma State,Big 12,FBS,860.5,33,37.5,2,90,3,82.5,0,0,0,0,0,0,5,78,33,25,17,50,0,0,37,35,0,0,0,0,0,0
19,Texas A&M,SEC,FBS,846.25,0,0,0,0,31,40,0,0,0,0,0,0,33,37.5,9,64,5,73,2,90,6,72.75,0,0,0,0,0,0
20,Arizona State,Pac 12,FBS,840,33,37.5,5,72.75,3,82.5,0,0,0,0,0,0,33,37.5,17,50,17,50,9,69,9,69,0,0,3,83,0,0
21,Duke,ACC,FBS,831.5,33,37.5,3,82.5,67,x,5,70,3,83,16,42,17,50,5,73,33,25,32,42,0,0,0,0,0,0,0,0
22,Ole Miss,SEC,FBS,824.5,9,64,1,100,55,16,0,0,0,0,0,0,17,50,33,25,9,64,33,38,30,43,0,0,0,0,0,0
23,North Carolina State,ACC,FBS,783.25,COVID,5,0,0,20,54,0,0,0,0,0,0,0,0,3,83,17,50,26,46.5,0,0,0,0,0,0,0,0
24,Oklahoma,Big 12,FBS,774.5,0,0,25,48,2,90,0,0,0,0,0,0,1,100,33,25,17,50,0,0,27,47,0,0,0,0,0,0
25,Oregon,Pac 12,FBS,763.5,17,50,11,66,55,16,0,0,0,0,0,0,17,50,0,0,17,50,11,64.5,2,90,0,0,0,0,0,0
26,Tennessee,SEC,FBS,748,7,73,34,38.5,17,56,0,0,0,0,17,40,33,37.5,17,50,3,83,46,26.5,11,66,0,0,0,0,0,0
27,Arizona,Pac 12,FBS,745.5,7,73,3,82.5,49,22.5,0,0,0,0,0,0,7,73,0,0,9,64,30,43.5,30,43,0,0,0,0,0,0
28,Minnesota,Big Ten,FBS,727,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,40,32.5,20,53,0,0,0,0,0,0
29,Baylor,Big 12,FBS,677,0,0,14,61.5,31,40,0,0,0,0,0,0,49,25,17,50,2,90,24,50,0,0,0,0,0,0,0,0
30,Iowa,Big Ten,FBS,658.5,0,0,0,0,62,8,0,0,0,0,0,0,0,0,0,0,0,0,26,46.5,12,64.5,0,0,0,0,0,0
31,Northwestern,Big Ten,FBS,639.5,0,0,40,33,49,22.5,3,83,0,0,0,0,33,37.5,17,50,17,50,0,0,0,0,0,0,0,0,0,0
32,Virginia Tech,ACC,FBS,631.25,0,0,21,52.5,0,0,0,0,0,0,0,0,9,64,0,0,33,25,46,26.5,37,35,0,0,0,0,0,0
33,Washington,Pac 12,FBS,611.5,0,0,40,33,38,33,0,0,0,0,3,85,9,64,0,0,0,0,19,54.5,46,26.5,0,0,0,0,0,0
34,Indiana,Big Ten,FBS,569.5,0,0,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,46,26.5,0,0,0,0,0,0,0,0
35,Nebraska,Big Ten,FBS,568,17,50,49,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,0,0,0,0,0
36,Clemson,ACC,FBS,554.75,0,0,34,38.5,13,62.25,0,0,0,0,0,0,17,50,0,0,0,0,33,38,20,53,0,0,0,0,0,0
37,Wisconsin,Big Ten,FBS,551,0,0,0,0,0,0,0,0,0,0,14,48,0,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0
38,Iowa State,Big 12,FBS,547.75,0,0,46,27,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,33,41,0,0,0,0,0,0
39,Penn State,Big Ten,FBS,534.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0,0,5,40,0,0,0,0
40,Louisville,ACC,FBS,532.75,0,0,38,35.5,9,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,California,Pac 12,FBS,532.75,0,0,0,0,0,0,0,0,0,0,9,63,0,0,9,64,0,0,30,43.5,0,0,0,0,0,0,0,0
42,South Carolina,SEC,FBS,514,33,37.5,13,63,49,22.5,0,0,0,0,0,0,0,0,33,25,9,64,18,56,42,30.5,0,0,0,0,0,0
43,Texas Tech,Big 12,FBS,497.5,9,64,28,44.5,11,65.25,0,0,0,0,0,0,0,0,17,50,17,50,11,64.5,0,0,0,0,0,0,0,0
44,Georgia Tech,ACC,FBS,487,17,50,0,0,15,60,0,0,0,0,0,0,0,0,9,64,33,25,33,38,0,0,0,0,0,0,0,0
45,TCU,Big 12,FBS,470,33,37.5,49,23,16,58.5,0,0,0,0,0,0,0,0,0,0,5,73,0,0,36,38,0,0,0,0,6,25
46,Maryland,Big Ten,FBS,462.5,17,50,21,52.5,0,0,9,53,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Illinois,Big Ten,FBS,462.25,0,0,43,30,5,72.75,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0
48,Missouri,SEC,FBS,435,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,West Virginia,Big 12,FBS,414.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18.5,0,0,0,0,0,0,0,0
50,Auburn,SEC,FBS,412.75,0,0,5,72.75,31,40,0,0,0,0,0,0,49,25,17,50,0,0,26,46.5,18,55.5,0,0,0,0,0,0
51,Denver,Summit,DI,408.25,0,0,34,38.5,31,40,9,53,9,25,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
52,Colorado,Pac 12,FBS,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46.5,0,0,0,0,0,0,0,0
53,North Carolina A&T,MEAC,FCS,398.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77.5,3,85,0,0,0,0,0,0
54,Wake Forest,ACC,FBS,394.75,0,0,12,64.5,13,62.25,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0,0,0
55,Oregon State,Pac 12,FBS,394,17,50,Regional Canceled,5,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Vanderbilt,SEC,FBS,392.25,2,90,28,44.5,5,72.75,17,25,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
57,UCF,American,FBS,385.5,0,0,28,44.5,0,0,0,0,0,0,0,0,17,50,9,64,17,50,33,38,0,0,0,0,0,0,0,0
58,Pepperdine,WCC,DI,374.5,0,0,28,44.5,1,100,0,0,0,0,0,0,0,0,2,90,17,50,0,0,0,0,5,40,0,0,0,0
59,Mississippi State,SEC,FBS,371.75,1,100,Regional Canceled,5,73,5,0,0,0,0,0,0,17,50,33,25,9,64,0,0,15,59.25,0,0,0,0,0,0
60,Rutgers,Big Ten,FBS,369.25,0,0,0,0,0,0,9,53,5,60,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Michigan State,Big Ten,FBS,365.5,0,0,16,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29.5,62,11,0,0,0,0,0,0
62,Miami (FL),ACC,FBS,358.5,33,37.5,Regional Canceled,5,0,0,0,0,0,0,0,0,0,0,17,50,33,25,19,54.5,0,0,0,0,0,0,0,0
63,Georgetown,Big East,FCS,339,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,24,49,0,0,0,0,0,0
64,Syracuse,ACC,FBS,328,0,0,0,0,0,0,2,90,9,25,10,60,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
65,Air Force,Mountain West,FBS,325.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57.75,0,0,0,0,0,0,0,0
66,North Dakota State,Summit,FCS,316,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,46,26.5,0,0,0,0,0,0
67,James Madison,CAA,FCS,314,0,0,54,20,0,0,9,53,0,0,0,0,3,83,33,25,0,0,0,0,0,0,0,0,0,0,0,0
68,Purdue,Big Ten,FBS,295,0,0,Regional Canceled,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,South Florida,American,FBS,286.5,9,64,0,0,49,22.5,0,0,0,0,0,0,17,50,0,0,17,50,0,0,0,0,0,0,0,0,0,0
70,Utah,Pac 12,FBS,284,0,0,0,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Sam Houston State,Southland,FCS,282.25,0,0,Regional Canceled,5,9,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30.5,0,0,0,0,0,0
72,Liberty,ASUN,FBS,281,17,50,0,0,21,53,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Pittsburgh,ACC,FBS,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Boston College,ACC,FBS,277,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Northern Arizona,Big Sky,FCS,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,20,53,0,0,0,0,0,0
76,Houston,American,FBS,249,0,0,Regional Canceled,5,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,58,14.5,18,55.5,0,0,0,0,0,0
77,High Point,Big South,DI,237,0,0,0,0,0,0,17,25,9,25,0,0,0,0,0,0,0,0,54,18.5,0,0,0,0,0,0,0,0
78,UConn,American,FBS,235.5,33,37.5,0,0,67,5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Campbell,Big South,FCS,234,17,50,38,35.5,55,16,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,37,35,0,0,0,0,0,0
80,New Mexico,Mountain West,FBS,225.5,0,0,49,23,38,33,0,0,0,0,0,0,0,0,0,0,33,25,50,22.5,0,0,0,0,0,0,0,0
81,Kent State,MAC,FBS,223,0,0,17,57,45,27.5,0,0,0,0,0,0,0,0,0,0,0,0,54,18.5,0,0,0,0,0,0,0,0
82,Kansas,Big 12,FBS,212.5,0,0,0,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,62,12,23,51,0,0,0,0,0,0
83,Gonzaga,WCC,DI,206.5,33,37.5,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Villanova,Big East,FCS,205,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,54,18.5,0,0,0,0,0,0,0,0
84,Hawaii,Big West,FBS,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,60,0,0
86,Navy,Patriot,FBS,203.5,0,0,58,15,0,0,0,0,0,0,18,38,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
87,South Dakota State,Summit,FCS,199.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Rice,Conference USA,FBS,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,21,52,0,0,0,0,0,0,0,0
89,UC Santa Barbara,Big West,DI,180,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,3,55,0,0,0,0
90,Washington State,Pac 12,FBS,175.75,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,62,7.75,62,11,0,0,0,0,0,0
91,Memphis,American,FBS,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
91,Massachusetts,Atlantic 10,FBS,175,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Central Michigan,MAC,FBS,172.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Tulsa,American,FBS,169,0,0,Regional,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,0,0,0,0,0,0
95,Fresno State,Mountain West,FBS,162.5,0,0,Canc0eled,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,46,26.5,0,0,0,0,5,60,0,0
95,South Alabama,Sun Belt,FBS,162.5,17,50,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0
97,Bucknell,Patriot,FCS,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32.5,0,0,0,0,0,0,0,0
98,Charlotte,Conference USA,FBS,156.5,33,37.5,0,0,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11,0,0,0,0,0,0
99,Missouri State,Missouri Valley,FCS,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Utah Valley,WAC,DI,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Northeastern,CAA,DI,151,49,25,0,0,0,0,0,0,0,0,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Grand Canyon,WAC,DI,150,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
103,Boise State,Mountain West,FBS,147,0,0,0,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,50,22.5,0,0,0,0,0,0,0,0
104,VCU,Atlantic 10,DI,142.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0
105,Coastal Carolina,Sun Belt,FBS,138.5,0,0,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,San Diego State,Mountain West,FBS,137.5,0,0,49,23,25,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Sacred Heart,Northeast,FCS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,South Dakota,Summit,FCS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,0,0,0,0,0
109,Utah State,Mountain West,FBS,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Miami (OH),MAC,FBS,131.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,42,30.5,0,0,0,0,0,0
111,Rider,MAAC,DI,129,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Western Kentucky,Conference USA,FBS,126.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Drexel,CAA,DI,125,0,0,0,0,0,0,17,25,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Marshall,Conference USA,FBS,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Wright State,Horizon League,DI,125,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Monmouth,MAAC,FCS,125,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
117,Stephen F. Austin,Southland,FCS,124.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62.25,0,0,0,0,0,0
