,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
186,Marshall (W.V.),66.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,65,5.0,0,0.0
188,East Tennessee State,64.0,0,0,0,0.0,34,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
188,Louisiana Tech,64.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
188,St. Louis (Mo.),64.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
191,Eastern Illinois,63.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
192,Fairleigh Dickinson (N.J.),62.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
193,Fordham (N.Y.),60.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
193,Montana,60.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
193,Towson (Md.),60.0,0,0,0,0.0,0,0.0,0,0,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0
193,Western Illinois,60.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
197,East Carolina (N.C.),56.5,33,25,42,31.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
198,Austin Peay (Tenn.),55.0,0,0,0,0.0,72,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
198,Central Connecticut State,55.0,49,25,0,0.0,76,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
198,Rider (N.J.),55.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
198,Tennessee-Chattanooga,55.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
202,Binghamton (N.Y.),54.5,0,0,0,0.0,64,7.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
203,New Mexico State,54.0,33,25,44,29.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
204,Northern Illinois,52.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Charlotte (N.C.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Dayton (Ohio),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Gonzaga (Wash.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Indiana/Purdue-Indianapolis,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
205,Miami (Ohio),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Stetson (Fla.),50.0,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
205,Tennessee Tech,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,33,25,0,0.0,0,0.0
205,Western Michigan,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
213,San Francisco (Cal.),48.0,0,0,25,48.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
214,Drexel (Penn.),43.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
215,Idaho State,41.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,16.0,0,0.0
216,U.S. Naval Academy (Md.),39.5,0,0,0,0.0,68,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
217,California-Irvine,39.0,0,0,0,0.0,34,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
218,Bradley (Ill.),37.0,0,0,61,12.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
218,Ohio,37.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
220,George Mason (Va.),35.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,5.0
221,Cleveland State (Ohio),33.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
222,Sacred Heart (Conn.),32.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
223,Toledo (Ohio),32.0,0,0,0,0.0,41,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
224,Liberty (Va.),30.0,0,0,0,0.0,72,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
224,Long Island (N.Y.),30.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,70,5.0
224,South Carolina State,30.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70,5.0
224,Wright State (Ohio),30.0,0,0,0,0.0,68,5.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
228,Jacksonville State (Ala.),28.0,0,0,0,0.0,44,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
229,Virginia Military Institute,27.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
230,Howard (D.C.),26.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46,26.5
231,Portland State (Ore.),26.0,0,0,47,26.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
232,Citadel (S.C.),25.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Alabama A&M,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Alabama State,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Albany (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Bucknell (Penn.),25.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,California-Riverside,25.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Colgate (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
233,Hartford (Conn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,High Point (N.C.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
233,Illinois State,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
233,Louisiana-Monroe,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
233,Marist (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
233,"Memphis, Univ of  (Tenn.)",25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Mount St. Mary's (Md.),25.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Niagara (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
233,North Carolina-Asheville,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Radford (Va.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Robert Morris (Penn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Sam Houston State (Tex.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,St. Bonaventure (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
233,St. Francis (Penn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,St. Joseph's (Penn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Tennessee-Martin,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Texas A&M-Corpus Christi,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
233,Troy State (Ala.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Utah State,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Valparaiso (Ind.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
233,Wagner (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
260,North Texas,23.0,0,0,0,0.0,50,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
261,Buffalo (N.Y.),13.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
261,Norfolk State (Va.),13.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,13.5
263,St. Francis (N.Y.),12.0,0,0,61,12.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
264,Duquesne (Penn.),8.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
265,Charleston Southern (S.C.),5.0,0,0,0,0.0,74,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
265,Gardner-Webb (N.C.),5.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
265,Jackson State (Miss.),5.0,0,0,0,0.0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
265,Texas Southern,5.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
