,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
198,Southern Utah,52.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
199,Sacred Heart (Conn.),52.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
200,Northern Illinois,51.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Cal State-Sacramento,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
201,Charleston (S.C.),50.0,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,East Tennessee State,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
201,Gonzaga (Wash.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Idaho State,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Liberty (Va.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Massachusetts,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
201,Mississippi Valley State,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,25,50,0,0,0,0,0,0.0,0,0.0
201,Murray State (Ky.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Quinnipiac (Conn.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
201,South Alabama,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
201,Southwest Missouri State,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,St. Mary's (Calif.),50.0,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,St. Peter's (N.J.),50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
201,Wisconsin-Milwaukee,50.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
216,Citadel (S.C.),47.5,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
216,Tennessee Tech,47.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,48,22.5,0,0.0
218,Northeastern (Mass.),46.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
219,Drexel (Penn.),42.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
220,Eastern Illinois,41.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
221,Buffalo (N.Y.),41.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
222,South Carolina State,39.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,56,14.0,0,0.0
223,Lamar (Tex.),38.5,49,25,0,0.0,59,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
224,Texas State-San Marcos,33.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,44,28.0
225,California-Riverside,32.5,0,0,0,0.0,41,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
226,Rider (N.J.),30.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
227,Butler (Ind.),30.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,76,5.0,0,0.0
227,Jacksonville (Fla.),30.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,30.0,0,0.0
227,Long Island (N.Y.),30.0,0,0,0,0.0,79,5.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
227,Norfolk State (Va.),30.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,30.0,0,0.0
227,Towson (Md.),30.0,0,0,0,0.0,73,5.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
232,Cleveland State (Ohio),27.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
232,Howard (D.C.),27.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
234,Virginia Military Institute,27.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Alabama A&M,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Alabama State,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Albany (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Austin Peay (Tenn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Birmingham Southern (Ala.),25.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Canisius (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
235,Centenary (La.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
235,Charlotte (N.C.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Davidson (N.C.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Eastern Kentucky,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
235,Eastern Washington,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Fairfield (Conn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,Fairleigh Dickinson (N.J.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,George Washington (D.C.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,High Point (N.C.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Holy Cross (Mass.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Indiana/Purdue-Indianapolis,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,Lafayette (Penn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Lipscomb (Tenn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Loyola (Ill.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Marist (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Marshall (W.V.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,McNeese State (La.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Missouri-Kansas City,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Monmouth (N.J.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Niagara (N.Y.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Nicholls State (La.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,North Carolina A&T,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Robert Morris (Penn.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Samford (Ala.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,St. Bonaventure (N.Y.),25.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Stephen F. Austin (Tex.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Stony Brook,25.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
235,Texas A&M-Corpus Christi,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
235,Texas-Arlington,25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,Troy State (Ala.),25.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
235,Youngstown State (Ohio),25.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
272,Campbell (N.C.),18.0,0,0,55,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
272,Portland State (Ore.),18.0,0,0,55,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
274,Duquesne (Penn.),5.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
274,Gardner-Webb (N.C.),5.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
274,Jackson State (Miss.),5.0,0,0,0,0.0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
274,Louisiana-Monroe,5.0,0,0,0,0.0,73,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
274,Wright State (Ohio),5.0,0,0,0,0.0,79,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
