,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford (Calif.),1337.3,17,50,12,63.75,70,5.0,0,0,0,0,0,0,3,83,1,100,5,73,6,73.5,17,56.5
2,Michigan,1226.3,0,0,0,0.0,0,0.0,0,0,0,0,3,85,7,73,17,50,0,0,41,0.0,50,0.0
3,California-Los Angeles,1178.8,17,50,1,100.0,2,90.0,0,0,0,0,0,0,1,100,2,90,2,90,1,100.0,17,0.0
4,Ohio State,1026.5,0,0,8,70.5,41,32.5,0,0,9,25,8,46,33,25,17,50,5,73,32,41.5,4,75.0
5,Georgia,1005.3,3,83,9,69.0,11,65.25,0,0,0,0,0,0,9,64,5,73,9,64,7,0.0,26,47.0
6,Florida,993.25,9,64,27,47.0,6,72.75,0,0,0,0,0,0,33,25,17,50,9,64,5,0.0,2,90.0
7,North Carolina,925.0,17,50,15,57.75,29,45.0,0,0,5,60,0,0,33,25,17,50,17,50,14,0.0,0,0.0
8,Washington,919.5,17,50,6,72.75,6,72.75,0,0,0,0,5,73,7,73,5,73,17,50,18,55.5,0,0.0
9,California,899.5,0,0,4,80.0,1,100.0,0,0,0,0,4,80,2,90,17,50,17,50,48,0.0,60,10.5
10,Texas,880.25,2,90,6,72.75,4,80.0,0,0,0,0,0,0,0,0,17,50,17,50,4,80.0,23,0.0
11,Louisiana State U.,867.75,7,73,32,41.5,34,38.0,0,0,0,0,0,0,3,83,33,25,17,50,2,0.0,3,0.0
12,Arizona,799.5,5,73,15,57.75,3,85.0,0,0,0,0,0,0,17,50,17,50,17,50,65,0.0,12,64.5
13,Penn State,795.5,0,0,0,0.0,15,60.0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0,0.0
14,Tennessee,755.75,33,25,11,66.0,52,20.0,0,0,0,0,0,0,25,50,9,64,17,50,7,0.0,13,62.25
15,Oklahoma,728.75,33,25,26,48.0,21,52.0,0,0,0,0,0,0,5,73,17,50,0,0,56,0.0,0,0.0
16,Texas A&M,714.0,9,64,23,51.0,14,61.5,0,0,0,0,0,0,33,25,9,64,9,64,13,63.0,38,35.5
17,Arizona State,708.0,33,25,10,67.5,21,52.0,0,0,0,0,0,0,0,0,9,64,17,50,20,54.0,10,66.75
18,Duke (N.C.),706.5,0,0,3,85.0,34,38.0,9,25,0,0,0,0,0,0,5,73,17,50,48,22.5,0,0.0
19,Notre Dame (Ind.),705.0,17,50,55,18.0,34,38.0,9,25,0,0,0,0,33,25,17,50,33,25,34,0.0,0,0.0
20,Minnesota,687.0,49,25,0,0.0,32,41.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,15,0.0
21,Southern California,683.5,0,0,12,63.75,16,57.75,0,0,0,0,0,0,0,0,9,64,3,83,12,64.5,68,0.0
22,Florida State,623.0,9,64,19,54.5,0,0.0,0,0,0,0,0,0,5,73,17,50,33,25,28,0.0,20,53.0
23,Auburn (Ala.),616.75,0,0,25,49.0,21,52.0,0,0,0,0,0,0,49,25,0,0,33,25,18,55.5,23,0.0
24,Maryland,599.0,0,0,0,0.0,59,13.5,5,60,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0
25,Illinois,597.0,0,0,0,0.0,52,20.0,0,0,0,0,0,0,9,64,33,25,3,83,65,5.0,54,17.5
26,Wisconsin,592.75,0,0,0,0.0,0,0.0,0,0,0,0,11,19,0,0,33,25,0,0,48,0.0,10,0.0
27,Arkansas,591.75,7,73,34,39.5,49,24.0,0,0,0,0,0,0,0,0,0,0,9,64,10,66.75,1,100.0
28,Vanderbilt (Tenn.),585.0,9,64,5,75.0,28,46.0,3,83,0,0,0,0,0,0,3,83,5,73,48,0.0,0,0.0
29,Brigham Young (Utah),579.5,0,0,45,28.0,9,69.0,0,0,0,0,0,0,0,0,33,25,0,0,15,58.5,26,0.0
30,Virginia,577.0,17,50,0,0.0,0,0.0,1,100,0,0,7,55,0,0,0,0,9,64,76,5.0,0,0.0
31,Georgia Tech,560.5,9,64,0,0.0,5,75.0,0,0,0,0,0,0,17,50,17,50,33,25,15,58.5,0,0.0
32,Nebraska,538.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,3,0.0,13,62.25
33,Princeton (N.J.),536.5,33,25,58,15.0,76,5.0,2,90,3,83,6,64,0,0,0,0,0,0,28,44.5,0,0.0
34,South Carolina,520.0,3,83,37,36.0,49,24.0,0,0,0,0,0,0,33,25,17,50,33,25,7,70.5,31,0.0
35,Connecticut,512.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0,0.0
36,Oklahoma State,496.0,33,25,2,90.0,13,63.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
37,Michigan State,484.0,0,0,24,50.0,0,0.0,0,0,0,0,12,10,25,50,0,0,0,0,32,41.5,0,0.0
38,Purdue (Ind.),477.5,0,0,22,52.0,16,57.75,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,54,0.0
39,North Carolina State,471.5,33,25,53,20.5,31,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25,49.0
40,Indiana,468.5,0,0,40,33.5,59,13.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,19,55.0
41,Alabama,463.5,0,0,48,25.5,0,0.0,0,0,0,0,0,0,9,64,33,25,33,25,22,50.0,0,0.0
42,Clemson (S.C.),454.0,17,50,0,0.0,18,56.0,0,0,0,0,0,0,0,0,3,83,5,73,34,37.0,68,0.0
43,Wake Forest (N.C.),450.5,0,0,14,61.5,34,38.0,0,0,0,0,0,0,0,0,33,25,33,25,41,30.0,0,0.0
44,Southern Methodist (Tex.),442.5,0,0,42,31.0,26,47.5,0,0,0,0,0,0,0,0,17,50,17,50,48,0.0,4,75.0
45,Kentucky,428.0,0,0,0,0.0,8,70.5,0,0,0,0,0,0,0,0,9,64,17,50,56,0.0,40,32.5
46,Missouri,411.0,33,25,29,44.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,76,0.0,40,32.5
47,Baylor (Tex.),407.25,0,0,19,54.5,73,5.0,0,0,0,0,0,0,17,50,0,0,1,100,34,37.0,7,0.0
48,Iowa,406.25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,33,25,0,0,56,14.0,0,0.0
49,Colorado,401.0,0,0,0,0.0,52,20.0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.0,31,0.0
50,Miami (Fla.),390.75,5,73,50,23.0,0,0.0,0,0,0,0,0,0,0,0,5,73,0,0,10,66.75,0,0.0
51,Northwestern (Ill.),376.5,0,0,50,23.0,0,0.0,5,60,0,0,0,0,25,50,9,64,0,0,0,0.0,0,0.0
52,Pepperdine (Calif.),375.5,17,50,29,44.0,10,67.5,0,0,0,0,0,0,0,0,17,50,17,50,0,0.0,0,0.0
53,Texas Christian U.,365.5,33,25,32,41.5,20,54.0,0,0,0,0,0,0,0,0,33,25,9,64,65,5.0,4,75.0
54,Georgetown (D.C.),355.0,0,0,0,0.0,65,5.0,3,83,5,60,0,0,0,0,0,0,0,0,28,0.0,31,40.0
55,Utah,348.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
55,Villanova (Penn.),348.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,0,0.0
57,Kansas State,346.5,0,0,37,36.0,43,30.0,0,0,0,0,0,0,0,0,0,0,0,0,41,0.0,31,0.0
58,Harvard (Mass.),344.0,0,0,0,0.0,0,0.0,0,0,0,0,10,28,0,0,33,25,9,64,0,0.0,0,0.0
59,Denver (Colo.),333.75,0,0,50,23.0,57,16.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
60,Oregon,331.5,0,0,34,39.5,0,0.0,0,0,0,0,0,0,9,64,17,50,33,25,34,37.0,9,69.0
61,New Mexico,315.75,0,0,15,57.75,19,55.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,44,28.0
62,Texas Tech,308.0,17,50,48,25.5,39,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,70.5
63,Rutgers (N.J.),283.75,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
64,Mississippi,280.5,49,25,42,31.0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,60,0.0
65,Kansas,263.5,0,0,0,0.0,46,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
66,Boise State (Idaho),256.25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,22.5,15,59.25
67,Mississippi State,255.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,17,50,22,0.0,20,53.0
68,Boston College (Mass.),252.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,0,0.0
69,Northern Arizona,251.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0,0.0
70,Pennsylvania,250.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,31,40.0
71,West Virginia,245.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
72,Central Florida,238.0,17,50,0,0.0,34,38.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
73,Brown (R.I.),233.5,0,0,0,0.0,0,0.0,0,0,0,0,1,100,0,0,0,0,0,0,0,0.0,0,0.0
74,Oregon State,232.75,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0.0
75,Providence (R.I.),230.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,22,0.0,0,0.0
76,Cal State-Fullerton,226.0,1,100,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72,5.0
77,Tulane (La.),222.0,9,64,29,44.0,0,0.0,0,0,0,0,0,0,0,0,9,64,17,50,0,0.0,0,0.0
78,Pacific (Calif.),219.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,25,50,0,0,33,25,0,0.0,0,0.0
79,Virginia Tech,218.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,5.0,31,40.0
80,Cornell (N.Y.),206.0,0,0,0,0.0,0,0.0,0,0,5,60,0,0,33,25,0,0,0,0,0,0.0,0,0.0
81,Kent State (Ohio) 202.5,,33,25,45,28.0,24,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
82,California Poly -San Louis Obisp2o02,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,58.5,60,10.5
82,Northern Iowa 202,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
82,U.S. Air Force Academy (Colo.)202,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,22.5,49,25.0
85,U.S. Naval Academy (Md.) 199,,0,0,0,0.0,0,0.0,0,0,2,90,0,0,0,0,0,0,0,0,0,0.0,0,0.0
86,St. Johns (N.Y.) 195,,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
87,California-Santa Barbara 194,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
87,Dartmouth (N.H.) 194,,0,0,0,0.0,0,0.0,5,60,0,0,0,0,0,0,0,0,0,0,0,0.0,38,0.0
89,Rice (Tex.) 191.5,,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,9,64,65,0.0,20,53.0
90,Pittsburgh (Penn.) 190.5,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
91,Colorado State 188,,0,0,0,0.0,43,30.0,0,0,0,0,0,0,0,0,0,0,0,0,56,14.0,68,0.0
92,Long Beach State (Calif.) 185,,9,64,0,0.0,63,10.5,0,0,0,0,0,0,17,50,33,25,0,0,0,0.0,60,10.5
93,Florida Atlantic 183,,17,50,0,0.0,0,0.0,0,0,0,0,0,0,25,50,0,0,0,0,0,0.0,0,0.0
94,Santa Clara (Calif.) 181,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
95,Hawaii 179.5,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
96,Illinois-Chicago 171,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,33,25,0,0,0,0.0,0,0.0
97,Houston (Tex.) 167,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,31,40.0
98,Syracuse (N.Y.) 164,,0,0,0,0.0,0,0.0,0,0,1,100,0,0,0,0,0,0,0,0,0,0.0,0,0.0
99,New Hampshire 161.5,,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
100,Fresno State (Calif.) 158,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,9,64,33,25,65,5.0,0,0.0
101,Yale (Conn.) 157.25,,0,0,0,0.0,76,5.0,0,0,0,0,2,90,0,0,0,0,0,0,0,0.0,0,0.0
102,Akron (Ohio) 157,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,50.0,0,0.0
103,Coastal Carolina (S.C.) 156,,49,25,0,0.0,46,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
104,Iona (N.Y.) 153,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,30.0,60,0.0
105,Seton Hall (N.J.) 152.5,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,25,50,0,0,0,0,0,0.0,0,0.0
106,DePaul (Ill.) 150,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
106,Louisville (Ky.) 150,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,33,25,0,0.0,0,0.0
108,Washington State 148.5,,0,0,53,20.5,0,0.0,0,0,0,0,9,37,0,0,0,0,0,0,0,0.0,44,28.0
109,Old Dominion (Va.) 146,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
110,Cal State-Northridge 145,,0,0,58,15.0,0,0.0,0,0,0,0,0,0,25,50,0,0,0,0,76,5.0,0,0.0
110,Manhattan (N.Y.) 145,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,29,45.0
112,Miami (Ohio) 144.5,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54,17.5
113,Richmond (Va.) 142,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
114,Nevada 141,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,14.0,0,0.0
114,Tulsa (Okla.) 141,,0,0,28,46.0,52,20.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
116,Colgate (N.Y.) 140,,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
116,Maine 140,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
118,Virginia Commonwealth 139,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,0,0.0
118,Wyoming 139,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,37.0,0,0.0
120,Wichita State (Kan.) 136.5,,17,50,0,0.0,26,47.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
121,Columbia/Barnard (N.Y.),136.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,5.0
122,Portland (Ore.),134.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
123,Iowa State,132.75,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
124,Temple (Penn.),131.0,0,0,0,0.0,0,0.0,9,25,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
125,Central Michigan,128.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
126,Southern Illinois,127.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0
127,Louisiana-Lafayette,125.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,40,0.0
128,Loyola Marymount (Calif.),125.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
128,San Diego (Calif.),125.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
128,Western Michigan,125.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
131,Nevada-Las Vegas,124.5,49,25,21,53.0,32,41.5,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,0,0.0
132,Creighton (Neb.),123.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0
132,Middle Tennessee State,123.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30,0.0
134,Cincinnati (Ohio),122.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,22.5
135,South Florida,119.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,34,37.0,40,32.5
136,Tennessee-Chattanooga,119.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
137,Hofstra (N.Y.),118.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0.0
138,San Diego State (Calif.),115.0,0,0,40,33.5,39,34.5,0,0,0,0,0,0,0,0,0,0,0,0,27,47.0,0,0.0
139,Western Kentucky,113.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,28.0
140,Lehigh (Penn.),112.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
141,U.S. Military Academy (N.Y.),108.5,49,25,0,0.0,67,5.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0.0
142,Furman (S.C.),102.75,0,0,15,57.75,52,20.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
143,North Carolina-Wilmington,102.0,17,50,45,28.0,49,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
144,American (D.C.),100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
144,Binghamton (N.Y.),100.0,0,0,0,0.0,70,5.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
144,Dayton (Ohio),100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
144,Delaware,100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
144,Vermont,100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
149,Eastern Michigan,97.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26,47.0
149,George Mason (Va.),97.5,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,0.0
149,Oral Roberts (Okla.),97.5,17,50,61,12.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,60,10.5
152,Montana State,95.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
153,Toledo (Ohio),93.5,0,0,0,0.0,25,49.0,0,0,0,0,0,0,0,0,0,0,0,0,28,44.5,0,0.0
154,Southern-Baton Rouge (La.),87.0,0,0,61,12.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
154,William and Mary (Va.),87.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0.0
156,Montana,86.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60,0.0
157,Wofford (S.C.),83.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
158,Southern Mississippi,81.5,33,25,0,0.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
159,California-Irvine,80.0,49,25,0,0.0,65,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
159,Marquette (Wis.),80.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
159,Wisconsin-Green Bay,80.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
162,Western Illinois,79.0,0,0,0,0.0,70,5.0,0,0,0,0,0,0,0,0,0,0,0,0,56,14.0,0,0.0
163,"Memphis, Univ of  (Tenn.)",78.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,28.0
163,Xavier (Ohio),78.0,0,0,0,0.0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
165,Jacksonville State (Ala.),77.0,49,25,0,0.0,46,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
165,Texas Southern,77.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,5.0,0,0.0
167,Oakland (Mich.),76.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
168,Bethune-Cookman (Fla.),75.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
168,Central Connecticut State,75.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
168,Florida A&M,75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
168,Valparaiso (Ind.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
168,Winthrop (S.C.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
173,Alabama-Birmingham,74.5,0,0,0,0.0,63,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
173,Northwestern State (La.),74.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
175,Ohio,74.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
176,St. Joseph's (Penn.),73.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
176,St. Louis (Mo.),73.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
178,Boston University (Mass.),72.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,54,17.5
179,Texas-El Paso,70.0,0,0,0,0.0,59,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,0.0
180,Rhode Island,69.0,0,0,0,0.0,30,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
180,Texas-San Antonio,69.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,65,5.0,60,0.0
182,Hampton (Va.),67.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,54,17.5
183,New Mexico State,66.0,0,0,37,36.0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
184,Georgia State,65.25,0,0,0,0.0,11,65.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
185,East Carolina (N.C.),64.0,9,64,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
185,Florida International,64.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
185,Louisiana Tech,64.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
188,San Francisco (Calif.),63.0,0,0,36,38.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
189,Illinois State,62.0,0,0,61,12.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
190,North Carolina-Greensboro,61.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
191,James Madison (Va.),60.0,0,0,0,0.0,0,0.0,5,60,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
192,St. Francis (Penn.),57.5,0,0,58,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54,17.5
193,San Jose State (Calif.),56.0,0,0,42,31.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
194,Georgia Southern,55.0,0,0,0,0.0,43,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
194,Idaho,55.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,30.0,0,0.0
194,Loyola (Md.),55.0,0,0,0,0.0,76,5.0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
197,Bowling Green (Ohio),53.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
