,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
36,SEC,FBS,Kentucky,585.5,0,0,58,16,0,0,0,0,0,0,0,0,9,64.0,0,0,5,73,60,12,41,31.0,0,0,0,0.0
37,Mountain West,FBS,Brigham Young (Utah),579.55,0,0,34,40,0,0,0,0,0,0,0,0,17,50.0,0,0,33,25,0,0,8,70.5,0,0,0,0.0
38,Ivy League,FCS,Princeton (N.J.),575.0,49,25,0,0,0,0,5,60,0,0,4,80,0,0.0,0,0,0,0,54,17.5,32,41.5,0,0,0,0.0
39,SEC,FBS,South Carolina,547.5,1,100,18,56,0,0,0,0,0,0,0,0,0,0.0,17,50,0,0,40,32.5,0,0.0,0,0,0,0.0
40,Big East,FBS,West Virginia,542.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,20,53,0,0.0,0,0,0,0.0
41,Big 12,FBS,Missouri,535.8,0,0,0,0,31,40.5,0,0,0,0,0,0,5,78.0,0,0,0,0,0,0,41,31.0,0,0,0,0.0
42,Big Ten,FBS,Michigan State,515.8,0,0,31,43,0,0,0,0,0,0,7,56,0,0.0,0,0,0,0,44,27,64,6.0,0,0,0,0.0
43,Big Ten,FBS,Iowa,510.0,0,0,0,0,10,66.75,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,25.5,0,0,0,0.0
44,Big East,FBS,Connecticut,502.0,9,64,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
45,ACC,FBS,Virginia Tech,500.5,0,0,0,0,31,40.5,0,0,0,0,0,0,0,0.0,0,0,17,50,20,53,5,75.0,0,0,0,0.0
46,Big Ten,FBS,Northwestern,499.75,0,0,28,46,22,52,1,100,0,0,0,0,0,0.0,9,64,0,0,0,0,0,0.0,0,0,0,0.0
47,ACC,FBS,Clemson,485.5,17,50,0,0,37,34.5,0,0,0,0,15,14,0,0.0,9,64,0,0,7,72,38,35.5,0,0,0,0.0
48,Big 12,FBS,Texas Tech,465.5,0,0,46,28,51,21,0,0,0,0,0,0,17,50.0,0,0,17,50,54,17.5,9,69.0,0,0,0,0.0
49,Big Ten,FBS,Purdue,464.5,0,0,2,90,63,7,0,0,0,0,0,0,0,0.0,0,0,0,0,66,5,54,18.5,0,0,0,0.0
50,Big East,FCS,Villanova (Pa.),435.75,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,11,65.25,41,31.0,0,0,0,0.0
51,ACC,FBS,Miami (Fla.),416.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,5,73,17,50,27,46.5,0,0.0,0,0,0,0.0
52,Conference USA,FBS,Tulsa,397.0,0,0,52,22,63,7,0,0,0,0,0,0,17,50.0,17,50,9,64,0,0,0,0.0,0,0,0,0.0
53,Mountain West,FBS,Texas Christian U.,395.25,33,25,28,46,31,40.5,0,0,0,0,0,0,0,0.0,0,0,0,0,27,46.5,0,0.0,0,0,0,0.0
54,Sun Belt,DI,Denver,384.5,0,0,38,36,56,15,0,0,3,83,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
55,Big East,FCS,Georgetown,379.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23,50,0,0.0,0,0,0,0.0
56,SEC,FBS,Vanderbilt,378.75,3,83,10,66.75,0,0,0,0,0,0,0,0,0,0.0,9,64,33,25,0,0,0,0.0,0,0,0,0.0
57,Mountain West,FBS,New Mexico,368.5,49,25,55,19,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,41,31.0,0,0,0,0.0
58,Big 12,FBS,Kansas State,352.25,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13,63,16,57.75,0,0,0,0.0
59,ACC,FBS,Georgia Tech,350.75,17,50,0,0,5,72.75,0,0,0,0,0,0,33,25.0,9,64,9,64,0,0,0,0.0,0,0,0,0.0
60,Big 12,FBS,Iowa State,348.8,0,0,28,46,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,44,27,46,25.5,0,0,0,0.0
61,Big East,FBS,Syracuse,348.0,0,0,0,0,0,0,0,0,5,60,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
62,Conference USA,FBS,Southern Methodist (Tex.),331.5,0,0,0,0,31,40.5,0,0,0,0,0,0,0,0.0,9,64,0,0,44,27,0,0.0,0,0,0,0.0
63,Conference USA,FBS,Central Florida,328.0,33,25,0,0,56,15,0,0,0,0,0,0,0,0.0,0,0,0,0,17,56.5,0,0.0,0,0,0,0.0
64,ACC,FBS,Boston College,322.0,0,0,0,0,0,0,9,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
65,SEC,FBS,Mississippi,319.25,0,0,40,34,56,15,0,0,0,0,0,0,0,0.0,33,25,17,50,0,0,19,55.0,0,0,0,0.0
66,Big 12,FBS,Colorado,315.5,0,0,52,22,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17,56.5,64,6.0,0,0,0,0.0
67,ACC,FBS,North Carolina State,312.0,33,25,0,0,27,47,0,0,0,0,0,0,0,0.0,17,50,0,0,60,12,0,0.0,0,0,0,0.0
68,Ivy League,FCS,Pennsylvania,289.0,0,0,0,0,0,0,9,25,9,25,0,0,0,0.0,0,0,0,0,0,0,64,6.0,0,0,0,0.0
69,Pacific-10,FBS,Oregon State,272.0,9,64,0,0,37,34.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
70,Ivy League,FCS,Cornell (N.Y.),270.0,0,0,0,0,0,0,0,0,5,60,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
71,Mountain West,FBS,Utah,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
72,Big 12,FBS,Kansas,265.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23,50,18,56.0,0,0,0,0.0
73,MAC,FBS,Kent State,265.0,17,50,40,34,19,54.5,0,0,0,0,0,0,0,0.0,0,0,0,0,66,5,0,0.0,0,0,0,0.0
74,ACC,FBS,Wake Forest,261.5,0,0,14,61.5,43,27.5,0,0,0,0,0,0,0,0.0,0,0,17,50,0,0,0,0.0,0,0,0,0.0
