,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
158,Big East,FBS,Rutgers (N.J.),97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
159,Conference USA,FBS,Memphis (Tenn.),95.5,0,0,0,0,63,7,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,58,13.5,0,0,0,0.0
160,SoCon,FCS,Wofford (S.C.),95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
161,Mountain West,FBS,Colorado State,94.0,0,0,0,0,30,44,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
161,Atlantic Sun,DI,Stetson (Fla.),94.0,17,50,55,19,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
163,MAC,FBS,Ohio,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
164,SoCon,FCS,Appalachian State,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
164,America East,DI,Binghamton (N.Y.),86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,54,18.5,0,0,0,0.0
166,Independent,FCS,North Dakota,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
167,Missouri Valley,FCS,Indiana State,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
167,Ohio Valley,FCS,Morehead State (Ky.),80.0,0,0,65,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
169,Conference USA,FBS,Texas El Paso,75.5,0,0,70,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
170,Atlantic Sun,DI,Belmont (Tenn.),75.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
170,SoCon,DI,Charleston (S.C.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
170,Atlantic Sun,DI,East Tennessee State,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,33,25,0,0,0,0.0,0,0,0,0.0
170,WCC,DI,Santa Clara (Calif.),75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
170,Southland,FCS,Southeastern Louisiana,75.0,0,0,0,0,56,15,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,52,21.5,0,0,0,0.0
175,Ohio Valley,FCS,Murray State (Ky.),73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
176,Big West,DI,Cal State Fullerton,72.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,51,22,0,0.0,0,0,0,0.0
176,America East,DI,Vermont,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
178,SoCon,DI,North Carolina Greensboro,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
178,Southland,FCS,Texas State San Marcos,71.5,33,25,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,52,21.5,0,0,0,0.0
180,MAC,FBS,Miami (Ohio),70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
180,Sun Belt,FBS,Troy,70.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
182,Horizon League,DI,Illinois Chicago,69.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
183,Southland,DI,Texas Arlington,68.5,0,0,0,0,68,5,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
184,Conference USA,FBS,Tulane,67.0,0,0,34,40,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,44,27,0,0.0,0,0,0,0.0
185,Big Sky,FCS,Portland State (Ore.),66.0,0,0,58,16,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
185,MAC,FBS,Toledo,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
187,MAAC,DI,Loyola University (Md.),65.0,0,0,0,0,79,5,5,60,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
188,MAC,FBS,Northern Illinois,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
188,WAC,FBS,San Jose State (Calif.),64.5,0,0,67,5,63,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
190,WAC,FBS,Nevada-Reno,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
190,CAA,DI,North Carolina Wilmington,63.0,0,0,43,31,63,7,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
192,Conference USA,FBS,Rice (Tex.),62.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
193,WCC,DI,Loyola Marymount (Calif.),61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
194,Northeast,DI,Fairleigh Dickinson (N.J.),60.0,0,0,67,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
195,Atlantic 10,FCS,North Carolina Charlotte,59.5,33,25,0,0,37,34.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
195,Big West,DI,Pacific (Calif.),59.5,0,0,0,0,37,34.5,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
197,Sun Belt,DI,Arkansas Little Rock,55.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
197,SWAC,FCS,Jackson State (Miss.),55.0,0,0,0,0,79,5,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,Ohio Valley,FCS,Southeast Missouri State,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,Southland,FCS,Stephen F. Austin,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,CAA,FCS,Towson (Md.),53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
199,Summit League,FCS,Western Illinois,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
203,WCC,DI,San Francisco,52.5,33,25,0,0,43,27.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
204,Summit League,FCS,Southern Utah,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,58,13.5,0,0,0,0.0
205,SWAC,FCS,Alcorn State (Miss.),50.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
205,Ohio Valley,FCS,Austin Peay,50.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,MEAC,FCS,Hampton (Va.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,America East,DI,Hartford (Conn.),50.0,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Big South,DI,High Point (N.C.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Atlantic Sun,FCS,Jacksonville,50.0,33,25,0,0,0,0,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Sun Belt,FBS,Louisiana Lafayette,50.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,America East,DI,Maryland Baltimore County,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Atlantic 10,FCS,Massachusetts,50.0,0,0,0,0,0,0,9,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Missouri Valley,FCS,Missouri State,50.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Summit League,DI,Oakland (Mich.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,SoCon,FCS,Samford (Ala.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
205,MAAC,DI,Siena (N.Y.),50.0,0,0,0,0,0,0,0,0,9,25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,Northeast,FCS,St. Francis (Pa.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,MAAC,DI,St. Peter's (N.J.),50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,WAC,FBS,Utah State,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
205,MAC,FBS,Western Michigan,50.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
222,Horizon League,DI,Cleveland State,49.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
222,Sun Belt,FBS,North Texas,49.0,0,0,46,28,51,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
224,Atlantic Sun,DI,Kennesaw State,48.0,0,0,0,0,26,48,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
225,Southland,FCS,Northwestern State (La.),44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,29,44,0,0.0,0,0,0,0.0
225,Independent,DI,Utah Valley,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
227,WAC,FBS,New Mexico State,43.0,0,0,61,13,68,5,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
228,MAC,FBS,Buffalo,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
229,Sun Belt,FBS,Arkansas State,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
230,WAC,FBS,Louisiana Tech,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
231,Big Sky,FCS,Northern Colorado,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
231,Southland,FCS,Sam Houston State (Tex.),38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,58,13.5,0,0,0,0.0
233,Big South,FCS,Gardner-Webb (N.C.),36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
234,Summit League,DI,Missouri Kansas City,30.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
234,Conference USA,FBS,UAB,30.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
236,MEAC,FCS,Delaware State,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,58,13.5,0,0,0,0.0
237,Big Sky,FCS,Weber State (Utah),25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,25.5,0,0,0,0.0
238,SWAC,FCS,Alabama A&M,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,MAC,FBS,Ball State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,MAC,FBS,Bowling Green,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Missouri Valley,DI,Bradley (Ill.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Missouri Valley,FCS,Drake (Iowa),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,Ohio Valley,FCS,Eastern Kentucky,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,Atlantic 10,FCS,Fordham (N.Y.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Atlantic 10,DI,George Washington,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,CAA,DI,Georgia State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Summit League,DI,Indiana/Purdue Ft. Wayne,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
238,Atlantic Sun,DI,Lipscomb (Tenn.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Northeast,DI,Long Island - Brooklyn,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,America East,FCS,Maine,25.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,MAAC,DI,Manhattan,25.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Southland,FCS,McNeese State (La.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Atlantic Sun,DI,Mercer (Ga.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Northeast,FCS,Monmouth (N.J.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Big Sky,FCS,Montana,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,MAAC,DI,Niagara,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Big South,DI,North Carolina Asheville,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,SWAC,FCS,Prairie View A&M (Tex.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Northeast,DI,Quinnipiac (Conn.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
238,Big South,DI,Radford (Va.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,MAAC,DI,Rider (N.J.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Northeast,FCS,Robert Morris (Pa.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Big East,DI,Seton Hall (N.J.),25.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Summit League,FCS,South Dakota State,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,SWAC,FCS,Southern (La.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
238,Northeast,DI,St. Francis (N.Y.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,WCC,DI,St. Mary's (Calif.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
238,Ohio Valley,FCS,Tennessee Martin,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Southland,DI,Texas A&M Corpus Christi,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
238,Big South,DI,Winthrop (S.C.),25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,25,0,0,0,0,0,0.0,0,0,0,0.0
238,Horizon League,DI,Wisconsin-Milwaukee,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
238,Horizon League,DI,Wright State (Ohio),25.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
273,Horizon League,DI,Detroit Mercy,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
274,Big Sky,FCS,Idaho State,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
275,Ohio Valley,FCS,Eastern Illinois,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
276,CAA,DI,Drexel (Pa.),13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
277,Independent,DI,Cal State Bakersfield,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
278,SWAC,FCS,Alabama State,10.0,0,0,70,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,Atlantic Sun,FCS,Campbell (N.C.),5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,SoCon,FCS,Citadel,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,MAC,FBS,Eastern Michigan,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,Southland,FCS,Lamar (Tex.),5.0,0,0,0,0,68,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,Atlantic Sun,DI,North Florida,5.0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
279,Big South,FCS,Virginia Military,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
