,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,,,,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
164,Middle Tennessee State,Sun Belt,FBS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,0,0,0,0,0,54,38
165,Ohio,MAC,FBS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0
166,La Salle,Atlantic 10,I,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,64,0
166,New Mexico State,WAC,FBS,89,0,0,0,0,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,39
168,Eastern Kentucky,Ohio Valley,FCS,85,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,65,5,0,0,0,0,50,0,35
168,North Dakota,Big Sky,FCS,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
168,Vermont,America East,I,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
171,Eastern Washington,Big Sky,FCS,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
171,Tennessee Chattanooga,SoCon,FCS,83,0,0,55,17.5,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,39.5
173,Cincinnati,Big East,FBS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,0,0,0,0,52,25,5
173,South Dakota,The Summit League,FCS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,55.5,0,0,0,0,0,0,0,26.5,55.5
173,Utah State,WAC,FBS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
176,North Florida,Atlantic Sun,I,81,0,0,0,0,18,56,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,81
176,Northern Illinois,MAC,FBS,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,31,0
178,Cleveland State Horizon League,,I,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,50,5,25
178,Valparaiso Horizon League,,FCS,80,33,25,0,0,73,5,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55
180,Appalachian State SoCon,,FCS,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,24.5,0
180,Idaho WAC,,FBS,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,0,56.5,21
182,Wyoming MWC,,FBS,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
183,Canisius Metro Atlantic Athletic,,I,75,49,25,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50
183,Charleston SoCon,,I,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,0,25
183,Colgate Patriot League,,FCS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
183,Elon SoCon,,FCS,75,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,50
183,Indiana/Purdue Fort Wayne The Summit League,,I,75,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,25,0,50
183,Northeastern Colonial Athletic Association,,I,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
183,Northwestern State Southland,,FCS,75,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,25,50
183,Santa Clara West Coast,,I,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
183,Winthrop Big South,,I,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,0,25
192,Buffalo MAC,,FBS,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,0,45,28
192,Fresno State MWC,,FBS,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,0
192,Washington State Pac-12,,FBS,73,0,0,0,0,0,0,0,0,0,0,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,48
195,North Carolina Charlotte Atlantic 10,,FCS,72,0,0,0,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,22
196,Jacksonville State Ohio Valley,,FCS,71,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25
196,Toledo MAC,,FBS,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
198,Wofford College SoCon,,FCS,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
199,Ball State MAC,,FBS,69,0,0,0,0,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,44
200,Southern Utah Big Sky,,FCS,67.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38.83,0
201,Tulane Conference USA,,FBS,67.5,0,0,9,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5
201,UC Davis Big West,,FCS,67.5,0,0,16,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,67.5
203,Drexel Colonial Athletic Association,,I,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16,0
203,Wisconsin Milwaukee Horizon League,,I,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,0
205,Cal State Fullerton Big West,,I,64,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
205,Delaware Colonial Athletic Association,,FCS,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
207,Sacramento State Big Sky,,FCS,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,58,13,0,0,0,0,0,0,63
208,Marshall Conference USA,,FBS,62,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,36,37,0,0,0,0,0,0,0,0,62
209,San Francisco West Coast,,I,61.75,33,25,0,0,63,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,32.75
210,LIU Brooklyn Northeast,,I,60,0,0,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,5
211,James Madison Colonial Athletic Association,,FCS,59,0,0,64,9,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34
211,Stephen F. Austin State Southland,,FCS,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,0,0,54,0,5
213,North Carolina Greensboro SoCon,,I,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,58.5,0,0,0,0,0,0,58.5
213,"Pacific, University of the Big West",,I,58.5,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33.5
215,Citadel SoCon,,FCS,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
216,Missouri Kansas City The Summit League,,I,53.5,0,0,0,0,66,5,0,0,0,0,0,0,0,0,0,0,33,25,49,23.5,0,0,0,0,0,0,0,0,53.5
217,Wagner College Northeast,,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
218,Bucknell Patriot League,,FCS,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
218,George Mason Colonial Athletic Association,,I,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,0,24,28
220,American Patriot League,,I,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21.5,0
221,Belmont Ohio Valley,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
221,Bryant Northeast,,FCS,50,33,25,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
221,Cal State Northridge Big West,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
221,Drake Missouri Valley,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,50
221,Florida Atlantic Sun Belt,,FBS,50,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
221,Hampton MEAC,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
221,Lafayette Patriot League,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
221,Long Beach State Big West,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,25
221,Maryland Baltimore County America East,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
221,Mississippi Valley State SWAC,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
221,Montana Big Sky,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
221,Niagara Metro Atlantic Athletic,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
221,Oakland The Summit League,,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
221,Prairie View A&M SWAC,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,25,25
221,South Carolina State MEAC,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,50
221,Southern SWAC,,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,25,25
221,Tennessee Martin,Ohio Valley,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
221,Troy,Sun Belt,FBS,50,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
221,UC Santa Barbara,Big West,I,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50
221,Xavier,Atlantic 10,I,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
241,Saint Francis (NY),Northeast,I,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0
242,High Point,Big South,I,46,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,0,0,46
243,Texas Arlington,WAC,I,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13,0,0,0,0,0,32.5,13
244,Louisiana Tech,WAC,FBS,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0
245,Loyola  Chicago,Horizon League,I,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13,3,25,0,0,0,0,38
246,Rider,Metro Atlantic Athletic,I,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
247,Florida International,Sun Belt,FBS,32.5,0,0,41,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5
248,Rhode Island,Atlantic 10,FCS,32,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
248,Sacred Heart,Northeast,FCS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
250,Davidson,SoCon,FCS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
250,Detroit Mercy,Horizon League,I,30,0,0,67,5,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
250,Idaho State,Big Sky,FCS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,0,0,0,0,25,0,5
250,Southern Illinois,Missouri Valley,FCS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,49,21,0,0,0,0,0,0,30
254,McNeese State,Southland,FCS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
255,Missouri State,Missouri Valley,FCS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
256,Utah Valley,Great West,I,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
257,Bethune-Cookman,MEAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Central Connecticut State,Northeast,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,DePaul,Big East,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
257,Fairfield,Metro Atlantic Athletic,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Fordham,Atlantic 10,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Georgia State,Colonial Athletic Association,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25
257,Illinois Chicago,Horizon League,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Jacksonville,Atlantic Sun,FCS,25,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Longwood,Big South,I,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Louisiana Monroe,Sun Belt,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Loyola Marymount,West Coast,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Mercer,Atlantic Sun,I,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Monmouth,Northeast,FCS,25,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Nevada,MWC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,North Carolina A&T State,MEAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
257,Northern Colorado,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Portland State,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Radford,Big South,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Saint Joseph's,Atlantic 10,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
257,Samford,SoCon,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25
257,Savannah State,MEAC,FCS,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,South Carolina Upstate,Atlantic Sun,I,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
257,Stetson,Atlantic Sun,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
257,Texas A&M Corpus Christi,Southland,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25
257,Western Illinois,The Summit League,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
257,Western Michigan,MAC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25
257,Wisconsin Green Bay,Horizon League,I,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
284,Campbell,Big South,FCS,19.5,0,0,59,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14.5
285,Kennesaw State,Atlantic Sun,I,15,0,0,0,0,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
286,Cal State  Bakersfield,Independent,I,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
286,Gardner-Webb,Big South,FCS,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
288,Lamar,Southland,FCS,12,0,0,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
288,Texas State San Marcos,WAC,FBS,12,0,0,61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
290,Alabama State,SWAC,FCS,10,0,0,71,5,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
291,Houston Baptist,Great West,I,5,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
291,Southeast Missouri State,Ohio Valley,FCS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,0,0,0,0,5
291,Southeastern Louisiana,Southland,FCS,5,0,0,0,0,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
291,St. Francis  (PA),Northeast,FCS,5,0,0,0,0,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
