,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,,,,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
36,Virginia Tech,ACC,FBS,629,17,50,0,0,56,15,0,0,0,0,0,0,17,50,0,0,17,50,61,9,19,55,0,0,0,0,122,278,229
37,Tennessee,SEC,FBS,619,0,0,25,48,19,54,0,0,0,0,0,0,2,90,17,50,5,73,0,0,77,5,0,0,0,0,50,249,320
38,Louisville,Big East,FBS,605,7,73,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,58,13,0,0,0,0,186,308,111
39,Syracuse,Big East,FBS,555,0,0,0,0,0,0,3,83,2,90,0,0,0,0,0,0,0,0,61,9,58,13,0,0,0,0,252,108,195
40,Northwestern,Big Ten,FBS,550.5,0,0,15,60,44,28,3,83,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0,151.5,114,285
41,Iowa State,Big 12,FBS,538.33,0,0,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,0,0,0,0,0,0,155,294.33,89
42,Purdue,Big Ten,FBS,518.5,0,0,3,85,0,0,0,0,0,0,0,0,0,0,17,50,0,0,61,9,38,33.5,0,0,0,0,89,252,177.5
43,Brigham Young,West Coast,FBS,505,0,0,0,0,44,28,0,0,0,0,0,0,33,25,0,0,33,25,0,0,24,49,2,70,0,0,255.5,52.5,197
44,Maryland,ACC,FBS,503,0,0,0,0,0,0,2,90,9,25,0,0,0,0,0,0,0,0,61,9,0,0,0,0,0,0,216,163,124
45,Baylor,Big 12,FBS,498,0,0,25,48,56,15,0,0,0,0,0,0,17,50,17,50,9,64,0,0,58,13,0,0,0,0,109,149,240
46,Vanderbilt,SEC,FBS,490,9,64,18,56,56,15,0,0,0,0,0,0,0,0,17,50,9,64,0,0,0,0,0,0,0,0,101,140,249
47,South Carolina,SEC,FBS,487,9,64,20,54,27,46.5,0,0,0,0,0,0,17,50,33,25,33,25,45,28.5,0,0,0,0,0,0,72,122,293
48,Texas Tech,Big 12,FBS,457.25,0,0,31,42,14,60.75,0,0,0,0,0,0,0,0,17,50,0,0,49,23.5,24,49,0,0,0,0,95,137,225.25
49,Mississippi State,SEC,FBS,454.75,2,90,24,50,56,15,0,0,0,0,0,0,33,25,0,0,9,64,32,40.5,0,0,0,0,0,0,54,116.25,284.5
50,TCU,Big 12,FBS,449.25,0,0,43,29,19,54,0,0,0,0,0,0,0,0,17,50,33,25,25,47.5,12,63.75,0,0,0,0,25,155,269.25
51,New Mexico,MWC,FBS,445.25,49,25,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0,0,0,0,184.5,120,140.75
52,Clemson,ACC,FBS,440.5,33,25,0,0,66,5,0,0,0,0,0,0,0,0,9,64,17,50,9,69,35,38,0,0,0,0,69,120.5,251
53,Missouri,SEC,FBS,432,0,0,0,0,44,28,0,0,0,0,0,0,9,64,0,0,0,0,36,37,0,0,0,0,0,0,54,249,129
54,Tulsa,Conference USA,FBS,430,0,0,0,0,38,33.5,0,0,0,0,0,0,33,25,33,25,17,50,0,0,0,0,0,0,0,0,239,57.5,133.5
55,Denver,WAC,I,425.5,0,0,49,24,0,0,9,53,3,83,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,64,151.5,210
56,Colorado,Pac-12,FBS,418,0,0,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,25,47.5,75,5,0,0,0,0,135,202.5,80.5
57,Harvard,Ivy League,FCS,414,0,0,59,14.5,0,0,0,0,0,0,11,57,0,0,0,0,17,50,0,0,0,0,0,0,0,0,43,249.5,121.5
58,Kansas,Big 12,FBS,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,28,43,0,0,0,0,50,218,143
59,Cornell,Ivy League,FCS,410,0,0,0,0,0,0,0,0,3,83,15,45,0,0,0,0,0,0,36,37,49,21,0,0,0,0,88,136,186
60,San Diego State,MWC,FBS,401.5,49,25,0,0,31,42.5,0,0,0,0,0,0,33,25,33,25,0,0,23,50.5,0,0,0,0,0,0,114,119.5,168
61,Mississippi,SEC,FBS,386.5,33,25,52,21,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,8,70.5,0,0,0,0,74,121,191.5
62,Yale,Ivy League,FCS,373,0,0,0,0,0,0,0,0,5,60,8,66,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,197,151
63,Georgetown,Big East,FCS,368.5,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.5,62,53
64,Wichita State,Missouri Valley,I,363.25,49,25,0,0,63,7.75,0,0,0,0,0,0,0,0,33,25,33,25,16,58.5,0,0,0,0,0,0,64,158,141.25
65,Iowa,Big Ten,FBS,362.25,0,0,0,0,63,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,0,0,0,0,25,291.5,45.75
66,Connecticut,Big East,FBS,353.5,33,25,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.5,100,50
67,UCF,Conference USA,FBS,331.75,0,0,43,29,16,57.75,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,0,0,95,75,161.75
68,West Virginia,Big 12,FBS,325.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,246.1,0
69,Oregon State,Pac-12,FBS,319.5,3,83,0,0,38,33.5,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,55,123,141.5
70,Dartmouth,Ivy League,FCS,309.5,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,25,47.5,0,0,0,0,0,0,29,180,100.5
71,Miami (Florida),ACC,FBS,303,33,25,61,12,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0,50,143,110
72,Kansas State,Big 12,FBS,296,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,51,0,0,0,0,91,90,115
73,Air Force,MWC,FBS,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0,0,0,0,75,175,43
74,Georgia Tech,ACC,FBS,282,17,50,0,0,3,82.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,65,5,0,0,0,0,74,20.5,187.5
75,Villanova,Big East,FCS,276.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,0,0,126,145.5,5
76,Boston College,ACC,FBS,263,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,108,25
77,Utah,Pac-12,FBS,261.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,0,228.75,32.5
78,Southern Methodist,Conference USA,FBS,258,0,0,39,34.5,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,85.5,73.5
79,Coastal Carolina,Big South,FCS,257,49,25,34,38,22,52,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,117,0,140
80,Kent State,MAC,FBS,253.83,0,0,34,38,27,46.5,0,0,0,0,0,0,0,0,0,0,0,0,61,9,0,0,0,0,0,0,25,135.33,93.5
81,Columbia,Ivy League,FCS,252,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,170,25
82,Illinois State,Missouri Valley,FCS,246,0,0,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,28,43,0,0,0,0,95,42,109
83,Boise State,MWC,FBS,233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,32,40.5,0,0,0,0,0,0,61.5,106.5,65.5
84,Creighton,Missouri Valley,I,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,100,0
84,South Florida,Big East,FBS,233,0,0,0,0,31,42.5,0,0,0,0,0,0,17,50,0,0,0,0,32,40.5,0,0,0,0,0,0,50,50,133
