,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Pac-12,FBS,Stanford,1448.25,9,64,24,x,19,54.5,0,0,0,0,9,x,17,x,5,73,5,73,6,73.5,18,55.5,0,0,1,100.0
2,SEC,FBS,Florida,1314.0,7,73,12,64.5,12,63.75,3,83,0,0,0,0,17,50,1,100,9,64,12,63.75,1,100.0,0,0,0,0.0
3,Pac-12,FBS,UCLA,1142.75,5,78,8,70.5,5,72.75,0,0,0,0,8,49,49,x,2,90,3,83,21,52.0,17,57.0,0,0,3,72.5
4,Big Ten,FBS,Ohio State,1104.25,0,0,22,52,67,x,0,0,0,0,5,70,0,0,0,0,5,73,21,52.0,23,49.5,0,0,0,0.0
5,ACC,FBS,Florida State,1061.0,3,83,29,44,9,69,0,0,0,0,0,0,33,25,33,25,17,50,14,58.5,4,80.0,0,0,0,0.0
6,Big 12,FBS,Texas,1032.5,0,0,13,62.25,1,100,0,0,0,0,0,0,9,64,9,64,33,25,11,66.0,9,68.25,0,0,0,0.0
7,Pac-12,FBS,Southern California,1006.75,0,0,2,90,15,59.25,0,0,0,0,6,63,0,0,3,83,1,100,24,48.5,11,63.0,2,70,2,90.0
8,ACC,FBS,North Carolina,1005.5,17,50,10,67.5,0,0,5,60,9,25,0,0,17,50,9,64,9,64,0,0.0,0,0.0,0,0,0,0.0
9,Big 12,FBS,Texas A&M,990.25,33,25,16,57.75,14,61.5,0,0,0,0,0,0,17,50,17,50,17,50,3,85.0,3,85.0,0,0,0,0.0
10,Big Ten,FBS,Michigan,986.5,0,0,47,26.5,0,0,0,0,0,0,2,90,9,64,9,64,17,50,0,0.0,33,39.0,0,0,0,0.0
11,Pac-12,FBS,California,979.0,0,0,25,47.5,3,82.5,0,0,0,0,3,85,4,83,5,73,9,64,40,31.0,66,5.0,0,0,0,0.0
12,Big Ten,FBS,Penn State,975.5,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,29,45.0,21,52.5,3,25,0,0.0
13,SEC,FBS,LSU,967.75,9,64,3,85,58,14,0,0,0,0,0,0,5,78,33,25,17,50,1,100.0,2,90.0,0,0,0,0.0
14,Big 12,FBS,Oklahoma,946.0,9,64,6,72.75,11,66,0,0,0,0,0,0,2,90,0,0,17,50,7,72.0,40,33.0,0,0,0,0.0
15,ACC,FBS,Virginia,910.0,33,25,4,80,22,51.5,9,25,5,60,1,100,0,0,9,64,2,90,0,0.0,56,15.0,0,0,0,0.0
16,ACC,FBS,Duke,894.5,0,0,15,60,31,40,5,60,3,83,0,0,0,0,3,83,5,73,63,5.0,0,0.0,0,0,0,0.0
17,Big East,FBS,Notre Dame,843.5,0,0,46,28,31,40,9,25,3,83,15,14,17,50,17,50,17,50,0,0.0,0,0.0,0,0,0,0.0
18,SEC,FBS,Georgia,833.25,0,0,29,44,17,57,0,0,0,0,0,0,9,64,5,73,5,73,21,52.0,64,7.5,0,0,0,0.0
19,Pac-12,FBS,Arizona,827.75,1,100,25,47.5,49,21,0,0,0,0,0,0,9,64,17,50,0,0,19,54.5,7,72.0,0,0,0,0.0
20,SEC,FBS,Arkansas,811.0,3,83,23,51,31,40,0,0,0,0,0,0,17,50,33,25,0,0,24,48.5,8,70.5,0,0,0,0.0
21,Big Ten,FBS,Illinois,782.25,0,0,40,31.5,21,53,0,0,0,0,0,0,0,0,33,25,9,64,30,43.0,11,63.0,0,0,0,0.0
22,Big Ten,FBS,Minnesota,757.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,27,46.5,0,0,0,0.0
23,SEC,FBS,Alabama,750.5,0,0,1,100,2,90,0,0,0,0,0,0,1,100,17,50,0,0,40,31.0,66,5.0,0,0,0,0.0
24,Pac-12,FBS,Oregon,747.25,9,64,25,47.5,3,82.5,0,0,0,0,0,0,5,78,0,0,0,0,2,90.0,9,68.25,0,0,0,0.0
25,Big 12,FBS,Baylor,726.0,9,64,16,57.75,61,9,0,0,0,0,0,0,33,25,9,64,9,64,60,12.0,49,23.0,0,0,0,0.0
26,Big Ten,FBS,Wisconsin,685.0,0,0,0,0,0,0,0,0,0,0,11,30,0,0,0,0,0,0,40,31.0,32,42.0,0,0,0,0.0
27,ACC,FBS,Maryland,650.5,0,0,49,24,0,0,3,83,2,90,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
28,SEC,FBS,Auburn,648.0,0,0,34,39,15,59.25,0,0,0,0,0,0,49,25,0,0,17,50,24,48.5,6,73.5,0,0,0,0.0
29,SEC,FBS,Kentucky,643.0,17,50,49,24,0,0,0,0,0,0,0,0,33,25,0,0,9,64,0,0.0,43,28.5,0,0,0,0.0
30,Pac-12,FBS,Arizona State,625.25,0,0,6,72.75,0,0,0,0,0,0,0,0,3,86.5,33,25,0,0,24,48.5,16,58.5,0,0,0,0.0
31,Pac-12,FBS,Washington,622.5,0,0,37,36,5,72.75,0,0,0,0,7,56,9,64,0,0,17,50,8,70.5,0,0.0,0,0,0,0.0
32,Big East,FBS,Louisville,611.0,17,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0,33,25,50,22.0,0,0.0,0,0,0,0.0
33,SEC,FBS,Tennessee,606.0,0,0,19,55,0,0,0,0,0,0,0,0,7,73,17,50,17,50,9,68.25,56,15.0,0,0,0,0.0
34,Big Ten,FBS,Michigan State,591.5,49,25,20,54,0,0,0,0,0,0,16,10,0,0,0,0,0,0,47,26.0,0,0.0,0,0,0,0.0
35,ACC,FBS,Virginia Tech,587.25,0,0,0,0,24,50,0,0,0,0,0,0,17,50,0,0,33,25,0,0.0,5,75.0,0,0,0,0.0
36,SEC,FBS,South Carolina,577.5,2,90,5,75,44,28,0,0,0,0,0,0,0,0,17,50,33,25,0,0.0,0,0.0,0,0,0,0.0
37,ACC,FBS,North Carolina State,576.5,9,64,13,62.25,31,40,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,40,33.0,0,0,0,0.0
38,Big Ten,FBS,Indiana,571.0,0,0,0,0,49,21,0,0,0,0,0,0,0,0,0,0,17,50,0,0.0,11,63.0,0,0,0,0.0
39,Ivy League,FCS,Princeton (N.J.),539.0,0,0,0,0,0,0,0,0,9,25,4,80,0,0,0,0,0,0,50,22.0,27,46.5,0,0,6,37.0
40,Big Ten,FBS,Nebraska,517.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,63,5.0,11,63.0,0,0,0,0.0
41,Mountain West,FBS,New Mexico,516.0,33,25,52,21,31,40,0,0,0,0,0,0,0,0,0,0,0,0,55,17.0,33,39.0,0,0,0,0.0
42,Big 12,FBS,Oklahoma State,512.0,0,0,32,41.5,44,28,0,0,0,0,0,0,0,0,33,25,0,0,50,22.0,66,5.0,0,0,0,0.0
