,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
43,WCC,FBS,Brigham Young (Utah),505.25,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,30,43.0,21,52.5,0,0,0,0.0
44,Big Ten,FBS,Northwestern,503.0,0,0,52,21,44,28,1,100,0,0,0,0,17,50,9,64,33,25,0,0.0,0,0.0,0,0,0,0.0
45,Big East,FBS,West Virginia,499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38.5,0,0.0,0,0,0,0.0
46,Big 12,FBS,Iowa State,498.5,0,0,40,31.5,49,21,0,0,0,0,0,0,0,0,0,0,0,0,38,35.5,49,23.0,0,0,0,0.0
47,Big Ten,FBS,Purdue,493.5,33,25,9,69,58,14,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
48,Big Ten,FBS,Iowa,482.0,0,0,0,0,22,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,49.5,0,0,0,0.0
49,Big 12,FBS,Missouri,458.5,33,25,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,40,31.0,56,15.0,0,0,0,0.0
50,Big East,FBS,Syracuse,452.5,0,0,0,0,0,0,2,90,9,25,0,0,17,50,0,0,0,0,0,0.0,56,15.0,0,0,0,0.0
51,SEC,FBS,Vanderbilt,443.0,17,50,11,66,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0.0,0,0.0,0,0,0,0.0
52,Mountain West,FBS,Texas Christian U.,430.0,9,64,40,31.5,27,47,0,0,0,0,0,0,0,0,33,25,0,0,30,43.0,64,7.5,0,0,0,0.0
53,Ivy League,FCS,Harvard,424.5,0,0,52,21,0,0,0,0,0,0,12,26,17,50,0,0,17,50,0,0.0,43,28.5,0,0,0,0.0
54,ACC,FBS,Clemson,415.0,17,50,0,0,61,9,0,0,0,0,0,0,0,0,17,50,0,0,4,77.5,40,33.0,0,0,0,0.0
55,Conference USA,FBS,Central Florida,409.0,17,50,40,31.5,19,54.5,0,0,0,0,0,0,49,25,0,0,0,0,19,54.5,0,0.0,0,0,0,0.0
56,Big 12,FBS,Kansas,396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77.5,23,49.5,0,0,0,0.0
57,Pac-12,FBS,Colorado,391.5,0,0,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58.5,0,0.0,0,0,0,0.0
58,Conference USA,FBS,Tulsa,377.5,0,0,37,36,30,44,0,0,0,0,0,0,33,25,17,50,9,64,0,0.0,66,5.0,0,0,0,0.0
59,ACC,FBS,Miami (Fla.),374.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,38,35.5,0,0.0,0,0,0,0.0
60,ACC,FBS,Boston College,363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5.0,0,0.0,0,0,0,0.0
61,Big East,FBS,Connecticut,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
62,Big 12,FBS,Kansas State,340.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,49.5,0,0,0,0.0
63,Big East,FCS,Georgetown,338.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41.0,0,0.0,0,0,0,0.0
64,WCC,DI,Pepperdine (Calif.),334.0,17,50,21,53,0,0,0,0,0,0,0,0,0,0,17,50,3,83,0,0.0,0,0.0,0,0,0,0.0
65,Mountain West,FBS,San Diego State,332.0,0,0,58,14,5,72.75,0,0,0,0,0,0,17,50,0,0,0,0,9,68.25,0,0.0,0,0,0,0.0
66,Pac-12,FBS,Oregon State,300.91,17,50,64,6.66,38,33.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
67,Ivy League,FCS,Cornell (N.Y.),280.0,49,25,0,0,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
68,America East,FCS,Stony Brook,276.0,7,73,0,0,0,0,0,0,9,25,0,0,0,0,33,25,0,0,47,26.0,0,0.0,0,0,0,0.0
69,Big West,DI,UC Irvine,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29,44.0,1,100,4,55.0
70,Mountain West,FBS,Boise State,273.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,29,44.0,0,0,0,0.0
71,Big 12,FBS,Texas Tech,269.0,0,0,25,47.5,0,0,0,0,0,0,0,0,33,25,33,25,17,50,55,17.0,18,55.5,0,0,0,0.0
72,ACC,FBS,Georgia Tech,268.0,17,50,0,0,31,40,0,0,0,0,0,0,33,25,9,64,0,0,0,0.0,0,0.0,0,0,0,0.0
73,MAC,FBS,Kent State,263.25,5,78,47,26.5,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
74,Pac-12,FBS,Utah,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
75,Big East,DI,St. John's (N.Y.),258.0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
76,Big East,FBS,South Florida,253.0,0,0,55,18,0,0,0,0,0,0,0,0,7,73,0,0,0,0,0,0.0,33,39.0,0,0,0,0.0
77,SEC,FBS,Mississippi,252.0,17,50,37,36,0,0,0,0,0,0,0,0,0,0,17,50,9,64,0,0.0,38,36.0,0,0,0,0.0
78,Patriot League,FCS,Lehigh (Pa.),240.5,0,0,0,0,0,0,0,0,9,25,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
79,CAA,FCS,Old Dominion (Va.),238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
80,SEC,FBS,Mississippi State,237.5,33,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,17,50,60,12.0,43,28.5,0,0,0,0.0
81,WCC,FCS,San Diego,235.0,49,25,0,0,49,21,0,0,0,0,0,0,0,0,33,25,17,50,0,0.0,0,0.0,0,0,0,0.0
82,Missouri Valley,FCS,Illinois State,233.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,14,58.5,29,44.0,0,0,0,0.0
83,America East,DI,Boston University,230.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,56,15.0,0,0,0,0.0
84,Ivy League,FCS,Yale,229.0,0,0,0,0,0,0,0,0,9,25,10,34,0,0,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
85,Sun Belt,DI,Denver,227.5,0,0,55,18,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
86,Ivy League,FCS,Dartmouth (N.H.),227.0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,14,58.5,0,0.0,0,0,0,0.0
87,Big West,DI,Long Beach State,226.0,0,0,0,0,44,28,0,0,0,0,0,0,33,25,17,50,0,0,0,0.0,0,0.0,0,0,0,0.0
88,Big East,FBS,Cincinnati,222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17.0,0,0.0,0,0,0,0.0
89,Summit League,FCS,North Dakota State,221.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
90,Mountain West,FBS,Air Force,209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54,19.5,0,0,0,0.0
91,Missouri Valley,DI,Creighton (Nebr.),208.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
92,ACC,FBS,Wake Forest,198.5,0,0,40,31.5,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
93,Ivy League,FCS,Pennsylvania,196.5,0,0,0,0,73,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,63,11.0,0,0,0,0.0
94,Ivy League,FCS,Columbia/Barnard (N.Y.),193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,63,5.0,0,0.0,0,0,0,0.0
95,Big South,FCS,Liberty (Va.),192.0,0,0,0,0,10,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54,19.5,0,0,0,0.0
96,MAAC,DI,Loyola University (Md.),190.0,0,0,0,0,73,5,5,60,1,100,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
96,Big East,FCS,Villanova (Pa.),190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66,5.0,0,0,0,0.0
98,Big West,DI,UC Santa Barbara,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38.5,43,28.5,0,0,0,0.0
99,Patriot League,FBS,Army,187.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
100,Conference USA,FBS,Southern Methodist (Tex.),187.0,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
101,Missouri Valley,DI,Wichita State (Kans.),185.5,0,0,0,0,49,21,0,0,0,0,0,0,0,0,33,25,0,0,28,46.0,0,0.0,0,0,0,0.0
102,America East,FCS,New Hampshire,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
103,MAC,FBS,Ohio,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
104,Atlantic 10,FBS,Temple,173.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,23.0,0,0,0,0.0
105,Mountain West,FBS,UNLV,173.0,0,0,32,41.5,44,28,0,0,0,0,0,0,0,0,0,0,0,0,40,31.0,0,0.0,0,0,0,0.0
106,Missouri Valley,FCS,Northern Iowa,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
106,Pac-12,FBS,Washington State,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0.0,49,23.0,0,0,0,0.0
108,Ivy League,FCS,Brown (R.I.),168.0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
109,Missouri Valley,FCS,Southern Illinois,164.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58.5,0,0.0,0,0,0,0.0
110,Big East,DI,Marquette,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
111,Big East,FBS,Rutgers (N.J.),162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
112,Big Sky,FCS,Montana State,161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22.0,0,0.0,0,0,0,0.0
113,Summit League,DI,Oral Roberts (Okla.),159.0,33,25,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,20,54.0,0,0,0,0.0
114,WCC,DI,St. Mary's (Calif.),156.5,0,0,0,0,38,33.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
115,SoCon,FCS,Appalachian State,155.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
116,CAA,FCS,Delaware,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
117,MAAC,DI,Iona (N.Y.),147.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,7,28.0
117,Sun Belt,FBS,Louisiana Lafayette,147.0,0,0,0,0,67,5,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
119,MEAC,DI,Maryland Eastern Shore,146.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5.0,0,0.0,0,0,0,0.0
120,Conference USA,FBS,Memphis (Tenn.),146.0,0,0,0,0,28,46,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
121,Conference USA,FBS,Houston,145.5,0,0,0,0,49,21,0,0,0,0,0,0,33,25,0,0,0,0,55,17.0,0,0.0,0,0,0,0.0
122,Conference USA,FBS,UAB,145.0,49,25,0,0,29,45,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
123,SoCon,FCS,Samford (Ala.),144.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
124,Conference USA,FBS,Southern Mississippi,143.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63.75,0,0.0,0,0,0,0.0
125,Northeast,FCS,Sacred Heart (Conn.),142.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
126,Northeast,DI,Fairleigh Dickinson (N.J.),140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0,0,0,0,0.0
126,Southland,FCS,Sam Houston State (Tex.),140.0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
128,MAC,FBS,Toledo,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
129,Big Sky,FCS,Montana,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
130,Conference USA,FBS,East Carolina (N.C.),131.5,33,25,63,11,26,48,0,0,0,0,0,0,0,0,0,0,0,0,40,31.0,0,0.0,0,0,0,0.0
131,Big East,FBS,Pittsburgh,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
132,MAC,FBS,Northern Illinois,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
132,America East,DI,Vermont,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
132,CAA,DI,Virginia Commonwealth,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0.0,0,0.0,0,0,0,0.0
135,Summit League,FCS,Southern Utah,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11,63.0,0,0,0,0.0
136,CAA,FCS,James Madison (Va.),117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
137,WCC,DI,Portland,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
138,CAA,FCS,Hofstra (N.Y.),115.0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
138,Mountain West,FBS,Wyoming,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
140,MAC,FBS,Central Michigan,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
140,WCC,DI,Gonzaga (Wash.),114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
140,WAC,FBS,Hawaii,114.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,33,25,0,0,0,0.0,0,0.0,0,0,0,0.0
143,Southland,DI,Texas Arlington,113.0,49,25,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33,39.0,0,0,0,0.0
143,Conference USA,FBS,Texas El Paso,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56,15.0,0,0,0,0.0
145,Southland,FCS,Texas State San Marcos,111.5,0,0,40,31.5,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
146,SoCon,FCS,Georgia Southern,108.0,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
147,America East,DI,Binghamton (N.Y.),107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,66,5.0,0,0,0,0.0
148,WAC,FBS,Louisiana Tech,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38.5,0,0.0,0,0,0,0.0
149,Big East,DI,Providence,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26.0,0,0.0,0,0,0,0.0
150,Patriot League,FBS,Navy,105.0,0,0,0,0,73,5,9,25,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
151,Sun Belt,FBS,Middle Tennessee State,103.5,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
152,Ohio Valley,FCS,Eastern Kentucky,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,66,5.0,0,0,0,0.0
153,Missouri Valley,FCS,Indiana State,100.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22.0,56,15.0,0,0,0,0.0
154,America East,FCS,Albany,100.0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
154,Big South,FCS,Coastal Carolina (S.C.),100.0,33,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
154,Atlantic 10,FCS,Dayton,100.0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
154,Atlantic Sun,DI,Florida Gulf Coast,100.0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
154,MAC,FBS,Western Michigan,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
159,Atlantic 10,FCS,North Carolina Charlotte,99.0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
160,Mountain West,FBS,Colorado State,96.0,0,0,0,0,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
160,MEAC,FCS,Norfolk State (Va.),96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
160,SoCon,FCS,Tennessee Chattanooga,96.0,0,0,55,18,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
163,America East,FCS,Maine,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
164,Conference USA,FBS,Rice (Tex.),94.0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,63,5.0,0,0.0,0,0,0,0.0
165,CAA,DI,George Mason (Va.),93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39,35.0,0,0,0,0.0
166,Big West,FCS,Cal Poly,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0,0,0,0,0.0
166,MAC,FBS,Eastern Michigan,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0
